path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,split_group_id,source_url,version,license,allowed_for_competition,redistribution_allowed,commercial_restriction,dataset_name,content_hash,near_duplicate_group,audio_sha256,generation_seed,generator_family,recommended_split,generated_by,external_assets_used,base_voice_id,base_music_id,duration_sec,sample_rate,peak,rms,dc_offset,clipping_fraction,mix_snr_db
data/generated_v8/audio/train/voice/proc_voice_train_00000__additive_formant.wav,1,1,0,1,0,proc_train_speaker_30,proc_voice_additive_formant,project_procedural_v8,procedural_v8,,proc_voice_train_00000,proc::voice::train::00000,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,42e7139a5d7175f0ff4fb858c581f0fdafb7c873badc227704207ed833a6b039,proc::voice::train::00000,6b84bf70dff5ef5264d5e3b112dd9389caa5e81d893f519ee8a599e2345ceed2,23684908,proc_voice_additive_formant,train,numpy_scipy_project_generator,NO,,,4.275000,16000,0.73951751,0.21989342,-0.00000066,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00000__pulse_lpc.wav,1,1,0,1,0,proc_train_speaker_30,proc_voice_pulse_lpc,project_procedural_v8,procedural_v8,,proc_voice_train_00000,proc::voice::train::00000,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,42e7139a5d7175f0ff4fb858c581f0fdafb7c873badc227704207ed833a6b039,proc::voice::train::00000,b88be015a3cc770bb9def352740b17f3d2800f8132b071be2aa9f9b81cdd5790,23684908,proc_voice_pulse_lpc,train,numpy_scipy_project_generator,NO,,,4.275000,16000,0.81977105,0.31204286,-0.00001886,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00000__codec_phase.wav,1,1,0,1,0,proc_train_speaker_30,proc_voice_codec_phase,project_procedural_v8,procedural_v8,,proc_voice_train_00000,proc::voice::train::00000,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,42e7139a5d7175f0ff4fb858c581f0fdafb7c873badc227704207ed833a6b039,proc::voice::train::00000,12685b9620d72ff1516255a106aef0058b00770b467cc50c2297b2bc8c4412a5,23684908,proc_voice_codec_phase,train,numpy_scipy_project_generator,NO,,,4.275000,16000,0.91093385,0.32210101,-0.00000373,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00001__additive_formant.wav,1,1,0,1,0,proc_train_speaker_31,proc_voice_additive_formant,project_procedural_v8,procedural_v8,,proc_voice_train_00001,proc::voice::train::00001,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,04abe91534078fc732f1764cdee8ec11fd0f8f61a418041ada65e8b37ae5f488,proc::voice::train::00001,726bb4b310be9ee8f1b51bdff78e4c09c89f9c92dae550cb15c3f2e2dadcbfff,23684909,proc_voice_additive_formant,train,numpy_scipy_project_generator,NO,,,5.708000,16000,0.82837784,0.18915103,-0.00000186,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00001__pulse_lpc.wav,1,1,0,1,0,proc_train_speaker_31,proc_voice_pulse_lpc,project_procedural_v8,procedural_v8,,proc_voice_train_00001,proc::voice::train::00001,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,04abe91534078fc732f1764cdee8ec11fd0f8f61a418041ada65e8b37ae5f488,proc::voice::train::00001,8e60cf98524b915f28105ce7bf7669d737e8aaa174585c8956e990976d37c71a,23684909,proc_voice_pulse_lpc,train,numpy_scipy_project_generator,NO,,,5.708000,16000,0.91260684,0.26484280,-0.00000706,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00001__codec_phase.wav,1,1,0,1,0,proc_train_speaker_31,proc_voice_codec_phase,project_procedural_v8,procedural_v8,,proc_voice_train_00001,proc::voice::train::00001,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,04abe91534078fc732f1764cdee8ec11fd0f8f61a418041ada65e8b37ae5f488,proc::voice::train::00001,d7d6d445e597e97555bc4233452528c9aa7c769c244188441aee76c6f1f64a52,23684909,proc_voice_codec_phase,train,numpy_scipy_project_generator,NO,,,5.708000,16000,0.90163738,0.22746263,-0.00000192,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00002__additive_formant.wav,1,1,0,1,0,proc_train_speaker_32,proc_voice_additive_formant,project_procedural_v8,procedural_v8,,proc_voice_train_00002,proc::voice::train::00002,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,fc94c4c469c5c759d568b8f3f19430d83b16dcd808f60e661d2e1250df06427d,proc::voice::train::00002,9d3346b1f4c1b1b1f5b596cab7dbf02a3ce280aef739ee28587f5dc228fab992,23684910,proc_voice_additive_formant,train,numpy_scipy_project_generator,NO,,,4.263000,16000,0.86742258,0.16266020,0.00000318,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00002__pulse_lpc.wav,1,1,0,1,0,proc_train_speaker_32,proc_voice_pulse_lpc,project_procedural_v8,procedural_v8,,proc_voice_train_00002,proc::voice::train::00002,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,fc94c4c469c5c759d568b8f3f19430d83b16dcd808f60e661d2e1250df06427d,proc::voice::train::00002,e4bcbd5e307cc4a028e6ae4733acca745041bcca30302e6f36d73742652febc2,23684910,proc_voice_pulse_lpc,train,numpy_scipy_project_generator,NO,,,4.263000,16000,0.72184807,0.20148968,-0.00000521,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00002__codec_phase.wav,1,1,0,1,0,proc_train_speaker_32,proc_voice_codec_phase,project_procedural_v8,procedural_v8,,proc_voice_train_00002,proc::voice::train::00002,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,fc94c4c469c5c759d568b8f3f19430d83b16dcd808f60e661d2e1250df06427d,proc::voice::train::00002,1510d03d59157c0966d736629892df0ce3ec1be1ae380fce401a7294c1df5ed3,23684910,proc_voice_codec_phase,train,numpy_scipy_project_generator,NO,,,4.263000,16000,0.76807141,0.18935301,-0.00000087,0.00000000,
data/generated_v8/audio/train/voice/proc_voice_train_00003__additive_formant.wav,1,1,0,1,0,proc_train_speaker_33,proc_voice_additive_formant,project_procedural_v8,procedural_v8,,proc_voice_train_00003,proc::voice::train::00003,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,23a94d2e2ea9b2b35e38904b5d5a764d3a586fc06d15f550e34ca37b5832eae0,proc::voice::train::00003,56ddc063c89bf8f6ac5619af82a07d78dd931150e0140c883a13488f4eaa6656,23684911,proc_voice_additive_formant,train,numpy_scipy_project_generator,NO,,,3.828000,16000,0.74186885,0.18704844,-0.00000017,0.00000000,
