path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,split_group_id,source_url,version,license,allowed_for_competition,redistribution_allowed,commercial_restriction,dataset_name,content_hash,near_duplicate_group
data\raw\openslr_librispeech_asr\librispeech_dev_1988-24833-0026.flac,0,0,0,1,0,1988,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1988-24833-0026,libri::1988,https://www.openslr.org/12,dev-clean; historical local snapshot,CC BY 4.0,YES,YES_WITH_ATTRIBUTION,NO,librispeech_dev,3e7eafd5865611855d919f255606cb1e7f1f501b6a06f0e76e487f541e25e71b,libri::1988
data\raw\openslr_librispeech_asr\librispeech_dev_2428-83699-0039.flac,0,0,0,1,0,2428,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2428-83699-0039,libri::2428,https://www.openslr.org/12,dev-clean; historical local snapshot,CC BY 4.0,YES,YES_WITH_ATTRIBUTION,NO,librispeech_dev,1af6fd1e7393206b48803b2dd196ea95e08218a12bbb3a9d7f0597c424094f1f,libri::2428
data\raw\openslr_librispeech_asr\librispeech_dev_6345-93302-0010.flac,0,0,0,1,0,6345,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_6345-93302-0010,libri::6345,https://www.openslr.org/12,dev-clean; historical local snapshot,CC BY 4.0,YES,YES_WITH_ATTRIBUTION,NO,librispeech_dev,00d9572c4db34a91f769047d9518fc84d00f7989f26fe18dc9e4dcf5366a7232,libri::6345
data\raw\openslr_librispeech_asr\librispeech_dev_2078-142845-0048.flac,0,0,0,1,0,2078,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2078-142845-0048,libri::2078,https://www.openslr.org/12,dev-clean; historical local snapshot,CC BY 4.0,YES,YES_WITH_ATTRIBUTION,NO,librispeech_dev,917f2fbf78b949bfd962a84b64d092108e486f29e460f65335c011103c13ba43,libri::2078
data\raw\openslr_librispeech_asr\librispeech_dev_2035-152373-0007.flac,0,0,0,1,0,2035,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2035-152373-0007,libri::2035,https://www.openslr.org/12,dev-clean; historical local snapshot,CC BY 4.0,YES,YES_WITH_ATTRIBUTION,NO,librispeech_dev,1c77bb7953e987271f7cd1afc0fe59b61dfc797c41feaa7977b05d5a0d3efa30,libri::2035
data\raw\openslr_librispeech_asr\librispeech_dev_2902-9006-0017.flac,0,0,0,1,0,2902,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2902-9006-0017,libri::2902,https://www.openslr.org/12,dev-clean; historical local snapshot,CC BY 4.0,YES,YES_WITH_ATTRIBUTION,NO,librispeech_dev,2be61d526e2efce25c55d02e2c641f7798b687167e4e59135d42069835918081,libri::2902
data\raw\openslr_librispeech_asr\librispeech_dev_5694-64029-0000.flac,0,0,0,1,0,5694,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5694-64029-0000,libri::5694,https://www.openslr.org/12,dev-clean; historical local snapshot,CC BY 4.0,YES,YES_WITH_ATTRIBUTION,NO,librispeech_dev,2d6ebc5a5e6f9487cb01e02a81d8e0f74ceadc0fb29853460c77bf2f4643ead5,libri::5694
data\raw\openslr_librispeech_asr\librispeech_dev_251-137823-0017.flac,0,0,0,1,0,251,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_251-137823-0017,libri::251,https://www.openslr.org/12,dev-clean; historical local snapshot,CC BY 4.0,YES,YES_WITH_ATTRIBUTION,NO,librispeech_dev,e8a5d385eeda27aee4abfacad14941139343a69e6a5f714576dcaa23b38ceebf,libri::251
data\raw\openslr_librispeech_asr\librispeech_dev_1988-147956-0008.flac,0,0,0,1,0,1988,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1988-147956-0008,libri::1988,https://www.openslr.org/12,dev-clean; historical local snapshot,CC BY 4.0,YES,YES_WITH_ATTRIBUTION,NO,librispeech_dev,0082c1c14416ac468de7136613c6390aee57e9c1e315488b2cb1edc556e2e001,libri::1988
data\raw\openslr_librispeech_asr\librispeech_dev_1462-170142-0024.flac,0,0,0,1,0,1462,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1462-170142-0024,libri::1462,https://www.openslr.org/12,dev-clean; historical local snapshot,CC BY 4.0,YES,YES_WITH_ATTRIBUTION,NO,librispeech_dev,9fba2d6abaf80399becdb93c2f96ac04a477b9e75c9efe246e031a0e33383abb,libri::1462
data\raw\openslr_librispeech_asr\librispeech_dev_652-130737-0011.flac,0,0,0,1,0,652,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_652-130737-0011,libri::652,https://www.openslr.org/12,dev-clean; historical local snapshot,CC BY 4.0,YES,YES_WITH_ATTRIBUTION,NO,librispeech_dev,8f5bd2fe1d7f9a539adb09bbe56b892a777a4bf2a01792b2fbaef6fddc80cd49,libri::652
data\raw\openslr_librispeech_asr\librispeech_dev_3081-166546-0008.flac,0,0,0,1,0,3081,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3081-166546-0008,libri::3081,https://www.openslr.org/12,dev-clean; historical local snapshot,CC BY 4.0,YES,YES_WITH_ATTRIBUTION,NO,librispeech_dev,9100b854ae0c12b24de379e174e08c01355b48f132be6465e68a2ce374352e23,libri::3081
data\raw\openslr_librispeech_asr\librispeech_dev_652-130737-0010.flac,0,0,0,1,0,652,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_652-130737-0010,libri::652,https://www.openslr.org/12,dev-clean; historical local snapshot,CC BY 4.0,YES,YES_WITH_ATTRIBUTION,NO,librispeech_dev,237b2f5ffb6d1dcd164a30765671f4847d3875bfc67de356b4382b4f10528c82,libri::652
