path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,split_group_id,source_url,version,license,allowed_for_competition,redistribution_allowed,commercial_restriction,dataset_name,content_hash,near_duplicate_group,data_role,upstream_split,upstream_label
data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\dorothy_and_wizard_oz_08_f000065.wav,1,1,0,1,0,mlaad::dorothy_and_wizard_oz_08,MLAAD::Chatterbox,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,dorothy_and_wizard_oz_08_f000065,mlaad_tiny::en::dorothy_and_wizard_oz_08_f000065,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,149606610d6212721ab02037ddc91f70e721ac7e7ec7a803e7fac9b75bf198b3,mlaad_tiny::en::dorothy_and_wizard_oz_08_f000065,train,not_applicable,not_applicable
data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\dorothy_and_wizard_oz_14_f000118.wav,1,1,0,1,0,mlaad::dorothy_and_wizard_oz_14,MLAAD::Chatterbox,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,dorothy_and_wizard_oz_14_f000118,mlaad_tiny::en::dorothy_and_wizard_oz_14_f000118,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,17e8fdc42a108e2a355f143b7c38b24a10297879af7a4d48d6bc586e46d643b1,mlaad_tiny::en::dorothy_and_wizard_oz_14_f000118,train,not_applicable,not_applicable
data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\emerald_city_of_oz_07_f000056.wav,1,1,0,1,0,mlaad::emerald_city_of_oz_07,MLAAD::Chatterbox,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,emerald_city_of_oz_07_f000056,mlaad_tiny::en::emerald_city_of_oz_07_f000056,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,6ae530c3670ecbdcac17dd392f3a95b029316e0e9f30ca8b52971022e5e3f24e,mlaad_tiny::en::emerald_city_of_oz_07_f000056,train,not_applicable,not_applicable
data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\emerald_city_of_oz_13_f000060.wav,1,1,0,1,0,mlaad::emerald_city_of_oz_13,MLAAD::Chatterbox,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,emerald_city_of_oz_13_f000060,mlaad_tiny::en::emerald_city_of_oz_13_f000060,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,8f4cab49bffcf12ee885b8099507912b66348efb95d43e7d806c8c34111e0380,mlaad_tiny::en::emerald_city_of_oz_13_f000060,train,not_applicable,not_applicable
data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\hunters_space_07_f000061.wav,1,1,0,1,0,mlaad::hunters_space_07,MLAAD::Chatterbox,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,hunters_space_07_f000061,mlaad_tiny::en::hunters_space_07_f000061,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,8616cc905671ef9917dc79a2816ceea68af49ce2317ae88c01b06e6617045074,mlaad_tiny::en::hunters_space_07_f000061,train,not_applicable,not_applicable
data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\hunters_space_18_f000010.wav,1,1,0,1,0,mlaad::hunters_space_18,MLAAD::Chatterbox,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,hunters_space_18_f000010,mlaad_tiny::en::hunters_space_18_f000010,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,d68c532d75a469ab2a1d4391db6b511bb2952d12037df0682e38f58db715be80,mlaad_tiny::en::hunters_space_18_f000010,train,not_applicable,not_applicable
data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\jane_eyre_05_f000047.wav,1,1,0,1,0,mlaad::jane_eyre_05,MLAAD::Chatterbox,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,jane_eyre_05_f000047,mlaad_tiny::en::jane_eyre_05_f000047,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,6b22df8b2d236ebfd196fa858ae9bc1a90149005deaecb34464820a72a7373ea,mlaad_tiny::en::jane_eyre_05_f000047,train,not_applicable,not_applicable
data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\jane_eyre_06_f000021.wav,1,1,0,1,0,mlaad::jane_eyre_06,MLAAD::Chatterbox,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,jane_eyre_06_f000021,mlaad_tiny::en::jane_eyre_06_f000021,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,5c6aa3ed3f06ef223555be8d94665a6da85fa9323685f2fdcff54656fefacf47,mlaad_tiny::en::jane_eyre_06_f000021,train,not_applicable,not_applicable
data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\jane_eyre_12_f000082.wav,1,1,0,1,0,mlaad::jane_eyre_12,MLAAD::Chatterbox,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,jane_eyre_12_f000082,mlaad_tiny::en::jane_eyre_12_f000082,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,147468e9868e6fe7cb712f860cd0d5d0f158b6ebd2efc4e36c82bf11e940a0c7,mlaad_tiny::en::jane_eyre_12_f000082,train,not_applicable,not_applicable
data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\jane_eyre_18_f000063.wav,1,1,0,1,0,mlaad::jane_eyre_18,MLAAD::Chatterbox,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,jane_eyre_18_f000063,mlaad_tiny::en::jane_eyre_18_f000063,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,8e2a7886943b4be526cc31d1b41920268b53c1a2054090bf4319cecd720c384d,mlaad_tiny::en::jane_eyre_18_f000063,train,not_applicable,not_applicable
