path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,split_group_id,source_url,version,license,allowed_for_competition,redistribution_allowed,commercial_restriction,dataset_name,content_hash,near_duplicate_group,data_role
data\raw\public_v9\real_music\guitarset\00_BN1-129-Eb_comp_mic.wav,0,0,0,0,1,guitarset_player_00,guitarset_mic::real,guitarset_mic,guitarset_mic,not_huggingface_official_archive,00_BN1-129-Eb_comp_mic,guitarset::player::00,https://zenodo.org/records/3371780,Zenodo record 3371780,CC BY 4.0,YES,PER_TRACK_LICENSE_WITH_ATTRIBUTION,FOLLOW_RECORDED_CC_LICENSE,guitarset_mic,59e1e3c9bebdabd48afe28050a2c031e6cf36e5697268301cdf2e74bc66b71f1,guitarset_mic::track::00_BN1-129-Eb_comp_mic,train
data\raw\public_v9\real_music\guitarset\00_BN1-129-Eb_solo_mic.wav,0,0,0,0,1,guitarset_player_00,guitarset_mic::real,guitarset_mic,guitarset_mic,not_huggingface_official_archive,00_BN1-129-Eb_solo_mic,guitarset::player::00,https://zenodo.org/records/3371780,Zenodo record 3371780,CC BY 4.0,YES,PER_TRACK_LICENSE_WITH_ATTRIBUTION,FOLLOW_RECORDED_CC_LICENSE,guitarset_mic,2a6057d0485d8ee2f4a04175ee085d610c0f7a13194e083b13ce803bec091d43,guitarset_mic::track::00_BN1-129-Eb_solo_mic,train
data\raw\public_v9\real_music\guitarset\00_BN1-147-Gb_comp_mic.wav,0,0,0,0,1,guitarset_player_00,guitarset_mic::real,guitarset_mic,guitarset_mic,not_huggingface_official_archive,00_BN1-147-Gb_comp_mic,guitarset::player::00,https://zenodo.org/records/3371780,Zenodo record 3371780,CC BY 4.0,YES,PER_TRACK_LICENSE_WITH_ATTRIBUTION,FOLLOW_RECORDED_CC_LICENSE,guitarset_mic,699b80b22b903b0ed58529fa0d68eb843ad1693430baf10f0c5bd882229b3e9d,guitarset_mic::track::00_BN1-147-Gb_comp_mic,train
data\raw\public_v9\real_music\guitarset\00_BN1-147-Gb_solo_mic.wav,0,0,0,0,1,guitarset_player_00,guitarset_mic::real,guitarset_mic,guitarset_mic,not_huggingface_official_archive,00_BN1-147-Gb_solo_mic,guitarset::player::00,https://zenodo.org/records/3371780,Zenodo record 3371780,CC BY 4.0,YES,PER_TRACK_LICENSE_WITH_ATTRIBUTION,FOLLOW_RECORDED_CC_LICENSE,guitarset_mic,07bb305f064e77312319aada10b1acf7c326b1ec7506f5a456748f04c8c06e9e,guitarset_mic::track::00_BN1-147-Gb_solo_mic,train
data\raw\public_v9\real_music\guitarset\00_BN2-131-B_comp_mic.wav,0,0,0,0,1,guitarset_player_00,guitarset_mic::real,guitarset_mic,guitarset_mic,not_huggingface_official_archive,00_BN2-131-B_comp_mic,guitarset::player::00,https://zenodo.org/records/3371780,Zenodo record 3371780,CC BY 4.0,YES,PER_TRACK_LICENSE_WITH_ATTRIBUTION,FOLLOW_RECORDED_CC_LICENSE,guitarset_mic,eff298aea64674e2976d1d80ab73612375fc7b59819867435fa295357de51146,guitarset_mic::track::00_BN2-131-B_comp_mic,train
data\raw\public_v9\real_music\guitarset\00_BN2-131-B_solo_mic.wav,0,0,0,0,1,guitarset_player_00,guitarset_mic::real,guitarset_mic,guitarset_mic,not_huggingface_official_archive,00_BN2-131-B_solo_mic,guitarset::player::00,https://zenodo.org/records/3371780,Zenodo record 3371780,CC BY 4.0,YES,PER_TRACK_LICENSE_WITH_ATTRIBUTION,FOLLOW_RECORDED_CC_LICENSE,guitarset_mic,fbc13c6efdd05455b4812bc855ed1d22f8cb2cfeeefe2fa09e2b3bf85ed8ff71,guitarset_mic::track::00_BN2-131-B_solo_mic,train
data\raw\public_v9\real_music\guitarset\00_BN2-166-Ab_comp_mic.wav,0,0,0,0,1,guitarset_player_00,guitarset_mic::real,guitarset_mic,guitarset_mic,not_huggingface_official_archive,00_BN2-166-Ab_comp_mic,guitarset::player::00,https://zenodo.org/records/3371780,Zenodo record 3371780,CC BY 4.0,YES,PER_TRACK_LICENSE_WITH_ATTRIBUTION,FOLLOW_RECORDED_CC_LICENSE,guitarset_mic,96f8d2baad5be003dd901c2048917a4dc8cacc7dca1ec3fea607900f201a3a55,guitarset_mic::track::00_BN2-166-Ab_comp_mic,train
data\raw\public_v9\real_music\guitarset\00_BN2-166-Ab_solo_mic.wav,0,0,0,0,1,guitarset_player_00,guitarset_mic::real,guitarset_mic,guitarset_mic,not_huggingface_official_archive,00_BN2-166-Ab_solo_mic,guitarset::player::00,https://zenodo.org/records/3371780,Zenodo record 3371780,CC BY 4.0,YES,PER_TRACK_LICENSE_WITH_ATTRIBUTION,FOLLOW_RECORDED_CC_LICENSE,guitarset_mic,d55cb5f934c763a94383a25c7d6fd6fd35a534cf73ce4582f69228c6d17a4cbe,guitarset_mic::track::00_BN2-166-Ab_solo_mic,train
data\raw\public_v9\real_music\guitarset\00_BN3-119-G_comp_mic.wav,0,0,0,0,1,guitarset_player_00,guitarset_mic::real,guitarset_mic,guitarset_mic,not_huggingface_official_archive,00_BN3-119-G_comp_mic,guitarset::player::00,https://zenodo.org/records/3371780,Zenodo record 3371780,CC BY 4.0,YES,PER_TRACK_LICENSE_WITH_ATTRIBUTION,FOLLOW_RECORDED_CC_LICENSE,guitarset_mic,56b5650341df8455f93e86ea7beb1b422e04f0ff412cae344b122144a23bf359,guitarset_mic::track::00_BN3-119-G_comp_mic,train
data\raw\public_v9\real_music\guitarset\00_BN3-119-G_solo_mic.wav,0,0,0,0,1,guitarset_player_00,guitarset_mic::real,guitarset_mic,guitarset_mic,not_huggingface_official_archive,00_BN3-119-G_solo_mic,guitarset::player::00,https://zenodo.org/records/3371780,Zenodo record 3371780,CC BY 4.0,YES,PER_TRACK_LICENSE_WITH_ATTRIBUTION,FOLLOW_RECORDED_CC_LICENSE,guitarset_mic,5593591eb81e6ef7a922b2286536cc444461eb02eec64825a909d5b26ca283da,guitarset_mic::track::00_BN3-119-G_solo_mic,train
