path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,split_group_id,source_url,version,license,allowed_for_competition,redistribution_allowed,commercial_restriction,dataset_name,content_hash,near_duplicate_group,data_role,upstream_split,upstream_label
data\raw\public_v9\sonics\fake_09000_suno_0.mp3,1,1,1,1,1,sonics::9000,SONICS::chirp-v2-xxl-alpha,sonics_official,sonics_official,awsaf49/sonics,fake_09000_suno_0,sonics::9000,https://github.com/awsaf49/sonics,official part_01 + metadata snapshot 2026-08-31,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,SONICS-fake,a8ed6ee95e668ad3dcfd1bb4052ba07a02d8337fdc373d334d07be8fdbfe33ea,sonics::9000,train,test,half fake
data\raw\public_v9\sonics\fake_09056_suno_0.mp3,1,1,1,1,1,sonics::9056,SONICS::chirp-v2-xxl-alpha,sonics_official,sonics_official,awsaf49/sonics,fake_09056_suno_0,sonics::9056,https://github.com/awsaf49/sonics,official part_01 + metadata snapshot 2026-08-31,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,SONICS-fake,476ac38bdf809a8f74e4040db5bb49ea01f0c4c56f7e891a085d5af39cfa122d,sonics::9056,train,test,mostly fake
data\raw\public_v9\sonics\fake_09059_suno_0.mp3,1,1,1,1,1,sonics::9059,SONICS::chirp-v2-xxl-alpha,sonics_official,sonics_official,awsaf49/sonics,fake_09059_suno_0,sonics::9059,https://github.com/awsaf49/sonics,official part_01 + metadata snapshot 2026-08-31,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,SONICS-fake,d7ae9775dc7006b342ce5aed40fdaf693bc5d9a168fdced8ec7e07f43961125d,sonics::9059,train,test,mostly fake
data\raw\public_v9\sonics\fake_09150_suno_0.mp3,1,1,1,1,1,sonics::9150,SONICS::chirp-v2-xxl-alpha,sonics_official,sonics_official,awsaf49/sonics,fake_09150_suno_0,sonics::9150,https://github.com/awsaf49/sonics,official part_01 + metadata snapshot 2026-08-31,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,SONICS-fake,da168ce74ec5a75867a6ffd7e03fce06329687202042220cf0d2f56a41f423df,sonics::9150,train,test,mostly fake
data\raw\public_v9\sonics\fake_09164_suno_0.mp3,1,1,1,1,1,sonics::9164,SONICS::chirp-v2-xxl-alpha,sonics_official,sonics_official,awsaf49/sonics,fake_09164_suno_0,sonics::9164,https://github.com/awsaf49/sonics,official part_01 + metadata snapshot 2026-08-31,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,SONICS-fake,3536869ca40f9b6d52d05e15177130156c10c5176638227a9bc0089a818a3ac6,sonics::9164,train,test,mostly fake
data\raw\public_v9\sonics\fake_09214_suno_0.mp3,1,1,1,1,1,sonics::9214,SONICS::chirp-v2-xxl-alpha,sonics_official,sonics_official,awsaf49/sonics,fake_09214_suno_0,sonics::9214,https://github.com/awsaf49/sonics,official part_01 + metadata snapshot 2026-08-31,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,SONICS-fake,c7a6c2edfbe50c812884743cf0bc242fb0f973f4ce93983ab010004889694d92,sonics::9214,train,valid,half fake
data\raw\public_v9\sonics\fake_09233_suno_0.mp3,1,1,1,1,1,sonics::9233,SONICS::chirp-v2-xxl-alpha,sonics_official,sonics_official,awsaf49/sonics,fake_09233_suno_0,sonics::9233,https://github.com/awsaf49/sonics,official part_01 + metadata snapshot 2026-08-31,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,SONICS-fake,3b7d45e7a225ef8928d0ec00e9d5f3a58031da4cb74351c746a7f1d316788482,sonics::9233,train,test,mostly fake
data\raw\public_v9\sonics\fake_09380_suno_0.mp3,1,1,1,1,1,sonics::9380,SONICS::chirp-v2-xxl-alpha,sonics_official,sonics_official,awsaf49/sonics,fake_09380_suno_0,sonics::9380,https://github.com/awsaf49/sonics,official part_01 + metadata snapshot 2026-08-31,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,SONICS-fake,501ca4d75cae5f8dba7eef310f3a7bc30c71a8523155dd111eeacffee08b77b3,sonics::9380,train,test,mostly fake
data\raw\public_v9\sonics\fake_09437_suno_0.mp3,1,1,1,1,1,sonics::9437,SONICS::chirp-v2-xxl-alpha,sonics_official,sonics_official,awsaf49/sonics,fake_09437_suno_0,sonics::9437,https://github.com/awsaf49/sonics,official part_01 + metadata snapshot 2026-08-31,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,SONICS-fake,2f58fae6c037c200c094a99791e414d6c9105c9efb05b819d40af779af8ad6eb,sonics::9437,train,test,mostly fake
data\raw\public_v9\sonics\fake_09519_suno_0.mp3,1,1,1,1,1,sonics::9519,SONICS::chirp-v2-xxl-alpha,sonics_official,sonics_official,awsaf49/sonics,fake_09519_suno_0,sonics::9519,https://github.com/awsaf49/sonics,official part_01 + metadata snapshot 2026-08-31,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,SONICS-fake,35e784ec6ca7c590ca7c5725209464d2d93a3c8ad1807620a4e5d2d421ef4fc1,sonics::9519,train,test,mostly fake
