path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,augment
data\raw\openslr_librispeech_asr\librispeech_dev_251-136532-0005.flac,0,0,0,1,0,251,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_251-136532-0005,none
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ029-0187.wav,1,1,0,1,0,wavefake_d2398e,WF5,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ029-0187,none
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ050-0272.wav,1,1,0,1,0,wavefake_aa2f20,WF5,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ050-0272,none
data\raw\openslr_librispeech_asr\librispeech_dev_84-121123-0024.flac,0,0,0,1,0,84,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_84-121123-0024,none
data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_1755508.flac,1,1,0,1,0,LA_0086,A02,asvspoof2019,asvspoof2019,Bisher/ASVspoof_2019_LA,asvspoof2019_LA_T_1755508,none
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ019-0388.wav,1,1,0,1,0,wavefake_602234,WF4,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ019-0388,none
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ048-0152.wav,1,1,0,1,0,wavefake_c1a66e,WF4,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ048-0152,none
data\raw\openslr_librispeech_asr\librispeech_dev_7850-286674-0008.flac,0,0,0,1,0,7850,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_7850-286674-0008,none
data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_3022880.flac,1,1,0,1,0,LA_0089,A01,asvspoof2019,asvspoof2019,Bisher/ASVspoof_2019_LA,asvspoof2019_LA_T_3022880,none
data\raw\openslr_librispeech_asr\librispeech_dev_2428-83699-0011.flac,0,0,0,1,0,2428,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2428-83699-0011,none
data\raw\sanchit-gandhi_gtzan\gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_classical_classical.wav,0,0,0,0,1,gtzan_1_7ba1,GTZAN_genre_1,gtzan_real,gtzan_real,sanchit-gandhi/gtzan,gtzan_real__home_sanchit_.cache_datasets_downloads_extracted_f729783d70a4541cc4c9d5649655490a9c660280bdbecddfe38a8a806c73f60e_genres_classical_classical.00041,none
