path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,split_group_id,base_voice_id,base_music_id,base_voice_speaker_id,base_music_speaker_id,base_voice_original_id,base_music_original_id,mix_mode,mix_snr_db,mix_overlap_fraction,mix_gap_sec,mix_crossfade_sec,mix_voice_gain_db,mix_music_gain_db,calibration_fold,augment,source_url,version,license,allowed_for_competition,redistribution_allowed,commercial_restriction,dataset_name,content_hash,near_duplicate_group,data_role,upstream_split,upstream_label
MIX::data\raw\public_v9\mlaad_tiny\fake\en\RVC\dorothy_and_wizard_oz_07_f000014.wav|data\raw\public_v9\echoes_fma_paired\fake\Celia_Ergo_Phizmiz_producer_ATA_001.mp3,1,1,1,1,1,voice=mlaad::dorothy_and_wizard_oz_07|music=fma_artist_129,mix::MLAAD::RVC::Echoes::producer,cal_v12::mlaad_tiny_matched::echoes_fma_paired,cal_v12_public_mix,mueller91/MLAAD-tiny|Octavian97/Echoes + official FMA,calv12::dorothy_and_wizard_oz_07_f000014::fma_22480::0375,calv12::mlaad_tiny::en::dorothy_and_wizard_oz_07_f000014::echoes_fma::22480,mlaad_tiny::en::dorothy_and_wizard_oz_07_f000014,echoes_fma::22480,mlaad::dorothy_and_wizard_oz_07,fma_artist_129,dorothy_and_wizard_oz_07_f000014,fma_22480,simultaneous,-6.0,1.0,0.0,0.05,0.0,0.0,cal_v12_a,none,https://huggingface.co/datasets/mueller91/MLAAD-tiny|https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,9143e5ea709575ebab6bec52840a1043aada7bb1|Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,voice[CC BY-NC 4.0] + music[generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/3.0/us/],YES,CONDITIONAL,YES_NONCOMMERCIAL_ONLY|FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,CAL_V12 derived public mix,f1630f494cb72020d3fe9d0a8ea9f654999bfb124a2d8e1fd76e04bb83cfdbe1,calv12::mlaad_tiny::en::dorothy_and_wizard_oz_07_f000014::echoes_fma::22480,cal_v12,public_v9_train_reserve,FF
MIX::data\raw\public_v9\mlaad_tiny\fake\en\RVC\dorothy_and_wizard_oz_07_f000014.wav|data\raw\public_v9\echoes_fma_paired\fake\Cloudy_Subway_Sonicbeat_audioldm_ATA_001.mp3,1,1,1,1,1,voice=mlaad::dorothy_and_wizard_oz_07|music=fma_artist_15501,mix::MLAAD::RVC::Echoes::audioldm,cal_v12::mlaad_tiny_matched::echoes_fma_paired,cal_v12_public_mix,mueller91/MLAAD-tiny|Octavian97/Echoes + official FMA,calv12::dorothy_and_wizard_oz_07_f000014::fma_71506::0489,calv12::mlaad_tiny::en::dorothy_and_wizard_oz_07_f000014::echoes_fma::71506,mlaad_tiny::en::dorothy_and_wizard_oz_07_f000014,echoes_fma::71506,mlaad::dorothy_and_wizard_oz_07,fma_artist_15501,dorothy_and_wizard_oz_07_f000014,fma_71506,simultaneous,6.0,0.5,0.0,0.05,0.0,0.0,cal_v12_a,none,https://huggingface.co/datasets/mueller91/MLAAD-tiny|https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,9143e5ea709575ebab6bec52840a1043aada7bb1|Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,voice[CC BY-NC 4.0] + music[generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/3.0/],YES,CONDITIONAL,YES_NONCOMMERCIAL_ONLY|FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,CAL_V12 derived public mix,d865f0a680b0b1999220d3dfd26bd9fefc1d27716b5d66a0a303b75952d0957f,calv12::mlaad_tiny::en::dorothy_and_wizard_oz_07_f000014::echoes_fma::71506,cal_v12,public_v9_train_reserve,FF
MIX::data\raw\public_v9\mlaad_tiny\fake\en\FishTTS\dorothy_and_wizard_oz_07_f000046.wav|data\raw\public_v9\echoes_fma_paired\fake\Burn_Room_For_A_Ghost_musicgen_ATA_001.wav,1,1,1,1,1,voice=mlaad::dorothy_and_wizard_oz_07|music=fma_artist_13115,mix::MLAAD::FishTTS::Echoes::musicgen,cal_v12::mlaad_tiny_matched::echoes_fma_paired,cal_v12_public_mix,mueller91/MLAAD-tiny|Octavian97/Echoes + official FMA,calv12::dorothy_and_wizard_oz_07_f000046::fma_61491::0402,calv12::mlaad_tiny::en::dorothy_and_wizard_oz_07_f000046::echoes_fma::61491,mlaad_tiny::en::dorothy_and_wizard_oz_07_f000046,echoes_fma::61491,mlaad::dorothy_and_wizard_oz_07,fma_artist_13115,dorothy_and_wizard_oz_07_f000046,fma_61491,simultaneous,0.0,0.75,0.0,0.05,0.0,0.0,cal_v12_a,none,https://huggingface.co/datasets/mueller91/MLAAD-tiny|https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,9143e5ea709575ebab6bec52840a1043aada7bb1|Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,voice[CC BY-NC 4.0] + music[generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/3.0/],YES,CONDITIONAL,YES_NONCOMMERCIAL_ONLY|FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,CAL_V12 derived public mix,6a7a8f085d49a4e213eced88c855d92c65a0ed8742bde8f8edd92ebb545f6e19,calv12::mlaad_tiny::en::dorothy_and_wizard_oz_07_f000046::echoes_fma::61491,cal_v12,public_v9_train_reserve,FF
MIX::data\raw\public_v9\mlaad_tiny\fake\en\Higgs-Audio-V2\dorothy_and_wizard_oz_08_f000005.wav|data\raw\public_v9\sonics\fake_09743_suno_0.mp3,1,1,1,1,1,voice=mlaad::dorothy_and_wizard_oz_08|music=sonics::9743,mix::MLAAD::Higgs-Audio-V2::SONICS::chirp-v2-xxl-alpha,cal_v12::mlaad_tiny_matched::sonics_official,cal_v12_public_mix,mueller91/MLAAD-tiny|awsaf49/sonics,calv12::dorothy_and_wizard_oz_08_f000005::fake_09743_suno_0::0429,calv12::mlaad_tiny::en::dorothy_and_wizard_oz_08_f000005::sonics::9743,mlaad_tiny::en::dorothy_and_wizard_oz_08_f000005,sonics::9743,mlaad::dorothy_and_wizard_oz_08,sonics::9743,dorothy_and_wizard_oz_08_f000005,fake_09743_suno_0,simultaneous,6.0,0.5,0.0,0.05,0.0,0.0,cal_v12_a,none,https://huggingface.co/datasets/mueller91/MLAAD-tiny|https://github.com/awsaf49/sonics,9143e5ea709575ebab6bec52840a1043aada7bb1|official part_01 + metadata snapshot 2026-08-31,voice[CC BY-NC 4.0] + music[CC BY-NC 4.0],YES,CONDITIONAL,YES_NONCOMMERCIAL_ONLY|YES_NONCOMMERCIAL_ONLY,CAL_V12 derived public mix,f4ab116f191df0822e992c40e120a9cfe37bc5520088560352e7d97a5ae843e1,calv12::mlaad_tiny::en::dorothy_and_wizard_oz_08_f000005::sonics::9743,cal_v12,public_v9_train_reserve,FF
MIX::data\raw\public_v9\mlaad_tiny\fake\en\RVC\dorothy_and_wizard_oz_08_f000016.wav|data\raw\public_v9\echoes_fma_paired\fake\Celia_Ergo_Phizmiz_stableaudio_TTA_001.mp3,1,1,1,1,1,voice=mlaad::dorothy_and_wizard_oz_08|music=fma_artist_129,mix::MLAAD::RVC::Echoes::stableaudio,cal_v12::mlaad_tiny_matched::echoes_fma_paired,cal_v12_public_mix,mueller91/MLAAD-tiny|Octavian97/Echoes + official FMA,calv12::dorothy_and_wizard_oz_08_f000016::fma_22480::0456,calv12::mlaad_tiny::en::dorothy_and_wizard_oz_08_f000016::echoes_fma::22480,mlaad_tiny::en::dorothy_and_wizard_oz_08_f000016,echoes_fma::22480,mlaad::dorothy_and_wizard_oz_08,fma_artist_129,dorothy_and_wizard_oz_08_f000016,fma_22480,simultaneous,-3.0,0.25,0.0,0.05,0.0,0.0,cal_v12_a,none,https://huggingface.co/datasets/mueller91/MLAAD-tiny|https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,9143e5ea709575ebab6bec52840a1043aada7bb1|Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,voice[CC BY-NC 4.0] + music[generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/3.0/us/],YES,CONDITIONAL,YES_NONCOMMERCIAL_ONLY|FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,CAL_V12 derived public mix,920a2e84f5e3ba08d3307cf5a7a96e1ce816d60d294314f0f9bc71406a1f7e54,calv12::mlaad_tiny::en::dorothy_and_wizard_oz_08_f000016::echoes_fma::22480,cal_v12,public_v9_train_reserve,FF
MIX::data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\dorothy_and_wizard_oz_08_f000065.wav|data\raw\public_v9\sonics\fake_09164_suno_0.mp3,1,1,1,1,1,voice=mlaad::dorothy_and_wizard_oz_08|music=sonics::9164,mix::MLAAD::Chatterbox::SONICS::chirp-v2-xxl-alpha,cal_v12::mlaad_tiny_matched::sonics_official,cal_v12_public_mix,mueller91/MLAAD-tiny|awsaf49/sonics,calv12::dorothy_and_wizard_oz_08_f000065::fake_09164_suno_0::0393,calv12::mlaad_tiny::en::dorothy_and_wizard_oz_08_f000065::sonics::9164,mlaad_tiny::en::dorothy_and_wizard_oz_08_f000065,sonics::9164,mlaad::dorothy_and_wizard_oz_08,sonics::9164,dorothy_and_wizard_oz_08_f000065,fake_09164_suno_0,simultaneous,3.0,0.5,0.0,0.05,0.0,0.0,cal_v12_a,none,https://huggingface.co/datasets/mueller91/MLAAD-tiny|https://github.com/awsaf49/sonics,9143e5ea709575ebab6bec52840a1043aada7bb1|official part_01 + metadata snapshot 2026-08-31,voice[CC BY-NC 4.0] + music[CC BY-NC 4.0],YES,CONDITIONAL,YES_NONCOMMERCIAL_ONLY|YES_NONCOMMERCIAL_ONLY,CAL_V12 derived public mix,befc6d09c0a43305871d6aedc66337e16cbf0b813cd710d5e427381cfb16ca99,calv12::mlaad_tiny::en::dorothy_and_wizard_oz_08_f000065::sonics::9164,cal_v12,public_v9_train_reserve,FF
MIX::data\raw\public_v9\mlaad_tiny\fake\en\f5-tts\dorothy_and_wizard_oz_14_f000043.wav|data\raw\public_v9\echoes_fma_paired\fake\Cold_Chains_Rolemusic_producer_ATA_001.mp3,1,1,1,1,1,voice=mlaad::dorothy_and_wizard_oz_14|music=fma_artist_10397,mix::MLAAD::f5-tts::Echoes::producer,cal_v12::mlaad_tiny_matched::echoes_fma_paired,cal_v12_public_mix,mueller91/MLAAD-tiny|Octavian97/Echoes + official FMA,calv12::dorothy_and_wizard_oz_14_f000043::fma_114004::0438,calv12::mlaad_tiny::en::dorothy_and_wizard_oz_14_f000043::echoes_fma::114004,mlaad_tiny::en::dorothy_and_wizard_oz_14_f000043,echoes_fma::114004,mlaad::dorothy_and_wizard_oz_14,fma_artist_10397,dorothy_and_wizard_oz_14_f000043,fma_114004,simultaneous,3.0,0.75,0.0,0.05,0.0,0.0,cal_v12_a,none,https://huggingface.co/datasets/mueller91/MLAAD-tiny|https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,9143e5ea709575ebab6bec52840a1043aada7bb1|Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,voice[CC BY-NC 4.0] + music[generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/3.0/],YES,CONDITIONAL,YES_NONCOMMERCIAL_ONLY|FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,CAL_V12 derived public mix,fd99013abfb6834b012f4e0b8448537d86ac381e985cc1d752516c8568d1ba9d,calv12::mlaad_tiny::en::dorothy_and_wizard_oz_14_f000043::echoes_fma::114004,cal_v12,public_v9_train_reserve,FF
MIX::data\raw\public_v9\mlaad_tiny\fake\en\Microsoft VibeVoice 1.5B\dorothy_and_wizard_oz_14_f000082.wav|data\raw\public_v9\sonics\fake_09380_suno_0.mp3,1,1,1,1,1,voice=mlaad::dorothy_and_wizard_oz_14|music=sonics::9380,mix::MLAAD::Microsoft VibeVoice 1.5B::SONICS::chirp-v2-xxl-alpha,cal_v12::mlaad_tiny_matched::sonics_official,cal_v12_public_mix,mueller91/MLAAD-tiny|awsaf49/sonics,calv12::dorothy_and_wizard_oz_14_f000082::fake_09380_suno_0::0426,calv12::mlaad_tiny::en::dorothy_and_wizard_oz_14_f000082::sonics::9380,mlaad_tiny::en::dorothy_and_wizard_oz_14_f000082,sonics::9380,mlaad::dorothy_and_wizard_oz_14,sonics::9380,dorothy_and_wizard_oz_14_f000082,fake_09380_suno_0,simultaneous,-3.0,0.75,0.0,0.05,0.0,0.0,cal_v12_a,none,https://huggingface.co/datasets/mueller91/MLAAD-tiny|https://github.com/awsaf49/sonics,9143e5ea709575ebab6bec52840a1043aada7bb1|official part_01 + metadata snapshot 2026-08-31,voice[CC BY-NC 4.0] + music[CC BY-NC 4.0],YES,CONDITIONAL,YES_NONCOMMERCIAL_ONLY|YES_NONCOMMERCIAL_ONLY,CAL_V12 derived public mix,995c730f0d18b4b54fc8643f2c1f7c7f5bbff3e70d59421c67f411795cdc9528,calv12::mlaad_tiny::en::dorothy_and_wizard_oz_14_f000082::sonics::9380,cal_v12,public_v9_train_reserve,FF
MIX::data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\dorothy_and_wizard_oz_14_f000118.wav|data\raw\public_v9\sonics\fake_10003_suno_0.mp3,1,1,1,1,1,voice=mlaad::dorothy_and_wizard_oz_14|music=sonics::10003,mix::MLAAD::Chatterbox::SONICS::chirp-v2-xxl-alpha,cal_v12::mlaad_tiny_matched::sonics_official,cal_v12_public_mix,mueller91/MLAAD-tiny|awsaf49/sonics,calv12::dorothy_and_wizard_oz_14_f000118::fake_10003_suno_0::0390,calv12::mlaad_tiny::en::dorothy_and_wizard_oz_14_f000118::sonics::10003,mlaad_tiny::en::dorothy_and_wizard_oz_14_f000118,sonics::10003,mlaad::dorothy_and_wizard_oz_14,sonics::10003,dorothy_and_wizard_oz_14_f000118,fake_10003_suno_0,simultaneous,-6.0,0.75,0.0,0.05,0.0,0.0,cal_v12_a,none,https://huggingface.co/datasets/mueller91/MLAAD-tiny|https://github.com/awsaf49/sonics,9143e5ea709575ebab6bec52840a1043aada7bb1|official part_01 + metadata snapshot 2026-08-31,voice[CC BY-NC 4.0] + music[CC BY-NC 4.0],YES,CONDITIONAL,YES_NONCOMMERCIAL_ONLY|YES_NONCOMMERCIAL_ONLY,CAL_V12 derived public mix,d929e4014489efc693d30b12f34cee5ffdda7cddc6171ba9ac48ef0958029022,calv12::mlaad_tiny::en::dorothy_and_wizard_oz_14_f000118::sonics::10003,cal_v12,public_v9_train_reserve,FF
MIX::data\raw\public_v9\mlaad_tiny\fake\en\FireRedTTS-2.0\dorothy_and_wizard_oz_14_f000119.wav|data\raw\public_v9\echoes_fma_paired\fake\Celia_Ergo_Phizmiz_mubert_TTA_001.mp3,1,1,1,1,1,voice=mlaad::dorothy_and_wizard_oz_14|music=fma_artist_129,mix::MLAAD::FireRedTTS-2.0::Echoes::mubert,cal_v12::mlaad_tiny_matched::echoes_fma_paired,cal_v12_public_mix,mueller91/MLAAD-tiny|Octavian97/Echoes + official FMA,calv12::dorothy_and_wizard_oz_14_f000119::fma_22480::0447,calv12::mlaad_tiny::en::dorothy_and_wizard_oz_14_f000119::echoes_fma::22480,mlaad_tiny::en::dorothy_and_wizard_oz_14_f000119,echoes_fma::22480,mlaad::dorothy_and_wizard_oz_14,fma_artist_129,dorothy_and_wizard_oz_14_f000119,fma_22480,simultaneous,0.0,1.0,0.0,0.05,0.0,0.0,cal_v12_a,none,https://huggingface.co/datasets/mueller91/MLAAD-tiny|https://huggingface.co/datasets/Octavian97/Echoes ; https://github.com/mdeff/fma,9143e5ea709575ebab6bec52840a1043aada7bb1|Echoes 14b0c76c6a691c42fadfab9fb6a4eb1ee8c628a2; FMA metadata rc1,voice[CC BY-NC 4.0] + music[generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/3.0/us/],YES,CONDITIONAL,YES_NONCOMMERCIAL_ONLY|FOLLOW_ORIGINAL_FMA_TRACK_LICENSE,CAL_V12 derived public mix,d0dfc95ecfdb31affae87b803d5cecb3add2cf77caa424d311f6f3e89da3c417,calv12::mlaad_tiny::en::dorothy_and_wizard_oz_14_f000119::echoes_fma::22480,cal_v12,public_v9_train_reserve,FF
