path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,split_group_id,base_voice_id,base_music_id,mix_mode,mix_snr_db,mix_overlap_fraction,mix_gap_sec,mix_crossfade_sec,mix_voice_gain_db,mix_music_gain_db,augment,source_url,version,license,allowed_for_competition,redistribution_allowed,commercial_restriction,dataset_name,content_hash,near_duplicate_group,data_role,upstream_split,upstream_label
data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\dorothy_and_wizard_oz_08_f000065.wav,1,1,0,1,0,mlaad::dorothy_and_wizard_oz_08,MLAAD::Chatterbox,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,dorothy_and_wizard_oz_08_f000065,mlaad_tiny::en::dorothy_and_wizard_oz_08_f000065,,,,,,,,,,,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,149606610d6212721ab02037ddc91f70e721ac7e7ec7a803e7fac9b75bf198b3,mlaad_tiny::en::dorothy_and_wizard_oz_08_f000065,train,not_applicable,not_applicable
data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\dorothy_and_wizard_oz_14_f000118.wav,1,1,0,1,0,mlaad::dorothy_and_wizard_oz_14,MLAAD::Chatterbox,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,dorothy_and_wizard_oz_14_f000118,mlaad_tiny::en::dorothy_and_wizard_oz_14_f000118,,,,,,,,,,,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,17e8fdc42a108e2a355f143b7c38b24a10297879af7a4d48d6bc586e46d643b1,mlaad_tiny::en::dorothy_and_wizard_oz_14_f000118,train,not_applicable,not_applicable
data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\emerald_city_of_oz_13_f000060.wav,1,1,0,1,0,mlaad::emerald_city_of_oz_13,MLAAD::Chatterbox,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,emerald_city_of_oz_13_f000060,mlaad_tiny::en::emerald_city_of_oz_13_f000060,,,,,,,,,,,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,8f4cab49bffcf12ee885b8099507912b66348efb95d43e7d806c8c34111e0380,mlaad_tiny::en::emerald_city_of_oz_13_f000060,train,not_applicable,not_applicable
data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\hunters_space_18_f000010.wav,1,1,0,1,0,mlaad::hunters_space_18,MLAAD::Chatterbox,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,hunters_space_18_f000010,mlaad_tiny::en::hunters_space_18_f000010,,,,,,,,,,,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,d68c532d75a469ab2a1d4391db6b511bb2952d12037df0682e38f58db715be80,mlaad_tiny::en::hunters_space_18_f000010,train,not_applicable,not_applicable
data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\jane_eyre_05_f000047.wav,1,1,0,1,0,mlaad::jane_eyre_05,MLAAD::Chatterbox,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,jane_eyre_05_f000047,mlaad_tiny::en::jane_eyre_05_f000047,,,,,,,,,,,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,6b22df8b2d236ebfd196fa858ae9bc1a90149005deaecb34464820a72a7373ea,mlaad_tiny::en::jane_eyre_05_f000047,train,not_applicable,not_applicable
data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\jane_eyre_06_f000021.wav,1,1,0,1,0,mlaad::jane_eyre_06,MLAAD::Chatterbox,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,jane_eyre_06_f000021,mlaad_tiny::en::jane_eyre_06_f000021,,,,,,,,,,,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,5c6aa3ed3f06ef223555be8d94665a6da85fa9323685f2fdcff54656fefacf47,mlaad_tiny::en::jane_eyre_06_f000021,train,not_applicable,not_applicable
data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\jane_eyre_18_f000063.wav,1,1,0,1,0,mlaad::jane_eyre_18,MLAAD::Chatterbox,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,jane_eyre_18_f000063,mlaad_tiny::en::jane_eyre_18_f000063,,,,,,,,,,,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,8e2a7886943b4be526cc31d1b41920268b53c1a2054090bf4319cecd720c384d,mlaad_tiny::en::jane_eyre_18_f000063,train,not_applicable,not_applicable
data\raw\public_v9\mlaad_tiny\fake\en\FireRedTTS-2.0\dorothy_and_wizard_oz_14_f000119.wav,1,1,0,1,0,mlaad::dorothy_and_wizard_oz_14,MLAAD::FireRedTTS-2.0,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,dorothy_and_wizard_oz_14_f000119,mlaad_tiny::en::dorothy_and_wizard_oz_14_f000119,,,,,,,,,,,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,08e1fd34ce4eaa91f2157f0ea2b189aca34e5d79c95198b12c3a7c54a31ec2f4,mlaad_tiny::en::dorothy_and_wizard_oz_14_f000119,train,not_applicable,not_applicable
data\raw\public_v9\mlaad_tiny\fake\en\FireRedTTS-2.0\emerald_city_of_oz_08_f000059.wav,1,1,0,1,0,mlaad::emerald_city_of_oz_08,MLAAD::FireRedTTS-2.0,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,emerald_city_of_oz_08_f000059,mlaad_tiny::en::emerald_city_of_oz_08_f000059,,,,,,,,,,,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,405fc2f2d87374ee8675ec40843d686e48939858692bc4b5a34635f2659f50ea,mlaad_tiny::en::emerald_city_of_oz_08_f000059,train,not_applicable,not_applicable
data\raw\public_v9\mlaad_tiny\fake\en\FireRedTTS-2.0\emerald_city_of_oz_08_f000073.wav,1,1,0,1,0,mlaad::emerald_city_of_oz_08,MLAAD::FireRedTTS-2.0,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,emerald_city_of_oz_08_f000073,mlaad_tiny::en::emerald_city_of_oz_08_f000073,,,,,,,,,,,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,2727d66bae293fcc1e4cbd1bc1074130a69c0c3e5f78885270cc41f25dc55c6c,mlaad_tiny::en::emerald_city_of_oz_08_f000073,train,not_applicable,not_applicable
