path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,split_group_id,base_voice_id,base_music_id,mix_mode,mix_snr_db,mix_overlap_fraction,mix_gap_sec,mix_crossfade_sec,mix_voice_gain_db,mix_music_gain_db,augment,source_url,version,license,allowed_for_competition,redistribution_allowed,commercial_restriction,dataset_name,content_hash,near_duplicate_group,data_role,upstream_split,upstream_label,base_voice_speaker_id,base_music_speaker_id,base_voice_original_id,base_music_original_id,calibration_fold
C:\Users\lLrich\ai_voice_data_v12\files\3e7eafd5865611855d919f255606cb1e7f1f501b6a06f0e76e487f541e25e71b.flac,0,0,0,1,0,1988,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1988-24833-0026,libri::1988,libri::1988,,,,,,,,,none,,,,,,,,,,train_v12,,,,,,,
C:\Users\lLrich\ai_voice_data_v12\files\00d9572c4db34a91f769047d9518fc84d00f7989f26fe18dc9e4dcf5366a7232.flac,0,0,0,1,0,6345,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_6345-93302-0010,libri::6345,libri::6345,,,,,,,,,none,,,,,,,,,,train_v12,,,,,,,
C:\Users\lLrich\ai_voice_data_v12\files\917f2fbf78b949bfd962a84b64d092108e486f29e460f65335c011103c13ba43.flac,0,0,0,1,0,2078,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2078-142845-0048,libri::2078,libri::2078,,,,,,,,,none,,,,,,,,,,train_v12,,,,,,,
C:\Users\lLrich\ai_voice_data_v12\files\2be61d526e2efce25c55d02e2c641f7798b687167e4e59135d42069835918081.flac,0,0,0,1,0,2902,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2902-9006-0017,libri::2902,libri::2902,,,,,,,,,none,,,,,,,,,,train_v12,,,,,,,
C:\Users\lLrich\ai_voice_data_v12\files\2d6ebc5a5e6f9487cb01e02a81d8e0f74ceadc0fb29853460c77bf2f4643ead5.flac,0,0,0,1,0,5694,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5694-64029-0000,libri::5694,libri::5694,,,,,,,,,none,,,,,,,,,,train_v12,,,,,,,
C:\Users\lLrich\ai_voice_data_v12\files\e8a5d385eeda27aee4abfacad14941139343a69e6a5f714576dcaa23b38ceebf.flac,0,0,0,1,0,251,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_251-137823-0017,libri::251,libri::251,,,,,,,,,none,,,,,,,,,,train_v12,,,,,,,
C:\Users\lLrich\ai_voice_data_v12\files\0082c1c14416ac468de7136613c6390aee57e9c1e315488b2cb1edc556e2e001.flac,0,0,0,1,0,1988,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1988-147956-0008,libri::1988,libri::1988,,,,,,,,,none,,,,,,,,,,train_v12,,,,,,,
C:\Users\lLrich\ai_voice_data_v12\files\8f5bd2fe1d7f9a539adb09bbe56b892a777a4bf2a01792b2fbaef6fddc80cd49.flac,0,0,0,1,0,652,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_652-130737-0011,libri::652,libri::652,,,,,,,,,none,,,,,,,,,,train_v12,,,,,,,
C:\Users\lLrich\ai_voice_data_v12\files\9100b854ae0c12b24de379e174e08c01355b48f132be6465e68a2ce374352e23.flac,0,0,0,1,0,3081,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3081-166546-0008,libri::3081,libri::3081,,,,,,,,,none,,,,,,,,,,train_v12,,,,,,,
C:\Users\lLrich\ai_voice_data_v12\files\237b2f5ffb6d1dcd164a30765671f4847d3875bfc67de356b4382b4f10528c82.flac,0,0,0,1,0,652,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_652-130737-0010,libri::652,libri::652,,,,,,,,,none,,,,,,,,,,train_v12,,,,,,,
