path,sha256,source,license,generator,split_group_id,training_role
C:\Users\lLrich\ai_voice_data_v12\files\003d312527b4201dd617c25489eed884978810f5d4c330597f0dd25443da5143.flac,003d312527b4201dd617c25489eed884978810f5d4c330597f0dd25443da5143,librispeech_dev,unknown,LibriSpeech,libri::3081,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\004213ca72eb1105912f62bfb1a55fabd67499c07563b93659c6c7e9a882bc3f.wav,004213ca72eb1105912f62bfb1a55fabd67499c07563b93659c6c7e9a882bc3f,gtzan_real_v2,unknown,GTZAN_genre_0,gtzan::gtzan_v2_blues.00091,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\006da221c19fb07d99e22306f0e03be0bd3e1bdcd31eb8e7db83db3931c2cf8b.wav,006da221c19fb07d99e22306f0e03be0bd3e1bdcd31eb8e7db83db3931c2cf8b,gtzan_real_v2,unknown,GTZAN_genre_3,gtzan::gtzan_v2_disco.00006,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\0082c1c14416ac468de7136613c6390aee57e9c1e315488b2cb1edc556e2e001.flac,0082c1c14416ac468de7136613c6390aee57e9c1e315488b2cb1edc556e2e001,librispeech_dev,unknown,LibriSpeech,libri::1988,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\008e7a73516fe07bf2dcf7870bd2fb2a4ecd139c7a2f575575245f6130185e31.flac,008e7a73516fe07bf2dcf7870bd2fb2a4ecd139c7a2f575575245f6130185e31,librispeech_dev,unknown,LibriSpeech,libri::7976,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\00ae184307da8f9d36667546bd5fe543f46f7f03d9f8fa1c432ff52982b1b384.wav,00ae184307da8f9d36667546bd5fe543f46f7f03d9f8fa1c432ff52982b1b384,guitarset_mic,CC BY 4.0,guitarset_mic::real,guitarset::player::01,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\00cdf3460ef31be49312fb7f3c520045a85b83b6b1b70b9efd9a986431490281.wav,00cdf3460ef31be49312fb7f3c520045a85b83b6b1b70b9efd9a986431490281,guitarset_mic,CC BY 4.0,guitarset_mic::real,guitarset::player::05,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\00d8cb49189c7e78743e6880682242b3a6804888d8eae59d2f72f83b06ca290c.wav,00d8cb49189c7e78743e6880682242b3a6804888d8eae59d2f72f83b06ca290c,mlaad_tiny_matched,CC BY-NC 4.0,MLAAD::MiniCPM-o-2.6,mlaad_tiny::en::hunters_space_04_f000021,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\00d9572c4db34a91f769047d9518fc84d00f7989f26fe18dc9e4dcf5366a7232.flac,00d9572c4db34a91f769047d9518fc84d00f7989f26fe18dc9e4dcf5366a7232,librispeech_dev,unknown,LibriSpeech,libri::6345,v12_student_train
C:\Users\lLrich\ai_voice_data_v12\files\0132d581b0215eaf75dfbe81dd709aa6980938c32fd7eac2b15ecf9f6ccdb6d1.mp3,0132d581b0215eaf75dfbe81dd709aa6980938c32fd7eac2b15ecf9f6ccdb6d1,echoes_fma_paired,generated CC BY-SA 4.0; original http://creativecommons.org/licenses/by/4.0/,Echoes::stableaudio,echoes_fma::135341,v12_student_train
