path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,split_group_id,source_url,version,license,allowed_for_competition,redistribution_allowed,commercial_restriction,dataset_name,content_hash,near_duplicate_group,data_role,upstream_split,upstream_label,audio_sha256,generation_seed,generator_family,recommended_split,generated_by,external_assets_used,base_voice_id,base_music_id,duration_sec,sample_rate,peak,rms,dc_offset,clipping_fraction,mix_snr_db,v13_role,source_path,sha256,competition_use_status,generator_version,language,speaker,track,content_group,split_group,augmentation,seed
C:\Users\lLrich\ai_voice_data_v13\raw\mlaad_tiny_matched\d9189a2bac8cc4bc7b34ee73ab5bc62c3c8e8e1711d4b1c7e2752c56097c05f9.wav,1,1,0,1,0,mlaad::dorothy_and_wizard_oz_05,MLAAD::RVC,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,dorothy_and_wizard_oz_05_f000049,mlaad_tiny::en::dorothy_and_wizard_oz_05_f000049,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,d9189a2bac8cc4bc7b34ee73ab5bc62c3c8e8e1711d4b1c7e2752c56097c05f9,mlaad_tiny::en::dorothy_and_wizard_oz_05_f000049,train,not_applicable,not_applicable,,,MLAAD::RVC,,,,,,,,,,,,,cal_v13,data\raw\public_v9\mlaad_tiny\fake\en\RVC\dorothy_and_wizard_oz_05_f000049.wav,d9189a2bac8cc4bc7b34ee73ab5bc62c3c8e8e1711d4b1c7e2752c56097c05f9,APPROVED,9143e5ea709575ebab6bec52840a1043aada7bb1,en,mlaad::dorothy_and_wizard_oz_05,dorothy_and_wizard_oz_05_f000049,dorothy_and_wizard_oz_05_f000049,mlaad_tiny::en::dorothy_and_wizard_oz_05_f000049,none,-1
C:\Users\lLrich\ai_voice_data_v13\raw\mlaad_tiny_matched\71620bfde4d98bf176b3e38022b7f9ce5e1b32de1fbb154999ecf14baf7d670b.wav,1,1,0,1,0,mlaad::dorothy_and_wizard_oz_05,MLAAD::RVC,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,dorothy_and_wizard_oz_05_f000058,mlaad_tiny::en::dorothy_and_wizard_oz_05_f000058,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,71620bfde4d98bf176b3e38022b7f9ce5e1b32de1fbb154999ecf14baf7d670b,mlaad_tiny::en::dorothy_and_wizard_oz_05_f000058,train,not_applicable,not_applicable,,,MLAAD::RVC,,,,,,,,,,,,,cal_v13,data\raw\public_v9\mlaad_tiny\fake\en\RVC\dorothy_and_wizard_oz_05_f000058.wav,71620bfde4d98bf176b3e38022b7f9ce5e1b32de1fbb154999ecf14baf7d670b,APPROVED,9143e5ea709575ebab6bec52840a1043aada7bb1,en,mlaad::dorothy_and_wizard_oz_05,dorothy_and_wizard_oz_05_f000058,dorothy_and_wizard_oz_05_f000058,mlaad_tiny::en::dorothy_and_wizard_oz_05_f000058,none,-1
C:\Users\lLrich\ai_voice_data_v13\raw\mlaad_tiny_matched\6ad89505ccec6213c1831c99d211b2d0b0aafd6e3c6d3d346282b989321c77db.wav,1,1,0,1,0,mlaad::dorothy_and_wizard_oz_07,MLAAD::RVC,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,dorothy_and_wizard_oz_07_f000014,mlaad_tiny::en::dorothy_and_wizard_oz_07_f000014,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,6ad89505ccec6213c1831c99d211b2d0b0aafd6e3c6d3d346282b989321c77db,mlaad_tiny::en::dorothy_and_wizard_oz_07_f000014,train,not_applicable,not_applicable,,,MLAAD::RVC,,,,,,,,,,,,,cal_v13,data\raw\public_v9\mlaad_tiny\fake\en\RVC\dorothy_and_wizard_oz_07_f000014.wav,6ad89505ccec6213c1831c99d211b2d0b0aafd6e3c6d3d346282b989321c77db,APPROVED,9143e5ea709575ebab6bec52840a1043aada7bb1,en,mlaad::dorothy_and_wizard_oz_07,dorothy_and_wizard_oz_07_f000014,dorothy_and_wizard_oz_07_f000014,mlaad_tiny::en::dorothy_and_wizard_oz_07_f000014,none,-1
C:\Users\lLrich\ai_voice_data_v13\raw\mlaad_tiny_matched\44aa4335c5d051b268ca38afb76bab8a4e1fa2f069c6cd13b460cc9c98984ce9.wav,1,1,0,1,0,mlaad::dorothy_and_wizard_oz_08,MLAAD::RVC,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,dorothy_and_wizard_oz_08_f000016,mlaad_tiny::en::dorothy_and_wizard_oz_08_f000016,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,44aa4335c5d051b268ca38afb76bab8a4e1fa2f069c6cd13b460cc9c98984ce9,mlaad_tiny::en::dorothy_and_wizard_oz_08_f000016,train,not_applicable,not_applicable,,,MLAAD::RVC,,,,,,,,,,,,,cal_v13,data\raw\public_v9\mlaad_tiny\fake\en\RVC\dorothy_and_wizard_oz_08_f000016.wav,44aa4335c5d051b268ca38afb76bab8a4e1fa2f069c6cd13b460cc9c98984ce9,APPROVED,9143e5ea709575ebab6bec52840a1043aada7bb1,en,mlaad::dorothy_and_wizard_oz_08,dorothy_and_wizard_oz_08_f000016,dorothy_and_wizard_oz_08_f000016,mlaad_tiny::en::dorothy_and_wizard_oz_08_f000016,none,-1
C:\Users\lLrich\ai_voice_data_v13\raw\mlaad_tiny_matched\b9cecc0b1a802f9da9c88378f45deff9f9ff5001ff7def16ce1bff5b8c76740d.wav,1,1,0,1,0,mlaad::dorothy_and_wizard_oz_13,MLAAD::RVC,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,dorothy_and_wizard_oz_13_f000057,mlaad_tiny::en::dorothy_and_wizard_oz_13_f000057,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,b9cecc0b1a802f9da9c88378f45deff9f9ff5001ff7def16ce1bff5b8c76740d,mlaad_tiny::en::dorothy_and_wizard_oz_13_f000057,train,not_applicable,not_applicable,,,MLAAD::RVC,,,,,,,,,,,,,cal_v13,data\raw\public_v9\mlaad_tiny\fake\en\RVC\dorothy_and_wizard_oz_13_f000057.wav,b9cecc0b1a802f9da9c88378f45deff9f9ff5001ff7def16ce1bff5b8c76740d,APPROVED,9143e5ea709575ebab6bec52840a1043aada7bb1,en,mlaad::dorothy_and_wizard_oz_13,dorothy_and_wizard_oz_13_f000057,dorothy_and_wizard_oz_13_f000057,mlaad_tiny::en::dorothy_and_wizard_oz_13_f000057,none,-1
C:\Users\lLrich\ai_voice_data_v13\raw\mlaad_tiny_matched\68614f2b75965b92734b4c83050315b0e5c77a86e4b64c40640bc81b9f84ff5d.wav,1,1,0,1,0,mlaad::dorothy_and_wizard_oz_18,MLAAD::RVC,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,dorothy_and_wizard_oz_18_f000066,mlaad_tiny::en::dorothy_and_wizard_oz_18_f000066,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,68614f2b75965b92734b4c83050315b0e5c77a86e4b64c40640bc81b9f84ff5d,mlaad_tiny::en::dorothy_and_wizard_oz_18_f000066,train,not_applicable,not_applicable,,,MLAAD::RVC,,,,,,,,,,,,,cal_v13,data\raw\public_v9\mlaad_tiny\fake\en\RVC\dorothy_and_wizard_oz_18_f000066.wav,68614f2b75965b92734b4c83050315b0e5c77a86e4b64c40640bc81b9f84ff5d,APPROVED,9143e5ea709575ebab6bec52840a1043aada7bb1,en,mlaad::dorothy_and_wizard_oz_18,dorothy_and_wizard_oz_18_f000066,dorothy_and_wizard_oz_18_f000066,mlaad_tiny::en::dorothy_and_wizard_oz_18_f000066,none,-1
C:\Users\lLrich\ai_voice_data_v13\raw\mlaad_tiny_matched\371c3f193fe6e2ab11d8c6ff54ac4372923ef5e4da9bf9686468a25b66280880.wav,1,1,0,1,0,mlaad::emerald_city_of_oz_05,MLAAD::RVC,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,emerald_city_of_oz_05_f000077,mlaad_tiny::en::emerald_city_of_oz_05_f000077,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,371c3f193fe6e2ab11d8c6ff54ac4372923ef5e4da9bf9686468a25b66280880,mlaad_tiny::en::emerald_city_of_oz_05_f000077,train,not_applicable,not_applicable,,,MLAAD::RVC,,,,,,,,,,,,,cal_v13,data\raw\public_v9\mlaad_tiny\fake\en\RVC\emerald_city_of_oz_05_f000077.wav,371c3f193fe6e2ab11d8c6ff54ac4372923ef5e4da9bf9686468a25b66280880,APPROVED,9143e5ea709575ebab6bec52840a1043aada7bb1,en,mlaad::emerald_city_of_oz_05,emerald_city_of_oz_05_f000077,emerald_city_of_oz_05_f000077,mlaad_tiny::en::emerald_city_of_oz_05_f000077,none,-1
C:\Users\lLrich\ai_voice_data_v13\raw\mlaad_tiny_matched\80d8505c62ec8cc132b644b25a5977dde7e0df54cdf4b22c766d172b229b0c39.wav,1,1,0,1,0,mlaad::emerald_city_of_oz_26,MLAAD::RVC,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,emerald_city_of_oz_26_f000009,mlaad_tiny::en::emerald_city_of_oz_26_f000009,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,80d8505c62ec8cc132b644b25a5977dde7e0df54cdf4b22c766d172b229b0c39,mlaad_tiny::en::emerald_city_of_oz_26_f000009,train,not_applicable,not_applicable,,,MLAAD::RVC,,,,,,,,,,,,,cal_v13,data\raw\public_v9\mlaad_tiny\fake\en\RVC\emerald_city_of_oz_26_f000009.wav,80d8505c62ec8cc132b644b25a5977dde7e0df54cdf4b22c766d172b229b0c39,APPROVED,9143e5ea709575ebab6bec52840a1043aada7bb1,en,mlaad::emerald_city_of_oz_26,emerald_city_of_oz_26_f000009,emerald_city_of_oz_26_f000009,mlaad_tiny::en::emerald_city_of_oz_26_f000009,none,-1
C:\Users\lLrich\ai_voice_data_v13\raw\mlaad_tiny_matched\3c39342d2074c068309396ce4561728f6653367bd179622fbc8d3504e0870aa4.wav,1,1,0,1,0,mlaad::emerald_city_of_oz_28,MLAAD::RVC,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,emerald_city_of_oz_28_f000037,mlaad_tiny::en::emerald_city_of_oz_28_f000037,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,3c39342d2074c068309396ce4561728f6653367bd179622fbc8d3504e0870aa4,mlaad_tiny::en::emerald_city_of_oz_28_f000037,train,not_applicable,not_applicable,,,MLAAD::RVC,,,,,,,,,,,,,cal_v13,data\raw\public_v9\mlaad_tiny\fake\en\RVC\emerald_city_of_oz_28_f000037.wav,3c39342d2074c068309396ce4561728f6653367bd179622fbc8d3504e0870aa4,APPROVED,9143e5ea709575ebab6bec52840a1043aada7bb1,en,mlaad::emerald_city_of_oz_28,emerald_city_of_oz_28_f000037,emerald_city_of_oz_28_f000037,mlaad_tiny::en::emerald_city_of_oz_28_f000037,none,-1
C:\Users\lLrich\ai_voice_data_v13\raw\mlaad_tiny_matched\4499be2e5c0e8e725bea666038cff9af53aa3b360b5fc4729f0011daf99b8992.wav,1,1,0,1,0,mlaad::jane_eyre_04,MLAAD::RVC,mlaad_tiny_matched,mlaad_tiny_matched,mueller91/MLAAD-tiny,jane_eyre_04_f000074,mlaad_tiny::en::jane_eyre_04_f000074,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,CC BY-NC 4.0,YES,YES_WITH_ATTRIBUTION_NONCOMMERCIAL,YES_NONCOMMERCIAL_ONLY,MLAAD-tiny-fake,4499be2e5c0e8e725bea666038cff9af53aa3b360b5fc4729f0011daf99b8992,mlaad_tiny::en::jane_eyre_04_f000074,train,not_applicable,not_applicable,,,MLAAD::RVC,,,,,,,,,,,,,cal_v13,data\raw\public_v9\mlaad_tiny\fake\en\RVC\jane_eyre_04_f000074.wav,4499be2e5c0e8e725bea666038cff9af53aa3b360b5fc4729f0011daf99b8992,APPROVED,9143e5ea709575ebab6bec52840a1043aada7bb1,en,mlaad::jane_eyre_04,jane_eyre_04_f000074,jane_eyre_04_f000074,mlaad_tiny::en::jane_eyre_04_f000074,none,-1
