path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,split_group_id,source_url,version,license,allowed_for_competition,redistribution_allowed,commercial_restriction,dataset_name,content_hash,near_duplicate_group,data_role,upstream_split,upstream_label,content_group,generator_family,competition_use_status,base_audio_id,base_voice_id,base_music_id,voice_content_group,music_content_group,voice_generator_family,music_generator_family,parent_real_id,parent_fake_id,augmentation,approval_basis,license_source,license_snapshot_sha256,reviewed_at,v13b_role,audio_sha256,source_path,source_audio_sha256,sample_rate,codec,extension,channel_policy,augment,mix_state,mix_mode,mix_snr_db,mix_crossfade_sec,mix_overlap_fraction,mix_gap_sec,mix_voice_gain_db,mix_music_gain_db
MIX::C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\68f72f3dfdf9a8afcc570f19e3702392bcc0d533b64eaaf356abe5d52c741920.wav|C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\echoes_fma_paired\e931cf91a17e1f4f3e4df72c3a85b9d3b00c07152fecd157b48f1c37448a9f96.wav,0,0,0,1,1,mlaad::dorothy_and_wizard_oz_08,MIX::MLAAD_original+Echoes::FMA_original,v13b_mixed_balanced,v13b_mixed_balanced,mueller91/MLAAD-tiny,dorothy_and_wizard_oz_08_f000065,mix::dorothy_and_wizard_oz_08_f000065::fma_114004::0,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,M-AILABS original corpus license (see MLAAD LICENSE),YES,YES_WITH_NOTICE,NO_FOR_ORIGINAL_SUBSET,MLAAD-tiny-original,68f72f3dfdf9a8afcc570f19e3702392bcc0d533b64eaaf356abe5d52c741920,mlaad_tiny::en::dorothy_and_wizard_oz_08_f000065,mixed,not_applicable,not_applicable,mix::dorothy_and_wizard_oz_08_f000065::fma_114004::0,MIX::MLAAD_original+Echoes::FMA_original,APPROVED,dorothy_and_wizard_oz_08_f000065|fma_114004,dorothy_and_wizard_oz_08_f000065,fma_114004,dorothy_and_wizard_oz_08_f000065,fma_114004,MLAAD_original,Echoes::FMA_original,dorothy_and_wizard_oz_08_f000065|fma_114004,ABSENT,none,"pinned source manifest records URL, revision, CC BY-NC 4.0, and competition-use review",data/public_v9/mlaad_tiny_manifest.csv,10a43f18db51d2afeafafb46b8f1bb3436434921b728dddb198ca852fd878d8b,2026-09-01,train,VIRTUAL,C:\Users\lLrich\Desktop\보이스ai해커톤\data\raw\public_v9\mlaad_tiny\original\en\dorothy_and_wizard_oz_08_f000065.wav,68f72f3dfdf9a8afcc570f19e3702392bcc0d533b64eaaf356abe5d52c741920,16000,PCM_S16LE,.wav,canonical16k_pcm16_label_independent_v1,none,RR,simultaneous,-8.0,0.25,0.25,0.0,-3.0,3.0
MIX::C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\6eb50e803e90c37f63aa04c21f9f3416e9d8e4ed05885bdead32e363e33c3a3f.wav|C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\echoes_fma_paired\e6881194d160e9f87ea7ceed13b18b01b766ed9f912a402b51644d77300c2747.wav,0,0,0,1,1,mlaad::dorothy_and_wizard_oz_14,MIX::MLAAD_original+Echoes::FMA_original,v13b_mixed_balanced,v13b_mixed_balanced,mueller91/MLAAD-tiny,dorothy_and_wizard_oz_14_f000118,mix::dorothy_and_wizard_oz_14_f000118::fma_127294::1,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,M-AILABS original corpus license (see MLAAD LICENSE),YES,YES_WITH_NOTICE,NO_FOR_ORIGINAL_SUBSET,MLAAD-tiny-original,6eb50e803e90c37f63aa04c21f9f3416e9d8e4ed05885bdead32e363e33c3a3f,mlaad_tiny::en::dorothy_and_wizard_oz_14_f000118,mixed,not_applicable,not_applicable,mix::dorothy_and_wizard_oz_14_f000118::fma_127294::1,MIX::MLAAD_original+Echoes::FMA_original,APPROVED,dorothy_and_wizard_oz_14_f000118|fma_127294,dorothy_and_wizard_oz_14_f000118,fma_127294,dorothy_and_wizard_oz_14_f000118,fma_127294,MLAAD_original,Echoes::FMA_original,dorothy_and_wizard_oz_14_f000118|fma_127294,ABSENT,none,"pinned source manifest records URL, revision, CC BY-NC 4.0, and competition-use review",data/public_v9/mlaad_tiny_manifest.csv,10a43f18db51d2afeafafb46b8f1bb3436434921b728dddb198ca852fd878d8b,2026-09-01,train,VIRTUAL,C:\Users\lLrich\Desktop\보이스ai해커톤\data\raw\public_v9\mlaad_tiny\original\en\dorothy_and_wizard_oz_14_f000118.wav,6eb50e803e90c37f63aa04c21f9f3416e9d8e4ed05885bdead32e363e33c3a3f,16000,PCM_S16LE,.wav,canonical16k_pcm16_label_independent_v1,none,RR,voice_then_music,-3.0,0.25,0.5,0.2,0.0,0.0
MIX::C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\e4afb2298a5156646486b31bbd9f0f032d9348de9287102a27ee7a3fc71f69e3.wav|C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\echoes_fma_paired\d17a30b0ee712b1c8cbea40729109250e1ff7667458640d6370f73dd299ec7d0.wav,0,0,0,1,1,mlaad::emerald_city_of_oz_07,MIX::MLAAD_original+Echoes::FMA_original,v13b_mixed_balanced,v13b_mixed_balanced,mueller91/MLAAD-tiny,emerald_city_of_oz_07_f000056,mix::emerald_city_of_oz_07_f000056::fma_140924::2,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,M-AILABS original corpus license (see MLAAD LICENSE),YES,YES_WITH_NOTICE,NO_FOR_ORIGINAL_SUBSET,MLAAD-tiny-original,e4afb2298a5156646486b31bbd9f0f032d9348de9287102a27ee7a3fc71f69e3,mlaad_tiny::en::emerald_city_of_oz_07_f000056,mixed,not_applicable,not_applicable,mix::emerald_city_of_oz_07_f000056::fma_140924::2,MIX::MLAAD_original+Echoes::FMA_original,APPROVED,emerald_city_of_oz_07_f000056|fma_140924,emerald_city_of_oz_07_f000056,fma_140924,emerald_city_of_oz_07_f000056,fma_140924,MLAAD_original,Echoes::FMA_original,emerald_city_of_oz_07_f000056|fma_140924,ABSENT,none,"pinned source manifest records URL, revision, CC BY-NC 4.0, and competition-use review",data/public_v9/mlaad_tiny_manifest.csv,10a43f18db51d2afeafafb46b8f1bb3436434921b728dddb198ca852fd878d8b,2026-09-01,train,VIRTUAL,C:\Users\lLrich\Desktop\보이스ai해커톤\data\raw\public_v9\mlaad_tiny\original\en\emerald_city_of_oz_07_f000056.wav,e4afb2298a5156646486b31bbd9f0f032d9348de9287102a27ee7a3fc71f69e3,16000,PCM_S16LE,.wav,canonical16k_pcm16_label_independent_v1,none,RR,music_then_voice,0.0,0.25,0.75,0.0,3.0,-3.0
MIX::C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\4f690d832997c1d555dec24d1e0896bcbd9f10d35e4c273d7155b5d1f7d70a73.wav|C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\echoes_fma_paired\b07bd8b2b95212305196ce762b501945d8ebbaf6951e57f94160f183f9652631.wav,0,0,0,1,1,mlaad::emerald_city_of_oz_13,MIX::MLAAD_original+Echoes::FMA_original,v13b_mixed_balanced,v13b_mixed_balanced,mueller91/MLAAD-tiny,emerald_city_of_oz_13_f000060,mix::emerald_city_of_oz_13_f000060::fma_22473::3,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,M-AILABS original corpus license (see MLAAD LICENSE),YES,YES_WITH_NOTICE,NO_FOR_ORIGINAL_SUBSET,MLAAD-tiny-original,4f690d832997c1d555dec24d1e0896bcbd9f10d35e4c273d7155b5d1f7d70a73,mlaad_tiny::en::emerald_city_of_oz_13_f000060,mixed,not_applicable,not_applicable,mix::emerald_city_of_oz_13_f000060::fma_22473::3,MIX::MLAAD_original+Echoes::FMA_original,APPROVED,emerald_city_of_oz_13_f000060|fma_22473,emerald_city_of_oz_13_f000060,fma_22473,emerald_city_of_oz_13_f000060,fma_22473,MLAAD_original,Echoes::FMA_original,emerald_city_of_oz_13_f000060|fma_22473,ABSENT,none,"pinned source manifest records URL, revision, CC BY-NC 4.0, and competition-use review",data/public_v9/mlaad_tiny_manifest.csv,10a43f18db51d2afeafafb46b8f1bb3436434921b728dddb198ca852fd878d8b,2026-09-01,train,VIRTUAL,C:\Users\lLrich\Desktop\보이스ai해커톤\data\raw\public_v9\mlaad_tiny\original\en\emerald_city_of_oz_13_f000060.wav,4f690d832997c1d555dec24d1e0896bcbd9f10d35e4c273d7155b5d1f7d70a73,16000,PCM_S16LE,.wav,canonical16k_pcm16_label_independent_v1,none,RR,partial_overlap,3.0,0.25,0.25,0.2,-3.0,3.0
MIX::C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\3810804a5e4a5325c424f25728bb269bca3106804cc16542a7315bf5f1d0bc98.wav|C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\echoes_fma_paired\1b4e84f2b185ebbd0610e4dc33429968cfd6e2c25548c91f72f3eb32808a896b.wav,0,0,0,1,1,mlaad::hunters_space_07,MIX::MLAAD_original+Echoes::FMA_original,v13b_mixed_balanced,v13b_mixed_balanced,mueller91/MLAAD-tiny,hunters_space_07_f000061,mix::hunters_space_07_f000061::fma_74900::4,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,M-AILABS original corpus license (see MLAAD LICENSE),YES,YES_WITH_NOTICE,NO_FOR_ORIGINAL_SUBSET,MLAAD-tiny-original,3810804a5e4a5325c424f25728bb269bca3106804cc16542a7315bf5f1d0bc98,mlaad_tiny::en::hunters_space_07_f000061,mixed,not_applicable,not_applicable,mix::hunters_space_07_f000061::fma_74900::4,MIX::MLAAD_original+Echoes::FMA_original,APPROVED,hunters_space_07_f000061|fma_74900,hunters_space_07_f000061,fma_74900,hunters_space_07_f000061,fma_74900,MLAAD_original,Echoes::FMA_original,hunters_space_07_f000061|fma_74900,ABSENT,none,"pinned source manifest records URL, revision, CC BY-NC 4.0, and competition-use review",data/public_v9/mlaad_tiny_manifest.csv,10a43f18db51d2afeafafb46b8f1bb3436434921b728dddb198ca852fd878d8b,2026-09-01,train,VIRTUAL,C:\Users\lLrich\Desktop\보이스ai해커톤\data\raw\public_v9\mlaad_tiny\original\en\hunters_space_07_f000061.wav,3810804a5e4a5325c424f25728bb269bca3106804cc16542a7315bf5f1d0bc98,16000,PCM_S16LE,.wav,canonical16k_pcm16_label_independent_v1,none,RR,crossfade,8.0,0.25,0.5,0.0,0.0,0.0
MIX::C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\fae077847d8057616eb3379b272ddcb63d40d258ee4ad1ae72eff5f86983b469.wav|C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\echoes_fma_paired\efcb6d8161d8dfdf555aca81ac1c8bbb51aad9df93a2725ee63de5680792b9ea.wav,0,0,0,1,1,mlaad::hunters_space_18,MIX::MLAAD_original+Echoes::FMA_original,v13b_mixed_balanced,v13b_mixed_balanced,mueller91/MLAAD-tiny,hunters_space_18_f000010,mix::hunters_space_18_f000010::fma_114396::5,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,M-AILABS original corpus license (see MLAAD LICENSE),YES,YES_WITH_NOTICE,NO_FOR_ORIGINAL_SUBSET,MLAAD-tiny-original,fae077847d8057616eb3379b272ddcb63d40d258ee4ad1ae72eff5f86983b469,mlaad_tiny::en::hunters_space_18_f000010,mixed,not_applicable,not_applicable,mix::hunters_space_18_f000010::fma_114396::5,MIX::MLAAD_original+Echoes::FMA_original,APPROVED,hunters_space_18_f000010|fma_114396,hunters_space_18_f000010,fma_114396,hunters_space_18_f000010,fma_114396,MLAAD_original,Echoes::FMA_original,hunters_space_18_f000010|fma_114396,ABSENT,none,"pinned source manifest records URL, revision, CC BY-NC 4.0, and competition-use review",data/public_v9/mlaad_tiny_manifest.csv,10a43f18db51d2afeafafb46b8f1bb3436434921b728dddb198ca852fd878d8b,2026-09-01,train,VIRTUAL,C:\Users\lLrich\Desktop\보이스ai해커톤\data\raw\public_v9\mlaad_tiny\original\en\hunters_space_18_f000010.wav,fae077847d8057616eb3379b272ddcb63d40d258ee4ad1ae72eff5f86983b469,16000,PCM_S16LE,.wav,canonical16k_pcm16_label_independent_v1,none,RR,simultaneous,-8.0,0.25,0.75,0.2,3.0,-3.0
MIX::C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\2e6ecb29e93eef3886d187dffde88f4ff99b001562975da5a90a645f6c53f017.wav|C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\echoes_fma_paired\22598a021d0ac019e16d260e99a7dda6ade8e890f9ac6fd4d68bbef716cee4b4.wav,0,0,0,1,1,mlaad::jane_eyre_05,MIX::MLAAD_original+Echoes::FMA_original,v13b_mixed_balanced,v13b_mixed_balanced,mueller91/MLAAD-tiny,jane_eyre_05_f000047,mix::jane_eyre_05_f000047::fma_130608::6,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,M-AILABS original corpus license (see MLAAD LICENSE),YES,YES_WITH_NOTICE,NO_FOR_ORIGINAL_SUBSET,MLAAD-tiny-original,2e6ecb29e93eef3886d187dffde88f4ff99b001562975da5a90a645f6c53f017,mlaad_tiny::en::jane_eyre_05_f000047,mixed,not_applicable,not_applicable,mix::jane_eyre_05_f000047::fma_130608::6,MIX::MLAAD_original+Echoes::FMA_original,APPROVED,jane_eyre_05_f000047|fma_130608,jane_eyre_05_f000047,fma_130608,jane_eyre_05_f000047,fma_130608,MLAAD_original,Echoes::FMA_original,jane_eyre_05_f000047|fma_130608,ABSENT,none,"pinned source manifest records URL, revision, CC BY-NC 4.0, and competition-use review",data/public_v9/mlaad_tiny_manifest.csv,10a43f18db51d2afeafafb46b8f1bb3436434921b728dddb198ca852fd878d8b,2026-09-01,train,VIRTUAL,C:\Users\lLrich\Desktop\보이스ai해커톤\data\raw\public_v9\mlaad_tiny\original\en\jane_eyre_05_f000047.wav,2e6ecb29e93eef3886d187dffde88f4ff99b001562975da5a90a645f6c53f017,16000,PCM_S16LE,.wav,canonical16k_pcm16_label_independent_v1,none,RR,voice_then_music,-3.0,0.25,0.25,0.0,-3.0,3.0
MIX::C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\d0833757eb48a8bcad26ac74ca78507e3d023a0111daa047c9bfe45c12c3fac6.wav|C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\echoes_fma_paired\44c528eece5fdad2382345fa6c405b7604c12f1bfc5164424bded94d9ae5a2f3.wav,0,0,0,1,1,mlaad::jane_eyre_06,MIX::MLAAD_original+Echoes::FMA_original,v13b_mixed_balanced,v13b_mixed_balanced,mueller91/MLAAD-tiny,jane_eyre_06_f000021,mix::jane_eyre_06_f000021::fma_143051::7,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,M-AILABS original corpus license (see MLAAD LICENSE),YES,YES_WITH_NOTICE,NO_FOR_ORIGINAL_SUBSET,MLAAD-tiny-original,d0833757eb48a8bcad26ac74ca78507e3d023a0111daa047c9bfe45c12c3fac6,mlaad_tiny::en::jane_eyre_06_f000021,mixed,not_applicable,not_applicable,mix::jane_eyre_06_f000021::fma_143051::7,MIX::MLAAD_original+Echoes::FMA_original,APPROVED,jane_eyre_06_f000021|fma_143051,jane_eyre_06_f000021,fma_143051,jane_eyre_06_f000021,fma_143051,MLAAD_original,Echoes::FMA_original,jane_eyre_06_f000021|fma_143051,ABSENT,none,"pinned source manifest records URL, revision, CC BY-NC 4.0, and competition-use review",data/public_v9/mlaad_tiny_manifest.csv,10a43f18db51d2afeafafb46b8f1bb3436434921b728dddb198ca852fd878d8b,2026-09-01,train,VIRTUAL,C:\Users\lLrich\Desktop\보이스ai해커톤\data\raw\public_v9\mlaad_tiny\original\en\jane_eyre_06_f000021.wav,d0833757eb48a8bcad26ac74ca78507e3d023a0111daa047c9bfe45c12c3fac6,16000,PCM_S16LE,.wav,canonical16k_pcm16_label_independent_v1,none,RR,music_then_voice,0.0,0.25,0.5,0.2,0.0,0.0
MIX::C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\c158c700a8a90ea56018c55cf0b871d7f8a727cb14effe426d16a263b9a8beaa.wav|C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\echoes_fma_paired\0ce03dda2480f8dabf122eadb3f8aef3ccb4585ebaf2aefb21ea8016ba9ed65d.wav,0,0,0,1,1,mlaad::jane_eyre_12,MIX::MLAAD_original+Echoes::FMA_original,v13b_mixed_balanced,v13b_mixed_balanced,mueller91/MLAAD-tiny,jane_eyre_12_f000082,mix::jane_eyre_12_f000082::fma_3988::8,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,M-AILABS original corpus license (see MLAAD LICENSE),YES,YES_WITH_NOTICE,NO_FOR_ORIGINAL_SUBSET,MLAAD-tiny-original,c158c700a8a90ea56018c55cf0b871d7f8a727cb14effe426d16a263b9a8beaa,mlaad_tiny::en::jane_eyre_12_f000082,mixed,not_applicable,not_applicable,mix::jane_eyre_12_f000082::fma_3988::8,MIX::MLAAD_original+Echoes::FMA_original,APPROVED,jane_eyre_12_f000082|fma_3988,jane_eyre_12_f000082,fma_3988,jane_eyre_12_f000082,fma_3988,MLAAD_original,Echoes::FMA_original,jane_eyre_12_f000082|fma_3988,ABSENT,none,"pinned source manifest records URL, revision, CC BY-NC 4.0, and competition-use review",data/public_v9/mlaad_tiny_manifest.csv,10a43f18db51d2afeafafb46b8f1bb3436434921b728dddb198ca852fd878d8b,2026-09-01,train,VIRTUAL,C:\Users\lLrich\Desktop\보이스ai해커톤\data\raw\public_v9\mlaad_tiny\original\en\jane_eyre_12_f000082.wav,c158c700a8a90ea56018c55cf0b871d7f8a727cb14effe426d16a263b9a8beaa,16000,PCM_S16LE,.wav,canonical16k_pcm16_label_independent_v1,none,RR,partial_overlap,3.0,0.25,0.75,0.0,3.0,-3.0
MIX::C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\94c3d60869b34960ca7ed8eefa49b5adf6a72ba93e17a5daeaf05217bf499380.wav|C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\echoes_fma_paired\80f7dffb4849fc1f179391ff0dec8d0734420bf6b0b28fb10baa4dd92bc6a134.wav,0,0,0,1,1,mlaad::jane_eyre_18,MIX::MLAAD_original+Echoes::FMA_original,v13b_mixed_balanced,v13b_mixed_balanced,mueller91/MLAAD-tiny,jane_eyre_18_f000063,mix::jane_eyre_18_f000063::fma_106336::9,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,M-AILABS original corpus license (see MLAAD LICENSE),YES,YES_WITH_NOTICE,NO_FOR_ORIGINAL_SUBSET,MLAAD-tiny-original,94c3d60869b34960ca7ed8eefa49b5adf6a72ba93e17a5daeaf05217bf499380,mlaad_tiny::en::jane_eyre_18_f000063,mixed,not_applicable,not_applicable,mix::jane_eyre_18_f000063::fma_106336::9,MIX::MLAAD_original+Echoes::FMA_original,APPROVED,jane_eyre_18_f000063|fma_106336,jane_eyre_18_f000063,fma_106336,jane_eyre_18_f000063,fma_106336,MLAAD_original,Echoes::FMA_original,jane_eyre_18_f000063|fma_106336,ABSENT,none,"pinned source manifest records URL, revision, CC BY-NC 4.0, and competition-use review",data/public_v9/mlaad_tiny_manifest.csv,10a43f18db51d2afeafafb46b8f1bb3436434921b728dddb198ca852fd878d8b,2026-09-01,train,VIRTUAL,C:\Users\lLrich\Desktop\보이스ai해커톤\data\raw\public_v9\mlaad_tiny\original\en\jane_eyre_18_f000063.wav,94c3d60869b34960ca7ed8eefa49b5adf6a72ba93e17a5daeaf05217bf499380,16000,PCM_S16LE,.wav,canonical16k_pcm16_label_independent_v1,none,RR,crossfade,8.0,0.25,0.25,0.2,-3.0,3.0
