path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,split_group_id,source_url,version,license,allowed_for_competition,redistribution_allowed,commercial_restriction,dataset_name,content_hash,near_duplicate_group,data_role,upstream_split,upstream_label,content_group,generator_family,competition_use_status,base_audio_id,base_voice_id,base_music_id,voice_content_group,music_content_group,voice_generator_family,music_generator_family,parent_real_id,parent_fake_id,augmentation,approval_basis,license_source,license_snapshot_sha256,reviewed_at,v13b_role,audio_sha256,source_path,source_audio_sha256,sample_rate,codec,extension,channel_policy,augment,partial_fake_ratio,partial_fake_position,partial_crossfade_sec
PARTIAL::voice::C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\68f72f3dfdf9a8afcc570f19e3702392bcc0d533b64eaaf356abe5d52c741920.wav|C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\149606610d6212721ab02037ddc91f70e721ac7e7ec7a803e7fac9b75bf198b3.wav,1,1,0,1,0,mlaad::dorothy_and_wizard_oz_08,partial::MLAAD::Chatterbox,v13b_partial_voice,v13b_partial_voice,mueller91/MLAAD-tiny,dorothy_and_wizard_oz_08_f000065,partial::voice::dorothy_and_wizard_oz_08_f000065::dorothy_and_wizard_oz_08_f000065,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,M-AILABS original corpus license (see MLAAD LICENSE),YES,YES_WITH_NOTICE,NO_FOR_ORIGINAL_SUBSET,MLAAD-tiny-original,68f72f3dfdf9a8afcc570f19e3702392bcc0d533b64eaaf356abe5d52c741920,mlaad_tiny::en::dorothy_and_wizard_oz_08_f000065,partial_fake,not_applicable,not_applicable,partial::voice::dorothy_and_wizard_oz_08_f000065::dorothy_and_wizard_oz_08_f000065,partial::MLAAD::Chatterbox,APPROVED,dorothy_and_wizard_oz_08_f000065|dorothy_and_wizard_oz_08_f000065,dorothy_and_wizard_oz_08_f000065|dorothy_and_wizard_oz_08_f000065,ABSENT,dorothy_and_wizard_oz_08_f000065|dorothy_and_wizard_oz_08_f000065,ABSENT,MLAAD::Chatterbox,ABSENT,dorothy_and_wizard_oz_08_f000065,dorothy_and_wizard_oz_08_f000065,none,"pinned source manifest records URL, revision, CC BY-NC 4.0, and competition-use review",data/public_v9/mlaad_tiny_manifest.csv,10a43f18db51d2afeafafb46b8f1bb3436434921b728dddb198ca852fd878d8b,2026-09-01,train,VIRTUAL,C:\Users\lLrich\Desktop\보이스ai해커톤\data\raw\public_v9\mlaad_tiny\original\en\dorothy_and_wizard_oz_08_f000065.wav,68f72f3dfdf9a8afcc570f19e3702392bcc0d533b64eaaf356abe5d52c741920,16000,PCM_S16LE,.wav,canonical16k_pcm16_label_independent_v1,none,0.02,middle,0.02
PARTIAL::voice::C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\68f72f3dfdf9a8afcc570f19e3702392bcc0d533b64eaaf356abe5d52c741920.wav|C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\6eb50e803e90c37f63aa04c21f9f3416e9d8e4ed05885bdead32e363e33c3a3f.wav,0,0,0,1,0,mlaad::dorothy_and_wizard_oz_08,REAL_CONTROL,v13b_partial_voice,v13b_partial_voice,mueller91/MLAAD-tiny,dorothy_and_wizard_oz_08_f000065,partial::voice::dorothy_and_wizard_oz_08_f000065::dorothy_and_wizard_oz_14_f000118,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,M-AILABS original corpus license (see MLAAD LICENSE),YES,YES_WITH_NOTICE,NO_FOR_ORIGINAL_SUBSET,MLAAD-tiny-original,68f72f3dfdf9a8afcc570f19e3702392bcc0d533b64eaaf356abe5d52c741920,mlaad_tiny::en::dorothy_and_wizard_oz_08_f000065,partial_real_control,not_applicable,not_applicable,partial::voice::dorothy_and_wizard_oz_08_f000065::dorothy_and_wizard_oz_14_f000118,REAL_CONTROL,APPROVED,dorothy_and_wizard_oz_08_f000065|dorothy_and_wizard_oz_14_f000118,dorothy_and_wizard_oz_08_f000065|dorothy_and_wizard_oz_14_f000118,ABSENT,dorothy_and_wizard_oz_08_f000065|dorothy_and_wizard_oz_14_f000118,ABSENT,REAL_CONTROL,ABSENT,dorothy_and_wizard_oz_08_f000065,ABSENT,none,"pinned source manifest records URL, revision, CC BY-NC 4.0, and competition-use review",data/public_v9/mlaad_tiny_manifest.csv,10a43f18db51d2afeafafb46b8f1bb3436434921b728dddb198ca852fd878d8b,2026-09-01,train,VIRTUAL,C:\Users\lLrich\Desktop\보이스ai해커톤\data\raw\public_v9\mlaad_tiny\original\en\dorothy_and_wizard_oz_08_f000065.wav,68f72f3dfdf9a8afcc570f19e3702392bcc0d533b64eaaf356abe5d52c741920,16000,PCM_S16LE,.wav,canonical16k_pcm16_label_independent_v1,none,0.02,middle,0.02
PARTIAL::voice::C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\6eb50e803e90c37f63aa04c21f9f3416e9d8e4ed05885bdead32e363e33c3a3f.wav|C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\17e8fdc42a108e2a355f143b7c38b24a10297879af7a4d48d6bc586e46d643b1.wav,1,1,0,1,0,mlaad::dorothy_and_wizard_oz_14,partial::MLAAD::Chatterbox,v13b_partial_voice,v13b_partial_voice,mueller91/MLAAD-tiny,dorothy_and_wizard_oz_14_f000118,partial::voice::dorothy_and_wizard_oz_14_f000118::dorothy_and_wizard_oz_14_f000118,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,M-AILABS original corpus license (see MLAAD LICENSE),YES,YES_WITH_NOTICE,NO_FOR_ORIGINAL_SUBSET,MLAAD-tiny-original,6eb50e803e90c37f63aa04c21f9f3416e9d8e4ed05885bdead32e363e33c3a3f,mlaad_tiny::en::dorothy_and_wizard_oz_14_f000118,partial_fake,not_applicable,not_applicable,partial::voice::dorothy_and_wizard_oz_14_f000118::dorothy_and_wizard_oz_14_f000118,partial::MLAAD::Chatterbox,APPROVED,dorothy_and_wizard_oz_14_f000118|dorothy_and_wizard_oz_14_f000118,dorothy_and_wizard_oz_14_f000118|dorothy_and_wizard_oz_14_f000118,ABSENT,dorothy_and_wizard_oz_14_f000118|dorothy_and_wizard_oz_14_f000118,ABSENT,MLAAD::Chatterbox,ABSENT,dorothy_and_wizard_oz_14_f000118,dorothy_and_wizard_oz_14_f000118,none,"pinned source manifest records URL, revision, CC BY-NC 4.0, and competition-use review",data/public_v9/mlaad_tiny_manifest.csv,10a43f18db51d2afeafafb46b8f1bb3436434921b728dddb198ca852fd878d8b,2026-09-01,train,VIRTUAL,C:\Users\lLrich\Desktop\보이스ai해커톤\data\raw\public_v9\mlaad_tiny\original\en\dorothy_and_wizard_oz_14_f000118.wav,6eb50e803e90c37f63aa04c21f9f3416e9d8e4ed05885bdead32e363e33c3a3f,16000,PCM_S16LE,.wav,canonical16k_pcm16_label_independent_v1,none,0.02,middle,0.02
PARTIAL::voice::C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\6eb50e803e90c37f63aa04c21f9f3416e9d8e4ed05885bdead32e363e33c3a3f.wav|C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\e4afb2298a5156646486b31bbd9f0f032d9348de9287102a27ee7a3fc71f69e3.wav,0,0,0,1,0,mlaad::dorothy_and_wizard_oz_14,REAL_CONTROL,v13b_partial_voice,v13b_partial_voice,mueller91/MLAAD-tiny,dorothy_and_wizard_oz_14_f000118,partial::voice::dorothy_and_wizard_oz_14_f000118::emerald_city_of_oz_07_f000056,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,M-AILABS original corpus license (see MLAAD LICENSE),YES,YES_WITH_NOTICE,NO_FOR_ORIGINAL_SUBSET,MLAAD-tiny-original,6eb50e803e90c37f63aa04c21f9f3416e9d8e4ed05885bdead32e363e33c3a3f,mlaad_tiny::en::dorothy_and_wizard_oz_14_f000118,partial_real_control,not_applicable,not_applicable,partial::voice::dorothy_and_wizard_oz_14_f000118::emerald_city_of_oz_07_f000056,REAL_CONTROL,APPROVED,dorothy_and_wizard_oz_14_f000118|emerald_city_of_oz_07_f000056,dorothy_and_wizard_oz_14_f000118|emerald_city_of_oz_07_f000056,ABSENT,dorothy_and_wizard_oz_14_f000118|emerald_city_of_oz_07_f000056,ABSENT,REAL_CONTROL,ABSENT,dorothy_and_wizard_oz_14_f000118,ABSENT,none,"pinned source manifest records URL, revision, CC BY-NC 4.0, and competition-use review",data/public_v9/mlaad_tiny_manifest.csv,10a43f18db51d2afeafafb46b8f1bb3436434921b728dddb198ca852fd878d8b,2026-09-01,train,VIRTUAL,C:\Users\lLrich\Desktop\보이스ai해커톤\data\raw\public_v9\mlaad_tiny\original\en\dorothy_and_wizard_oz_14_f000118.wav,6eb50e803e90c37f63aa04c21f9f3416e9d8e4ed05885bdead32e363e33c3a3f,16000,PCM_S16LE,.wav,canonical16k_pcm16_label_independent_v1,none,0.02,middle,0.02
PARTIAL::voice::C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\e4afb2298a5156646486b31bbd9f0f032d9348de9287102a27ee7a3fc71f69e3.wav|C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\6ae530c3670ecbdcac17dd392f3a95b029316e0e9f30ca8b52971022e5e3f24e.wav,1,1,0,1,0,mlaad::emerald_city_of_oz_07,partial::MLAAD::Chatterbox,v13b_partial_voice,v13b_partial_voice,mueller91/MLAAD-tiny,emerald_city_of_oz_07_f000056,partial::voice::emerald_city_of_oz_07_f000056::emerald_city_of_oz_07_f000056,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,M-AILABS original corpus license (see MLAAD LICENSE),YES,YES_WITH_NOTICE,NO_FOR_ORIGINAL_SUBSET,MLAAD-tiny-original,e4afb2298a5156646486b31bbd9f0f032d9348de9287102a27ee7a3fc71f69e3,mlaad_tiny::en::emerald_city_of_oz_07_f000056,partial_fake,not_applicable,not_applicable,partial::voice::emerald_city_of_oz_07_f000056::emerald_city_of_oz_07_f000056,partial::MLAAD::Chatterbox,APPROVED,emerald_city_of_oz_07_f000056|emerald_city_of_oz_07_f000056,emerald_city_of_oz_07_f000056|emerald_city_of_oz_07_f000056,ABSENT,emerald_city_of_oz_07_f000056|emerald_city_of_oz_07_f000056,ABSENT,MLAAD::Chatterbox,ABSENT,emerald_city_of_oz_07_f000056,emerald_city_of_oz_07_f000056,none,"pinned source manifest records URL, revision, CC BY-NC 4.0, and competition-use review",data/public_v9/mlaad_tiny_manifest.csv,10a43f18db51d2afeafafb46b8f1bb3436434921b728dddb198ca852fd878d8b,2026-09-01,train,VIRTUAL,C:\Users\lLrich\Desktop\보이스ai해커톤\data\raw\public_v9\mlaad_tiny\original\en\emerald_city_of_oz_07_f000056.wav,e4afb2298a5156646486b31bbd9f0f032d9348de9287102a27ee7a3fc71f69e3,16000,PCM_S16LE,.wav,canonical16k_pcm16_label_independent_v1,none,0.05,start,0.02
PARTIAL::voice::C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\e4afb2298a5156646486b31bbd9f0f032d9348de9287102a27ee7a3fc71f69e3.wav|C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\4f690d832997c1d555dec24d1e0896bcbd9f10d35e4c273d7155b5d1f7d70a73.wav,0,0,0,1,0,mlaad::emerald_city_of_oz_07,REAL_CONTROL,v13b_partial_voice,v13b_partial_voice,mueller91/MLAAD-tiny,emerald_city_of_oz_07_f000056,partial::voice::emerald_city_of_oz_07_f000056::emerald_city_of_oz_13_f000060,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,M-AILABS original corpus license (see MLAAD LICENSE),YES,YES_WITH_NOTICE,NO_FOR_ORIGINAL_SUBSET,MLAAD-tiny-original,e4afb2298a5156646486b31bbd9f0f032d9348de9287102a27ee7a3fc71f69e3,mlaad_tiny::en::emerald_city_of_oz_07_f000056,partial_real_control,not_applicable,not_applicable,partial::voice::emerald_city_of_oz_07_f000056::emerald_city_of_oz_13_f000060,REAL_CONTROL,APPROVED,emerald_city_of_oz_07_f000056|emerald_city_of_oz_13_f000060,emerald_city_of_oz_07_f000056|emerald_city_of_oz_13_f000060,ABSENT,emerald_city_of_oz_07_f000056|emerald_city_of_oz_13_f000060,ABSENT,REAL_CONTROL,ABSENT,emerald_city_of_oz_07_f000056,ABSENT,none,"pinned source manifest records URL, revision, CC BY-NC 4.0, and competition-use review",data/public_v9/mlaad_tiny_manifest.csv,10a43f18db51d2afeafafb46b8f1bb3436434921b728dddb198ca852fd878d8b,2026-09-01,train,VIRTUAL,C:\Users\lLrich\Desktop\보이스ai해커톤\data\raw\public_v9\mlaad_tiny\original\en\emerald_city_of_oz_07_f000056.wav,e4afb2298a5156646486b31bbd9f0f032d9348de9287102a27ee7a3fc71f69e3,16000,PCM_S16LE,.wav,canonical16k_pcm16_label_independent_v1,none,0.05,start,0.02
PARTIAL::voice::C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\4f690d832997c1d555dec24d1e0896bcbd9f10d35e4c273d7155b5d1f7d70a73.wav|C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\8f4cab49bffcf12ee885b8099507912b66348efb95d43e7d806c8c34111e0380.wav,1,1,0,1,0,mlaad::emerald_city_of_oz_13,partial::MLAAD::Chatterbox,v13b_partial_voice,v13b_partial_voice,mueller91/MLAAD-tiny,emerald_city_of_oz_13_f000060,partial::voice::emerald_city_of_oz_13_f000060::emerald_city_of_oz_13_f000060,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,M-AILABS original corpus license (see MLAAD LICENSE),YES,YES_WITH_NOTICE,NO_FOR_ORIGINAL_SUBSET,MLAAD-tiny-original,4f690d832997c1d555dec24d1e0896bcbd9f10d35e4c273d7155b5d1f7d70a73,mlaad_tiny::en::emerald_city_of_oz_13_f000060,partial_fake,not_applicable,not_applicable,partial::voice::emerald_city_of_oz_13_f000060::emerald_city_of_oz_13_f000060,partial::MLAAD::Chatterbox,APPROVED,emerald_city_of_oz_13_f000060|emerald_city_of_oz_13_f000060,emerald_city_of_oz_13_f000060|emerald_city_of_oz_13_f000060,ABSENT,emerald_city_of_oz_13_f000060|emerald_city_of_oz_13_f000060,ABSENT,MLAAD::Chatterbox,ABSENT,emerald_city_of_oz_13_f000060,emerald_city_of_oz_13_f000060,none,"pinned source manifest records URL, revision, CC BY-NC 4.0, and competition-use review",data/public_v9/mlaad_tiny_manifest.csv,10a43f18db51d2afeafafb46b8f1bb3436434921b728dddb198ca852fd878d8b,2026-09-01,train,VIRTUAL,C:\Users\lLrich\Desktop\보이스ai해커톤\data\raw\public_v9\mlaad_tiny\original\en\emerald_city_of_oz_13_f000060.wav,4f690d832997c1d555dec24d1e0896bcbd9f10d35e4c273d7155b5d1f7d70a73,16000,PCM_S16LE,.wav,canonical16k_pcm16_label_independent_v1,none,0.05,start,0.02
PARTIAL::voice::C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\4f690d832997c1d555dec24d1e0896bcbd9f10d35e4c273d7155b5d1f7d70a73.wav|C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\3810804a5e4a5325c424f25728bb269bca3106804cc16542a7315bf5f1d0bc98.wav,0,0,0,1,0,mlaad::emerald_city_of_oz_13,REAL_CONTROL,v13b_partial_voice,v13b_partial_voice,mueller91/MLAAD-tiny,emerald_city_of_oz_13_f000060,partial::voice::emerald_city_of_oz_13_f000060::hunters_space_07_f000061,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,M-AILABS original corpus license (see MLAAD LICENSE),YES,YES_WITH_NOTICE,NO_FOR_ORIGINAL_SUBSET,MLAAD-tiny-original,4f690d832997c1d555dec24d1e0896bcbd9f10d35e4c273d7155b5d1f7d70a73,mlaad_tiny::en::emerald_city_of_oz_13_f000060,partial_real_control,not_applicable,not_applicable,partial::voice::emerald_city_of_oz_13_f000060::hunters_space_07_f000061,REAL_CONTROL,APPROVED,emerald_city_of_oz_13_f000060|hunters_space_07_f000061,emerald_city_of_oz_13_f000060|hunters_space_07_f000061,ABSENT,emerald_city_of_oz_13_f000060|hunters_space_07_f000061,ABSENT,REAL_CONTROL,ABSENT,emerald_city_of_oz_13_f000060,ABSENT,none,"pinned source manifest records URL, revision, CC BY-NC 4.0, and competition-use review",data/public_v9/mlaad_tiny_manifest.csv,10a43f18db51d2afeafafb46b8f1bb3436434921b728dddb198ca852fd878d8b,2026-09-01,train,VIRTUAL,C:\Users\lLrich\Desktop\보이스ai해커톤\data\raw\public_v9\mlaad_tiny\original\en\emerald_city_of_oz_13_f000060.wav,4f690d832997c1d555dec24d1e0896bcbd9f10d35e4c273d7155b5d1f7d70a73,16000,PCM_S16LE,.wav,canonical16k_pcm16_label_independent_v1,none,0.05,start,0.02
PARTIAL::voice::C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\3810804a5e4a5325c424f25728bb269bca3106804cc16542a7315bf5f1d0bc98.wav|C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\8616cc905671ef9917dc79a2816ceea68af49ce2317ae88c01b06e6617045074.wav,1,1,0,1,0,mlaad::hunters_space_07,partial::MLAAD::Chatterbox,v13b_partial_voice,v13b_partial_voice,mueller91/MLAAD-tiny,hunters_space_07_f000061,partial::voice::hunters_space_07_f000061::hunters_space_07_f000061,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,M-AILABS original corpus license (see MLAAD LICENSE),YES,YES_WITH_NOTICE,NO_FOR_ORIGINAL_SUBSET,MLAAD-tiny-original,3810804a5e4a5325c424f25728bb269bca3106804cc16542a7315bf5f1d0bc98,mlaad_tiny::en::hunters_space_07_f000061,partial_fake,not_applicable,not_applicable,partial::voice::hunters_space_07_f000061::hunters_space_07_f000061,partial::MLAAD::Chatterbox,APPROVED,hunters_space_07_f000061|hunters_space_07_f000061,hunters_space_07_f000061|hunters_space_07_f000061,ABSENT,hunters_space_07_f000061|hunters_space_07_f000061,ABSENT,MLAAD::Chatterbox,ABSENT,hunters_space_07_f000061,hunters_space_07_f000061,none,"pinned source manifest records URL, revision, CC BY-NC 4.0, and competition-use review",data/public_v9/mlaad_tiny_manifest.csv,10a43f18db51d2afeafafb46b8f1bb3436434921b728dddb198ca852fd878d8b,2026-09-01,train,VIRTUAL,C:\Users\lLrich\Desktop\보이스ai해커톤\data\raw\public_v9\mlaad_tiny\original\en\hunters_space_07_f000061.wav,3810804a5e4a5325c424f25728bb269bca3106804cc16542a7315bf5f1d0bc98,16000,PCM_S16LE,.wav,canonical16k_pcm16_label_independent_v1,none,0.1,end,0.02
PARTIAL::voice::C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\3810804a5e4a5325c424f25728bb269bca3106804cc16542a7315bf5f1d0bc98.wav|C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\fae077847d8057616eb3379b272ddcb63d40d258ee4ad1ae72eff5f86983b469.wav,0,0,0,1,0,mlaad::hunters_space_07,REAL_CONTROL,v13b_partial_voice,v13b_partial_voice,mueller91/MLAAD-tiny,hunters_space_07_f000061,partial::voice::hunters_space_07_f000061::hunters_space_18_f000010,https://huggingface.co/datasets/mueller91/MLAAD-tiny,9143e5ea709575ebab6bec52840a1043aada7bb1,M-AILABS original corpus license (see MLAAD LICENSE),YES,YES_WITH_NOTICE,NO_FOR_ORIGINAL_SUBSET,MLAAD-tiny-original,3810804a5e4a5325c424f25728bb269bca3106804cc16542a7315bf5f1d0bc98,mlaad_tiny::en::hunters_space_07_f000061,partial_real_control,not_applicable,not_applicable,partial::voice::hunters_space_07_f000061::hunters_space_18_f000010,REAL_CONTROL,APPROVED,hunters_space_07_f000061|hunters_space_18_f000010,hunters_space_07_f000061|hunters_space_18_f000010,ABSENT,hunters_space_07_f000061|hunters_space_18_f000010,ABSENT,REAL_CONTROL,ABSENT,hunters_space_07_f000061,ABSENT,none,"pinned source manifest records URL, revision, CC BY-NC 4.0, and competition-use review",data/public_v9/mlaad_tiny_manifest.csv,10a43f18db51d2afeafafb46b8f1bb3436434921b728dddb198ca852fd878d8b,2026-09-01,train,VIRTUAL,C:\Users\lLrich\Desktop\보이스ai해커톤\data\raw\public_v9\mlaad_tiny\original\en\hunters_space_07_f000061.wav,3810804a5e4a5325c424f25728bb269bca3106804cc16542a7315bf5f1d0bc98,16000,PCM_S16LE,.wav,canonical16k_pcm16_label_independent_v1,none,0.1,end,0.02
