path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,split_group_id,base_voice_id,base_music_id,mix_mode,mix_snr_db,mix_overlap_fraction,mix_gap_sec,mix_crossfade_sec,mix_voice_gain_db,mix_music_gain_db,augment,source_url,version,license,allowed_for_competition,redistribution_allowed,commercial_restriction,dataset_name,content_hash,near_duplicate_group,audio_sha256,generation_seed,generator_family,recommended_split,generated_by,external_assets_used,duration_sec,sample_rate,peak,rms,dc_offset,clipping_fraction
data/generated_v8/audio/val_unseen_generator/voice/proc_voice_val_unseen_generator_00000__phase_locked_unseen.wav,1,1,0,1,0,proc_val_unseen_generator_speaker_39,proc_voice_phase_locked_unseen,project_procedural_v8,procedural_v8,,proc_voice_val_unseen_generator_00000,proc::voice::val_unseen_generator::00000,,,,,,,,,,,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,f78b18fa4a3174ad3850d6acfc7ae09621915081df6ae788aa1b6d28a23d0459,proc::voice::val_unseen_generator::00000,a57beb3627ee9a82a86abfe882a2c2541adbbef83157f160c9f0c5381c6c8efe,23694908,proc_voice_phase_locked_unseen,val_unseen_generator,numpy_scipy_project_generator,NO,6.99,16000,0.74704707,0.385705,-5.975e-05,0.0
data/generated_v8/audio/val_unseen_generator/voice/proc_voice_val_unseen_generator_00001__phase_locked_unseen.wav,1,1,0,1,0,proc_val_unseen_generator_speaker_40,proc_voice_phase_locked_unseen,project_procedural_v8,procedural_v8,,proc_voice_val_unseen_generator_00001,proc::voice::val_unseen_generator::00001,,,,,,,,,,,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,96dd201a4dac273842d8246396e09c4a440d06d8d8a9c91ce5c11cf52a3697f0,proc::voice::val_unseen_generator::00001,ddf7e8ead47e131c31dee43469f3df6fb5413e62cf3682ba714833c56d8949c3,23694909,proc_voice_phase_locked_unseen,val_unseen_generator,numpy_scipy_project_generator,NO,5.685,16000,0.75119954,0.4023953,-7.299e-05,0.0
data/generated_v8/audio/val_unseen_generator/voice/proc_voice_val_unseen_generator_00002__phase_locked_unseen.wav,1,1,0,1,0,proc_val_unseen_generator_speaker_41,proc_voice_phase_locked_unseen,project_procedural_v8,procedural_v8,,proc_voice_val_unseen_generator_00002,proc::voice::val_unseen_generator::00002,,,,,,,,,,,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,a0a9b567eefea133749b788647a993c560f11fb31f300c63ec08b650c6ae8111,proc::voice::val_unseen_generator::00002,89e0254ada3b39c49fcad611e60f7b13626d01da5eef2b5e94f0d415a3a903c1,23694910,proc_voice_phase_locked_unseen,val_unseen_generator,numpy_scipy_project_generator,NO,3.746,16000,0.79393184,0.39008913,-8.006e-05,0.0
data/generated_v8/audio/val_unseen_generator/voice/proc_voice_val_unseen_generator_00003__phase_locked_unseen.wav,1,1,0,1,0,proc_val_unseen_generator_speaker_42,proc_voice_phase_locked_unseen,project_procedural_v8,procedural_v8,,proc_voice_val_unseen_generator_00003,proc::voice::val_unseen_generator::00003,,,,,,,,,,,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,ddaf07cd26de490b653e453ec43a2d5e007e7feedc2893d0e4500390adf23563,proc::voice::val_unseen_generator::00003,cfa8b502f8deb51a596ce24b5e65d1d2c050f8d420561d041670b7a4c6f834a2,23694911,proc_voice_phase_locked_unseen,val_unseen_generator,numpy_scipy_project_generator,NO,4.272,16000,0.85019678,0.3670854,-5.215e-05,0.0
data/generated_v8/audio/val_unseen_generator/voice/proc_voice_val_unseen_generator_00004__phase_locked_unseen.wav,1,1,0,1,0,proc_val_unseen_generator_speaker_43,proc_voice_phase_locked_unseen,project_procedural_v8,procedural_v8,,proc_voice_val_unseen_generator_00004,proc::voice::val_unseen_generator::00004,,,,,,,,,,,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,819eea97ec3b623a9cf1a5a8b36190ad5a882d5753e01c9975ed32664423ed82,proc::voice::val_unseen_generator::00004,60d5e52eb7d4e27fdb338409b2e167e0c2aef7db7e22ca3cef9b8f7fd6165904,23694912,proc_voice_phase_locked_unseen,val_unseen_generator,numpy_scipy_project_generator,NO,5.783,16000,0.83576322,0.43674106,-8.762e-05,0.0
data/generated_v8/audio/val_unseen_generator/voice/proc_voice_val_unseen_generator_00005__phase_locked_unseen.wav,1,1,0,1,0,proc_val_unseen_generator_speaker_44,proc_voice_phase_locked_unseen,project_procedural_v8,procedural_v8,,proc_voice_val_unseen_generator_00005,proc::voice::val_unseen_generator::00005,,,,,,,,,,,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,fbb4020b1db27770f79763135554f112438e3e9e48d7541b8f08c9d45fb68655,proc::voice::val_unseen_generator::00005,a64f38bf851310b149984eae4a15822ade4e0d863aa6449abaf35548139889f9,23694913,proc_voice_phase_locked_unseen,val_unseen_generator,numpy_scipy_project_generator,NO,5.562,16000,0.83142632,0.47424704,-7.359e-05,0.0
data/generated_v8/audio/val_unseen_generator/voice/proc_voice_val_unseen_generator_00006__phase_locked_unseen.wav,1,1,0,1,0,proc_val_unseen_generator_speaker_45,proc_voice_phase_locked_unseen,project_procedural_v8,procedural_v8,,proc_voice_val_unseen_generator_00006,proc::voice::val_unseen_generator::00006,,,,,,,,,,,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,b05a484f1321a6814192d2581cc2ef48c31d3bb827de9368e56fcde91f2d53f0,proc::voice::val_unseen_generator::00006,72fb9dd3d0949a844453faf7f3a1dcace5ab4e4329702799e3b0f41ccc2752ab,23694914,proc_voice_phase_locked_unseen,val_unseen_generator,numpy_scipy_project_generator,NO,6.363,16000,0.79634643,0.44044956,-4.461e-05,0.0
data/generated_v8/audio/val_unseen_generator/voice/proc_voice_val_unseen_generator_00007__phase_locked_unseen.wav,1,1,0,1,0,proc_val_unseen_generator_speaker_46,proc_voice_phase_locked_unseen,project_procedural_v8,procedural_v8,,proc_voice_val_unseen_generator_00007,proc::voice::val_unseen_generator::00007,,,,,,,,,,,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,d9893b6e238f516d1066758410e10de81090efb18c77bd92f059bdc6997804f8,proc::voice::val_unseen_generator::00007,b17ac71220f035b21a8f541078f242b92468e79f017ce9765743147fa31a9203,23694915,proc_voice_phase_locked_unseen,val_unseen_generator,numpy_scipy_project_generator,NO,6.1,16000,0.84990907,0.50967923,-6.12e-05,0.0
data/generated_v8/audio/val_unseen_generator/voice/proc_voice_val_unseen_generator_00008__phase_locked_unseen.wav,1,1,0,1,0,proc_val_unseen_generator_speaker_47,proc_voice_phase_locked_unseen,project_procedural_v8,procedural_v8,,proc_voice_val_unseen_generator_00008,proc::voice::val_unseen_generator::00008,,,,,,,,,,,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,f0b49d27284029144cdd09f1d8b7d85ff21c53a293e7fa6ab5f37771b383382e,proc::voice::val_unseen_generator::00008,dd75c1bdf833e88077407f37c2f1ad428758857db1fa0d41b9eb08882d75e680,23694916,proc_voice_phase_locked_unseen,val_unseen_generator,numpy_scipy_project_generator,NO,5.898,16000,0.8767941,0.47930669,-8.873e-05,0.0
data/generated_v8/audio/val_unseen_generator/voice/proc_voice_val_unseen_generator_00009__phase_locked_unseen.wav,1,1,0,1,0,proc_val_unseen_generator_speaker_48,proc_voice_phase_locked_unseen,project_procedural_v8,procedural_v8,,proc_voice_val_unseen_generator_00009,proc::voice::val_unseen_generator::00009,,,,,,,,,,,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,f4b2d952a5e6e95002833a23eae88d3e3b6ff2b0e985b00525289d3ff08db4a2,proc::voice::val_unseen_generator::00009,c598e471797e8c9a6baa642f6251f087bd41f08d32e44bff53ce17800473c935,23694917,proc_voice_phase_locked_unseen,val_unseen_generator,numpy_scipy_project_generator,NO,4.312,16000,0.78741908,0.38645792,-6.725e-05,0.0
data/generated_v8/audio/val_unseen_generator/voice/proc_voice_val_unseen_generator_00010__phase_locked_unseen.wav,1,1,0,1,0,proc_val_unseen_generator_speaker_49,proc_voice_phase_locked_unseen,project_procedural_v8,procedural_v8,,proc_voice_val_unseen_generator_00010,proc::voice::val_unseen_generator::00010,,,,,,,,,,,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,c8fbe154b5b3a7af85709d288b63c4c0ce9f8126e3b8434423c3073229257b4f,proc::voice::val_unseen_generator::00010,5cabfb90edb20e2cd003e2601e0a108a024d1595a84bb8d1d98b32fa7056242c,23694918,proc_voice_phase_locked_unseen,val_unseen_generator,numpy_scipy_project_generator,NO,6.096,16000,0.77442944,0.45243867,-6.102e-05,0.0
data/generated_v8/audio/val_unseen_generator/voice/proc_voice_val_unseen_generator_00011__phase_locked_unseen.wav,1,1,0,1,0,proc_val_unseen_generator_speaker_50,proc_voice_phase_locked_unseen,project_procedural_v8,procedural_v8,,proc_voice_val_unseen_generator_00011,proc::voice::val_unseen_generator::00011,,,,,,,,,,,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,4b44f8f25e206fb047c0e7224aa345dc523cde7c05cf60bd7eb42711213a8ff4,proc::voice::val_unseen_generator::00011,e4bfdc387f61883f952366366b180cd32bcf0d7151c0bb19e50f7f3c32ad5ef4,23694919,proc_voice_phase_locked_unseen,val_unseen_generator,numpy_scipy_project_generator,NO,6.952,16000,0.77638751,0.37900497,-4.959e-05,0.0
data/generated_v8/audio/val_unseen_generator/voice/proc_voice_val_unseen_generator_00012__phase_locked_unseen.wav,1,1,0,1,0,proc_val_unseen_generator_speaker_51,proc_voice_phase_locked_unseen,project_procedural_v8,procedural_v8,,proc_voice_val_unseen_generator_00012,proc::voice::val_unseen_generator::00012,,,,,,,,,,,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,e95e6f18498d5d9e310f906d8b4b8ef586228bf3d6aeef76d411e9531448e27d,proc::voice::val_unseen_generator::00012,f5643eb753daf9113a0fce033dcaf6ac0906acda4120e81f8b3a19022e90cf3d,23694920,proc_voice_phase_locked_unseen,val_unseen_generator,numpy_scipy_project_generator,NO,6.346,16000,0.74094599,0.40120044,-6.293e-05,0.0
data/generated_v8/audio/val_unseen_generator/voice/proc_voice_val_unseen_generator_00013__phase_locked_unseen.wav,1,1,0,1,0,proc_val_unseen_generator_speaker_52,proc_voice_phase_locked_unseen,project_procedural_v8,procedural_v8,,proc_voice_val_unseen_generator_00013,proc::voice::val_unseen_generator::00013,,,,,,,,,,,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,f5db26c7aba00bf30114ce06fd3f41dd37fb35a6ec88b7f83097bbf930006764,proc::voice::val_unseen_generator::00013,c6aae5b51679bc9879058eae01bad4f50f1b55dad9b18b5d4dd88344c7690194,23694921,proc_voice_phase_locked_unseen,val_unseen_generator,numpy_scipy_project_generator,NO,4.111,16000,0.74341232,0.3128448,-4.12e-05,0.0
data/generated_v8/audio/val_unseen_generator/voice/proc_voice_val_unseen_generator_00014__phase_locked_unseen.wav,1,1,0,1,0,proc_val_unseen_generator_speaker_53,proc_voice_phase_locked_unseen,project_procedural_v8,procedural_v8,,proc_voice_val_unseen_generator_00014,proc::voice::val_unseen_generator::00014,,,,,,,,,,,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,cbcc28a6b0f8b06882f956ab6b23d8e7012ffa314ad6930b7fd3d1f8f76822c0,proc::voice::val_unseen_generator::00014,35072bfb38734abe387b3248acfe4a4b0a56a793f6005517ea3521f062689bce,23694922,proc_voice_phase_locked_unseen,val_unseen_generator,numpy_scipy_project_generator,NO,4.894,16000,0.84615809,0.43356322,-8.406e-05,0.0
data/generated_v8/audio/val_unseen_generator/voice/proc_voice_val_unseen_generator_00015__phase_locked_unseen.wav,1,1,0,1,0,proc_val_unseen_generator_speaker_54,proc_voice_phase_locked_unseen,project_procedural_v8,procedural_v8,,proc_voice_val_unseen_generator_00015,proc::voice::val_unseen_generator::00015,,,,,,,,,,,LOCAL:tools/procedural_audio_v8.py,procedural-v8.1,PROJECT_AUTHORED_PROCEDURAL_OUTPUT_NO_EXTERNAL_ASSETS,YES,YES_PROJECT_OWNED,NO_EXTERNAL_RESTRICTION,procedural_v8,d447080c9edb9e16f9167a8404224e9d49ac772adfd544835652271f5e717b8c,proc::voice::val_unseen_generator::00015,268468e7282af49b326d096bb9ac6e27262061e30c5b6ee613f7136453dfcdee,23694923,proc_voice_phase_locked_unseen,val_unseen_generator,numpy_scipy_project_generator,NO,5.768,16000,0.81507373,0.39631316,-4.349e-05,0.0
