path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,split_group_id,base_voice_id,base_music_id,mix_mode,mix_snr_db,mix_overlap_fraction,mix_gap_sec,mix_crossfade_sec,mix_voice_gain_db,mix_music_gain_db,augment,source_url,version,license,allowed_for_competition,redistribution_allowed,commercial_restriction,dataset_name,content_hash,near_duplicate_group,audio_sha256,generation_seed,generator_family,recommended_split,generated_by,external_assets_used,duration_sec,sample_rate,peak,rms,dc_offset,clipping_fraction
data\raw\openslr_librispeech_asr\librispeech_dev_1988-24833-0026.flac,0,0,0,1,0,1988,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1988-24833-0026,libri::1988,libri::1988,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,
data\raw\openslr_librispeech_asr\librispeech_dev_6345-93302-0010.flac,0,0,0,1,0,6345,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_6345-93302-0010,libri::6345,libri::6345,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,
data\raw\openslr_librispeech_asr\librispeech_dev_2078-142845-0048.flac,0,0,0,1,0,2078,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2078-142845-0048,libri::2078,libri::2078,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,
data\raw\openslr_librispeech_asr\librispeech_dev_2902-9006-0017.flac,0,0,0,1,0,2902,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_2902-9006-0017,libri::2902,libri::2902,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,
data\raw\openslr_librispeech_asr\librispeech_dev_5694-64029-0000.flac,0,0,0,1,0,5694,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_5694-64029-0000,libri::5694,libri::5694,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,
data\raw\openslr_librispeech_asr\librispeech_dev_251-137823-0017.flac,0,0,0,1,0,251,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_251-137823-0017,libri::251,libri::251,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,
data\raw\openslr_librispeech_asr\librispeech_dev_1988-147956-0008.flac,0,0,0,1,0,1988,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_1988-147956-0008,libri::1988,libri::1988,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,
data\raw\openslr_librispeech_asr\librispeech_dev_652-130737-0011.flac,0,0,0,1,0,652,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_652-130737-0011,libri::652,libri::652,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,
data\raw\openslr_librispeech_asr\librispeech_dev_3081-166546-0008.flac,0,0,0,1,0,3081,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3081-166546-0008,libri::3081,libri::3081,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,
data\raw\openslr_librispeech_asr\librispeech_dev_652-130737-0010.flac,0,0,0,1,0,652,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_652-130737-0010,libri::652,libri::652,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,
