path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,split_group_id,base_voice_id,base_music_id,mix_mode,mix_snr_db,mix_overlap_fraction,mix_gap_sec,mix_crossfade_sec,mix_voice_gain_db,mix_music_gain_db,calibration_fold,augment,data_role
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ015-0113.wav,1,1,0,1,0,wavefake_31e31e,WF2,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ015-0113,wavefake::LJ015-0113,wavefake::LJ015-0113,,,,,,,,,cal_a,none,fusion_calibration
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ050-0248.wav,1,1,0,1,0,wavefake_79bd82,WF4,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ050-0248,wavefake::LJ050-0248,wavefake::LJ050-0248,,,,,,,,,cal_a,none,fusion_calibration
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ017-0017.wav,1,1,0,1,0,wavefake_7122c4,WF1,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ017-0017,wavefake::LJ017-0017,wavefake::LJ017-0017,,,,,,,,,cal_a,none,fusion_calibration
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ017-0031.wav,1,1,0,1,0,wavefake_7c208b,WF4,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ017-0031,wavefake::LJ017-0031,wavefake::LJ017-0031,,,,,,,,,cal_a,none,fusion_calibration
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ015-0113_WF5_1.wav,1,1,0,1,0,wavefake_31e31e,WF5,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ015-0113,wavefake::LJ015-0113,wavefake::LJ015-0113,,,,,,,,,cal_a,none,fusion_calibration
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ019-0389.wav,1,1,0,1,0,wavefake_ce569d,WF5,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ019-0389,wavefake::LJ019-0389,wavefake::LJ019-0389,,,,,,,,,cal_a,none,fusion_calibration
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ017-0017_WF4_1.wav,1,1,0,1,0,wavefake_7122c4,WF4,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ017-0017,wavefake::LJ017-0017,wavefake::LJ017-0017,,,,,,,,,cal_a,none,fusion_calibration
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ015-0100.wav,0,0,0,1,0,wavefake_30b298,R,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ015-0100,wavefake::LJ015-0100,wavefake::LJ015-0100,,,,,,,,,cal_a,none,fusion_calibration
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ043-0043.wav,1,1,0,1,0,wavefake_3f9f86,WF2,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ043-0043,wavefake::LJ043-0043,wavefake::LJ043-0043,,,,,,,,,cal_a,none,fusion_calibration
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ050-0187.wav,1,1,0,1,0,wavefake_a4435f,WF4,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ050-0187,wavefake::LJ050-0187,wavefake::LJ050-0187,,,,,,,,,cal_a,none,fusion_calibration
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ008-0307.wav,1,1,0,1,0,wavefake_3a2bc8,WF5,wavefake_ajay,wavefake_ajay,ajaykarthick/wavefake-audio,wavefake_ajay_LJ008-0307,wavefake::LJ008-0307,wavefake::LJ008-0307,,,,,,,,,cal_a,none,fusion_calibration
data\raw\fake_music_generated\fake_music_MusicGen_0052.wav,1,0,1,0,1,fake_music_MusicGen_5,MusicGen,fake_music_generated,fake_music_generated,synth/MusicGen,fake_music_MusicGen_0052,generated_music::fake_music_generator_0052,,generated_music::fake_music_generator_0052,,,,,,,,cal_a,none,fusion_calibration
data\raw\fake_music_generated\fake_music_MusicGen_0060.wav,1,0,1,0,1,fake_music_MusicGen_6,MusicGen,fake_music_generated,fake_music_generated,synth/MusicGen,fake_music_MusicGen_0060,generated_music::fake_music_generator_0060,,generated_music::fake_music_generator_0060,,,,,,,,cal_a,none,fusion_calibration
data\raw\fake_music_generated\fake_music_MusicGen_0270.wav,1,0,1,0,1,fake_music_MusicGen_27,MusicGen,fake_music_generated,fake_music_generated,synth/MusicGen,fake_music_MusicGen_0270,generated_music::fake_music_generator_0270,,generated_music::fake_music_generator_0270,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/blues.00066.wav,0,0,0,0,1,gtzan_0_blues.00066,GTZAN_genre_0,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_blues.00066,gtzan::gtzan_v2_blues.00066,,gtzan::gtzan_v2_blues.00066,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/blues.00079.wav,0,0,0,0,1,gtzan_0_blues.00079,GTZAN_genre_0,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_blues.00079,gtzan::gtzan_v2_blues.00079,,gtzan::gtzan_v2_blues.00079,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/blues.00084.wav,0,0,0,0,1,gtzan_0_blues.00084,GTZAN_genre_0,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_blues.00084,gtzan::gtzan_v2_blues.00084,,gtzan::gtzan_v2_blues.00084,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/blues.00098.wav,0,0,0,0,1,gtzan_0_blues.00098,GTZAN_genre_0,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_blues.00098,gtzan::gtzan_v2_blues.00098,,gtzan::gtzan_v2_blues.00098,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/classical.00002.wav,0,0,0,0,1,gtzan_1_classical.00002,GTZAN_genre_1,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_classical.00002,gtzan::gtzan_v2_classical.00002,,gtzan::gtzan_v2_classical.00002,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/classical.00026.wav,0,0,0,0,1,gtzan_1_classical.00026,GTZAN_genre_1,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_classical.00026,gtzan::gtzan_v2_classical.00026,,gtzan::gtzan_v2_classical.00026,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/classical.00037.wav,0,0,0,0,1,gtzan_1_classical.00037,GTZAN_genre_1,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_classical.00037,gtzan::gtzan_v2_classical.00037,,gtzan::gtzan_v2_classical.00037,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/classical.00048.wav,0,0,0,0,1,gtzan_1_classical.00048,GTZAN_genre_1,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_classical.00048,gtzan::gtzan_v2_classical.00048,,gtzan::gtzan_v2_classical.00048,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/classical.00088.wav,0,0,0,0,1,gtzan_1_classical.00088,GTZAN_genre_1,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_classical.00088,gtzan::gtzan_v2_classical.00088,,gtzan::gtzan_v2_classical.00088,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/country.00034.wav,0,0,0,0,1,gtzan_2_country.00034,GTZAN_genre_2,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_country.00034,gtzan::gtzan_v2_country.00034,,gtzan::gtzan_v2_country.00034,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/country.00074.wav,0,0,0,0,1,gtzan_2_country.00074,GTZAN_genre_2,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_country.00074,gtzan::gtzan_v2_country.00074,,gtzan::gtzan_v2_country.00074,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/disco.00022.wav,0,0,0,0,1,gtzan_3_disco.00022,GTZAN_genre_3,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_disco.00022,gtzan::gtzan_v2_disco.00022,,gtzan::gtzan_v2_disco.00022,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/disco.00052.wav,0,0,0,0,1,gtzan_3_disco.00052,GTZAN_genre_3,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_disco.00052,gtzan::gtzan_v2_disco.00052,,gtzan::gtzan_v2_disco.00052,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/hiphop.00012.wav,0,0,0,0,1,gtzan_4_hiphop.00012,GTZAN_genre_4,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_hiphop.00012,gtzan::gtzan_v2_hiphop.00012,,gtzan::gtzan_v2_hiphop.00012,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/hiphop.00053.wav,0,0,0,0,1,gtzan_4_hiphop.00053,GTZAN_genre_4,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_hiphop.00053,gtzan::gtzan_v2_hiphop.00053,,gtzan::gtzan_v2_hiphop.00053,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/hiphop.00060.wav,0,0,0,0,1,gtzan_4_hiphop.00060,GTZAN_genre_4,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_hiphop.00060,gtzan::gtzan_v2_hiphop.00060,,gtzan::gtzan_v2_hiphop.00060,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/jazz.00052.wav,0,0,0,0,1,gtzan_5_jazz.00052,GTZAN_genre_5,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_jazz.00052,gtzan::gtzan_v2_jazz.00052,,gtzan::gtzan_v2_jazz.00052,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/jazz.00091.wav,0,0,0,0,1,gtzan_5_jazz.00091,GTZAN_genre_5,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_jazz.00091,gtzan::gtzan_v2_jazz.00091,,gtzan::gtzan_v2_jazz.00091,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/metal.00003.wav,0,0,0,0,1,gtzan_6_metal.00003,GTZAN_genre_6,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_metal.00003,gtzan::gtzan_v2_metal.00003,,gtzan::gtzan_v2_metal.00003,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/metal.00027.wav,0,0,0,0,1,gtzan_6_metal.00027,GTZAN_genre_6,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_metal.00027,gtzan::gtzan_v2_metal.00027,,gtzan::gtzan_v2_metal.00027,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/metal.00069.wav,0,0,0,0,1,gtzan_6_metal.00069,GTZAN_genre_6,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_metal.00069,gtzan::gtzan_v2_metal.00069,,gtzan::gtzan_v2_metal.00069,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/pop.00013.wav,0,0,0,0,1,gtzan_7_pop.00013,GTZAN_genre_7,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_pop.00013,gtzan::gtzan_v2_pop.00013,,gtzan::gtzan_v2_pop.00013,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/pop.00017.wav,0,0,0,0,1,gtzan_7_pop.00017,GTZAN_genre_7,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_pop.00017,gtzan::gtzan_v2_pop.00017,,gtzan::gtzan_v2_pop.00017,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/pop.00019.wav,0,0,0,0,1,gtzan_7_pop.00019,GTZAN_genre_7,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_pop.00019,gtzan::gtzan_v2_pop.00019,,gtzan::gtzan_v2_pop.00019,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/pop.00045.wav,0,0,0,0,1,gtzan_7_pop.00045,GTZAN_genre_7,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_pop.00045,gtzan::gtzan_v2_pop.00045,,gtzan::gtzan_v2_pop.00045,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/pop.00050.wav,0,0,0,0,1,gtzan_7_pop.00050,GTZAN_genre_7,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_pop.00050,gtzan::gtzan_v2_pop.00050,,gtzan::gtzan_v2_pop.00050,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/reggae.00003.wav,0,0,0,0,1,gtzan_8_reggae.00003,GTZAN_genre_8,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_reggae.00003,gtzan::gtzan_v2_reggae.00003,,gtzan::gtzan_v2_reggae.00003,,,,,,,,cal_a,none,fusion_calibration
data/raw/gtzan_unique_v2/reggae.00012.wav,0,0,0,0,1,gtzan_8_reggae.00012,GTZAN_genre_8,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_reggae.00012,gtzan::gtzan_v2_reggae.00012,,gtzan::gtzan_v2_reggae.00012,,,,,,,,cal_a,none,fusion_calibration
