task,epoch,split,train_loss,file_eer,voice_eer,music_eer,voice_auc,music_auc,ads,cps,score,total
music,1,val_a,0.3896739899084486,0.5914382415293636,0.5318418658506326,0.41998577524893316,0.4218013468013468,0.922226443768997,0.47191677349051175,0.6720138952851719,0.49192648566997776,0.49192648566997776
music,1,val_b,0.3896739899084486,0.4675638371290545,0.48571428571428577,0.2703810367744794,0.25596059113300496,0.9424274973147153,0.5879609132602718,0.5991940442238601,0.5890842263566306,0.5890842263566306
music,1,val_c,0.3896739899084486,0.5975378435675234,0.5500372177652799,0.4709577999051683,0.7598484848484848,0.9152355623100304,0.4499362946916319,0.8375420235792577,0.48869686758039443,0.48869686758039443
music,1,val_d,0.3896739899084486,0.5914382415293636,0.5045488379786618,0.4577999051683262,0.7004208754208754,0.9137917933130699,0.46603114008908797,0.8071063343669727,0.5001386595168764,0.5001386595168764
music,2,val_a,0.18488398399846306,0.24697809350243616,0.5409395418079563,0.06448553816974868,0.36738215488215487,0.9401215805471125,0.7489773834362661,0.6537518677146337,0.7394548318641029,0.7394548318641029
music,2,val_b,0.18488398399846306,0.20263975155279504,0.4738095238095238,0.010855117412494467,0.7331034482758622,0.9689581095596134,0.8006616842379495,0.8510307789177378,0.8056985937059284,0.8056985937059284
music,2,val_c,0.18488398399846306,0.24087849146427642,0.5318418658506326,0.02667140825035559,0.36452020202020197,0.9453647416413373,0.7651909586226285,0.6549424718307697,0.7541661099434427,0.7541661099434427
music,2,val_d,0.18488398399846306,0.3353665340127199,0.5136465139359854,0.13335704125177805,0.38514309764309757,0.9546352583586626,0.6895803178309096,0.6698891780008801,0.6876112038479066,0.6876112038479066
music,3,val_a,0.17290631604605708,0.2347788894261167,0.5591348937226035,0.05334281650071124,0.3801767676767676,0.9844224924012159,0.7547807315922076,0.6822996300389917,0.747532621436886,0.747532621436886
music,3,val_b,0.17290631604605708,0.16787439613526567,0.4738095238095238,0.010855117412494467,0.7445812807881773,0.9972073039742212,0.8180443619467141,0.8708942923811993,0.8233293549901627,0.8233293549901627
music,3,val_c,0.17290631604605708,0.2347788894261167,0.5318418658506326,0.03781412991939309,0.3787878787878788,0.9848024316109423,0.7648979431409972,0.6817951551994106,0.7565876643468386,0.7565876643468386
