path,source,generator,calibration_fold,voice_present,music_present,vp_panns_16k,mp_panns_16k,vp_panns_legacy,mp_panns_legacy,vp_model,mp_model
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ028-0411.wav|data/raw/gtzan_unique_v2/metal.00042.wav,split_internal_mix,mix::WF3::GTZAN_genre_6,cal_b,1,1,0.28524744510650635,0.590653121471405,0.5020134449005127,0.5032715201377869,0.8882091641426086,0.7028234601020813
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_2428-83699-0013.flac|data/raw/gtzan_unique_v2/rock.00084.wav,split_internal_mix,mix::LibriSpeech::GTZAN_genre_9,cal_c,1,1,0.28108033537864685,0.5725606083869934,0.502551794052124,0.5043082237243652,0.876249372959137,0.7053309082984924
data\raw\openslr_librispeech_asr\librispeech_dev_3752-4943-0023.flac,librispeech_dev,LibriSpeech,cal_b,1,0,0.8388499617576599,0.015652742236852646,0.5029786229133606,0.5062260031700134,0.9656276106834412,0.1053096503019332
data/raw/gtzan_unique_v2/reggae.00053.wav,gtzan_real_v2,GTZAN_genre_8,cal_c,0,1,0.023932604119181633,0.8796795010566711,0.5017048716545105,0.5033177733421326,0.8721457123756409,0.9968979954719543
data/raw/gtzan_unique_v2/rock.00057.wav,gtzan_real_v2,GTZAN_genre_9,cal_c,0,1,0.034941453486680984,0.8421035408973694,0.5010780692100525,0.5019813179969788,0.7944765090942383,0.9999930262565612
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_3752-4943-0018.flac|data\raw\fake_music_generated\fake_music_MusicGen_0196.wav,split_internal_mix,mix::LibriSpeech::MusicGen,cal_b,1,1,0.7829558849334717,0.042867034673690796,0.5032253265380859,0.505811333656311,0.9551592469215392,0.0939478203654289
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ019-0389.wav,wavefake_ajay,WF5,cal_a,1,0,0.8546460866928101,0.026536978781223297,0.5039110779762268,0.5064590573310852,0.9751232266426086,0.081877663731575
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ002-0032.wav,wavefake_ajay,WF3,cal_b,1,0,0.8049678206443787,0.025776516646146774,0.5029056072235107,0.5057262778282166,0.9546757340431212,0.1336308568716049
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_2428-83699-0012.flac|data\raw\fake_music_generated\fake_music_AudioLDM2_0157.wav,split_internal_mix,mix::LibriSpeech::AudioLDM2,cal_c,1,1,0.19325880706310272,0.017112549394369125,0.5020867586135864,0.5028432607650757,0.7317761182785034,0.9994641542434692
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ015-0100.wav|data\raw\fake_music_generated\fake_music_AudioLDM2_0095.wav,split_internal_mix,mix::R::AudioLDM2,cal_a,1,1,0.6853231191635132,0.054692018777132034,0.5030156373977661,0.5057746767997742,0.9649447202682496,0.3686091303825378
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_3752-4943-0021.flac|data/raw/gtzan_unique_v2/jazz.00078.wav,split_internal_mix,mix::LibriSpeech::GTZAN_genre_5,cal_b,1,1,0.28937774896621704,0.4585953950881958,0.5017297863960266,0.5032158493995667,0.8415172696113586,0.7881271839141846
data\raw\fake_music_generated\fake_music_AudioLDM2_0053.wav,fake_music_generated,AudioLDM2,cal_b,0,1,0.014867923222482204,0.02872021496295929,0.5013247728347778,0.5020115971565247,0.6811188459396362,0.9998787641525269
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ019-0347.wav|data/raw/gtzan_unique_v2/jazz.00099.wav,split_internal_mix,mix::WF2::GTZAN_genre_5,cal_c,1,1,0.02171468548476696,0.6910886764526367,0.5012524724006653,0.5020720362663269,0.7684841156005859,0.999998152256012
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_8842-302196-0006.flac|data/raw/gtzan_unique_v2/rock.00006.wav,split_internal_mix,mix::LibriSpeech::GTZAN_genre_9,cal_c,1,1,0.027413034811615944,0.8749920725822449,0.5013668537139893,0.5023393630981445,0.7483237385749817,0.9999907612800598
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ043-0044.wav,wavefake_ajay,WF6,cal_c,1,0,0.8380040526390076,0.03141520917415619,0.5025309920310974,0.5047205090522766,0.9694800972938538,0.1101244688034057
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ050-0248.wav,wavefake_ajay,WF4,cal_a,1,0,0.7857949733734131,0.03649669885635376,0.5029404163360596,0.5050281286239624,0.9723076820373536,0.0905753076076507
data\raw\openslr_librispeech_asr\librispeech_dev_2428-83705-0015.flac,librispeech_dev,LibriSpeech,cal_c,1,0,0.7915083765983582,0.026833653450012207,0.5027523040771484,0.5052897334098816,0.9609168767929076,0.0794260501861572
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_2428-83705-0007.flac|data/raw/gtzan_unique_v2/pop.00089.wav,split_internal_mix,mix::LibriSpeech::GTZAN_genre_7,cal_c,1,1,0.23341704905033112,0.8304656147956848,0.5011968016624451,0.5024365782737732,0.8821030259132385,0.9714655876159668
MIX::data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_9457505.flac|data/raw/gtzan_unique_v2/blues.00062.wav,split_internal_mix,mix::bonafide::GTZAN_genre_0,cal_b,1,1,0.16115692257881165,0.8585349917411804,0.501112163066864,0.5019071102142334,0.8314138054847717,0.9999442100524902
data\raw\openslr_librispeech_asr\librispeech_dev_3752-4943-0028.flac,librispeech_dev,LibriSpeech,cal_b,1,0,0.9097028970718384,0.016451016068458557,0.5023998022079468,0.5042182207107544,0.9254737496376038,0.1267727017402649
