split,path,label,voice_present,music_present,source,generator,high_ratio_db,low_ratio_db,rolloff95_hz,rms_db
val_a,MIX::data\raw\openslr_librispeech_asr\librispeech_dev_777-126732-0028.flac|data/raw/gtzan_unique_v2/disco.00059.wav,0,1,1,split_internal_mix,mix::LibriSpeech::GTZAN_genre_3,-11.775235348004344,-2.5168026678682986,3304.6875,-39.688915
val_a,data\raw\openslr_librispeech_asr\librispeech_dev_3170-137482-0035.flac,0,1,0,librispeech_dev,LibriSpeech,-15.015934871375043,-4.28311804348491,1359.375,-23.54243
val_a,MIX::data\raw\openslr_librispeech_asr\librispeech_dev_777-126732-0035.flac|data\raw\fake_music_generated\fake_music_MusicGen_0114.wav,0,1,1,split_internal_mix,mix::LibriSpeech::MusicGen,-13.989028352428354,-5.4634024139543635,1687.5,-35.375076
val_a,MIX::data\raw\openslr_librispeech_asr\librispeech_dev_6295-64301-0027.flac|data\raw\fake_music_generated\fake_music_MusicGen_0152.wav,0,1,1,split_internal_mix,mix::LibriSpeech::MusicGen,-21.242288491371916,-7.391564134953089,1132.8125,-16.824472
val_a,data\raw\openslr_librispeech_asr\librispeech_dev_3170-137482-0044.flac,0,1,0,librispeech_dev,LibriSpeech,-17.720225285597305,-5.642441031786759,1054.6875,-21.707806
val_a,MIX::data\raw\openslr_librispeech_asr\librispeech_dev_777-126732-0074.flac|data/raw/gtzan_unique_v2/blues.00019.wav,0,1,1,split_internal_mix,mix::LibriSpeech::GTZAN_genre_0,-22.183649060794323,-3.7544958035689264,2710.9375,-26.488396
val_a,data\raw\fake_music_generated\fake_music_MusicGen_0066.wav,0,0,1,fake_music_generated,MusicGen,-27.80257104389806,-40.84870962036276,1382.8125,-10.343009
val_a,data\raw\fake_music_generated\fake_music_MusicGen_0170.wav,0,0,1,fake_music_generated,MusicGen,-21.998817283671663,9.427104912102735,664.0625,-9.259648
val_a,MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ019-0394.wav|data\raw\fake_music_generated\fake_music_MusicGen_0174.wav,1,1,1,split_internal_mix,mix::WF4::MusicGen,-8.085076287244702,-8.364877158082866,7101.5625,-24.662783
val_a,data/raw/gtzan_unique_v2/rock.00033.wav,0,0,1,gtzan_real_v2,GTZAN_genre_9,-19.9695619737734,-6.662433870424252,2179.6875,-19.021975
val_a,data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_5305063.flac,1,1,0,asvspoof2019,A02,-14.779300429976976,0.4913211281158067,1218.75,-20.00516
