split,calibration_fold,source,generator,is_mixed,y_file_fake,y_voice_fake,y_music_fake,y_voice_present,y_music_present,df,df_primary,df_second,df_has_second,df_used,duration_sec,vf,mf,vfile,mfile,vp_model,mp_model,vp_panns,mp_panns
clean,clean,librispeech_dev,LibriSpeech,False,0.0,0.0,0.0,1.0,0.0,0.016154555086074548,0.016154555086074548,,False,True,2.3,0.6867038607597351,0.20590436458587646,0.7072718143463135,0.1899881213903427,0.9858130812644958,0.13772042095661163,0.8818255662918091,0.041300754994153976
clean,clean,gtzan_real_v2,GTZAN_genre_1,False,0.0,0.0,0.0,0.0,1.0,0.21687001441484255,0.18367750951624853,0.2500625193134366,True,True,30.013375,0.5964850187301636,9.35630906084839e-10,0.602554440498352,8.794414085855351e-10,0.7303633093833923,1.0,0.02361273765563965,0.778544008731842
clean,clean,asvspoof2019,bonafide,False,0.0,0.0,0.0,1.0,0.0,0.018144518339227044,0.018144518339227044,,False,True,4.2175,0.7403563857078552,0.46708160638809204,0.7507221102714539,0.4698689579963684,0.9848924875259399,0.07703879475593567,0.755828320980072,0.019226785749197006
clean,clean,gtzan_real_v2,GTZAN_genre_5,False,0.0,0.0,0.0,0.0,1.0,0.4239433160479936,0.5832069717217757,0.2646796603742116,True,True,30.013375,0.6722699403762817,3.8571059121750295e-05,0.6652354001998901,3.646239565568976e-05,0.540490448474884,0.9999921321868896,0.018898779526352882,0.6359754204750061
clean,clean,librispeech_dev,LibriSpeech,False,0.0,0.0,0.0,1.0,0.0,0.007323688456160191,0.007323688456160191,,False,True,6.77,0.7312540411949158,0.5103626251220703,0.7327489256858826,0.5216336846351624,0.9302183985710144,0.11223618686199188,0.8114093542098999,0.023698844015598297
clean,clean,asvspoof2019,A02,False,1.0,1.0,0.0,1.0,0.0,0.999666448023749,0.999666448023749,,False,True,4.6824375,0.7607788443565369,0.4233884811401367,0.7668758630752563,0.4251238703727722,0.9722790718078613,0.07236118614673615,0.7677841186523438,0.020561929792165756
clean,clean,gtzan_real_v2,GTZAN_genre_7,False,0.0,0.0,0.0,0.0,1.0,0.41521256012183316,0.4094876205810261,0.4209374996626402,True,True,30.0001875,0.7357215285301208,1.1048990018025506e-05,0.7084165811538696,1.040764163917629e-05,0.3601095378398895,0.9999796748161316,0.023422664031386375,0.8241207599639893
clean,clean,librispeech_dev,LibriSpeech,False,0.0,0.0,0.0,1.0,0.0,0.0114447406944246,0.0114447406944246,,False,True,3.625,0.7492079138755798,0.4893623888492584,0.7578778266906738,0.49543288350105286,0.981789767742157,0.15040162205696106,0.882717490196228,0.011381972581148148
clean,clean,asvspoof2019,A02,False,1.0,1.0,0.0,1.0,0.0,0.9994014962349402,0.9994014962349402,,False,True,4.198375,0.7371633648872375,0.42863667011260986,0.7486483454704285,0.4262599050998688,0.9848982691764832,0.05069207027554512,0.707886815071106,0.019442815333604813
clean,clean,wavefake_ajay,WF6,False,1.0,1.0,0.0,1.0,0.0,0.9981587779920713,0.9981587779920713,,False,True,5.538,0.8034555912017822,0.488849937915802,0.8080862760543823,0.4995846152305603,0.9870558977127075,0.09881069511175156,0.8160200119018555,0.03045891784131527
clean,clean,split_internal_mix,mix::A01::MusicGen,True,1.0,1.0,1.0,1.0,1.0,0.9680615451410249,0.9394057167059798,0.99671737357607,True,True,7.489,0.732481062412262,0.999868631362915,0.7243166565895081,0.9998576641082764,0.6097081303596497,0.9999194145202637,0.008643103763461113,0.014984025619924068
