split,calibration_fold,source,generator,is_mixed,y_file_fake,y_voice_fake,y_music_fake,y_voice_present,y_music_present,df,df_primary,df_second,df_has_second,df_used,duration_sec,vf,mf,vfile,mfile,vp_model,mp_model,vp_panns,mp_panns
telephone_narrow,telephone_narrow,librispeech_dev,LibriSpeech,False,0.0,0.0,0.0,1.0,0.0,0.02355627556196752,0.02355627556196752,,False,True,2.3,0.6706101298332214,0.3894297480583191,0.6998218297958374,0.37389418482780457,0.9881596565246582,0.09027355164289474,0.8329039812088013,0.04845944792032242
telephone_narrow,telephone_narrow,gtzan_real_v2,GTZAN_genre_1,False,0.0,0.0,0.0,0.0,1.0,0.21186465706798768,0.2510059291209438,0.1727233850150315,True,True,30.013375,0.6231881380081177,2.4123723960656207e-06,0.6409156322479248,2.24428049477865e-06,0.9186720252037048,0.9999938011169434,0.02133799158036709,0.7450938820838928
telephone_narrow,telephone_narrow,asvspoof2019,bonafide,False,0.0,0.0,0.0,1.0,0.0,0.018389194676465763,0.018389194676465763,,False,True,4.2175,0.7149043679237366,0.44475361704826355,0.7334168553352356,0.441580206155777,0.9888783097267151,0.09088226407766342,0.8157837390899658,0.02116517536342144
telephone_narrow,telephone_narrow,gtzan_real_v2,GTZAN_genre_5,False,0.0,0.0,0.0,0.0,1.0,0.5704013595210706,0.44569590009768556,0.6951068189444557,True,True,30.013375,0.6493858098983765,0.14682526886463165,0.6652898788452148,0.15139609575271606,0.783978283405304,0.9994781613349915,0.01611877977848053,0.49360015988349915
telephone_narrow,telephone_narrow,librispeech_dev,LibriSpeech,False,0.0,0.0,0.0,1.0,0.0,0.01259293617089124,0.01259293617089124,,False,True,6.77,0.7109200358390808,0.42558979988098145,0.7213205099105835,0.4272023141384125,0.9741554856300354,0.13588248193264008,0.68757563829422,0.03156323358416557
telephone_narrow,telephone_narrow,asvspoof2019,A02,False,1.0,1.0,0.0,1.0,0.0,0.9996970963415394,0.9996970963415394,,False,True,4.6824375,0.74991375207901,0.44301629066467285,0.7607660889625549,0.4425784945487976,0.9883501529693604,0.09666717052459717,0.7030488848686218,0.021191151812672615
telephone_narrow,telephone_narrow,gtzan_real_v2,GTZAN_genre_7,False,0.0,0.0,0.0,0.0,1.0,0.3005033227063627,0.3148640535875206,0.2861425918252048,True,True,30.0001875,0.7450733184814453,0.009201702661812305,0.7445120811462402,0.009403401054441929,0.7320608496665955,0.9878897070884705,0.023853367194533348,0.8717133402824402
telephone_narrow,telephone_narrow,librispeech_dev,LibriSpeech,False,0.0,0.0,0.0,1.0,0.0,0.02050899322846606,0.02050899322846606,,False,True,3.625,0.701814591884613,0.39054232835769653,0.7148333191871643,0.3880385160446167,0.9807097911834717,0.14418402314186096,0.8200757503509521,0.025563307106494904
telephone_narrow,telephone_narrow,asvspoof2019,A02,False,1.0,1.0,0.0,1.0,0.0,0.9990670707141426,0.9990670707141426,,False,True,4.198375,0.7159003615379333,0.3845146596431732,0.7331953644752502,0.37560755014419556,0.9884573817253113,0.07932379096746445,0.6708707809448242,0.02048611454665661
telephone_narrow,telephone_narrow,wavefake_ajay,WF6,False,1.0,1.0,0.0,1.0,0.0,0.9289876800000411,0.9289876800000411,,False,True,5.538,0.727217972278595,0.5056976675987244,0.7398956418037415,0.5139751434326172,0.9835130572319031,0.12204074114561081,0.7888282537460327,0.04093560576438904
telephone_narrow,telephone_narrow,split_internal_mix,mix::A01::MusicGen,True,1.0,1.0,1.0,1.0,1.0,0.9312192055535415,0.8717441411970637,0.9906942699100195,True,True,7.489,0.7319640517234802,0.9998598098754883,0.7326520681381226,0.9998495578765869,0.681868851184845,0.9999232292175293,0.013656502589583397,0.02462228201329708
telephone_narrow,telephone_narrow,wavefake_ajay,WF5,False,1.0,1.0,0.0,1.0,0.0,0.9838733084979526,0.9905253399070372,0.9772212770888681,True,True,7.6161875,0.7321603894233704,0.5004725456237793,0.7451175451278687,0.5097030401229858,0.9821219444274902,0.11487413942813873,0.7981331944465637,0.0358731746673584
telephone_narrow,telephone_narrow,wavefake_ajay,WF1,False,1.0,1.0,0.0,1.0,0.0,0.9898619635936285,0.9898619635936285,,False,True,6.09525,0.7081130146980286,0.48332417011260986,0.7207157611846924,0.48774299025535583,0.977295458316803,0.13763444125652313,0.7428529858589172,0.025590937584638596
telephone_narrow,telephone_narrow,fake_music_generated,MusicGen,False,1.0,0.0,1.0,0.0,1.0,0.7970897309765347,0.7970897309765347,,False,True,5.8945,0.7430875301361084,0.9995936751365662,0.7453731298446655,0.999575674533844,0.7095001339912415,0.9996389150619507,0.018578024581074715,0.06991816312074661
telephone_narrow,telephone_narrow,librispeech_dev,LibriSpeech,False,0.0,0.0,0.0,1.0,0.0,0.0607097974116438,0.038250287132018175,0.08316930769126943,True,True,18.86,0.7136643528938293,0.4509296417236328,0.725620687007904,0.4540887475013733,0.9720752239227295,0.13545089960098267,0.8342877626419067,0.018834440037608147
telephone_narrow,telephone_narrow,asvspoof2019,A01,False,1.0,1.0,0.0,1.0,0.0,0.9998372363200622,0.9998372363200622,,False,True,4.818,0.8232333064079285,0.4672393500804901,0.8295426964759827,0.4733051061630249,0.9934307932853699,0.06654252856969833,0.6604393124580383,0.04188578203320503
telephone_narrow,telephone_narrow,librispeech_dev,LibriSpeech,False,0.0,0.0,0.0,1.0,0.0,0.27994717238026734,0.27994717238026734,,False,True,2.54,0.6640539169311523,0.379019558429718,0.6868768930435181,0.3637102246284485,0.98014235496521,0.07650942355394363,0.7826635241508484,0.03732611611485481
telephone_narrow,telephone_narrow,librispeech_dev,LibriSpeech,False,0.0,0.0,0.0,1.0,0.0,0.10789618523751955,0.10662610583197349,0.10916626464306561,True,True,15.835,0.6838163137435913,0.48421239852905273,0.6960972547531128,0.4869080185890198,0.9663317799568176,0.17252954840660095,0.7560170888900757,0.021994976326823235
telephone_narrow,telephone_narrow,fake_music_generated,MusicGen,False,1.0,0.0,1.0,0.0,1.0,0.7861480176945208,0.7861480176945208,,False,True,5.12375,0.7463918328285217,0.9995131492614746,0.7471520304679871,0.999495267868042,0.6944857835769653,0.9994974136352539,0.014995727688074112,0.03214062377810478
