path,split,calibration_fold,source,generator,is_mixed,y_file_fake,y_voice_fake,y_music_fake,y_voice_present,y_music_present,df,df_primary,df_second,df_has_second,df_used,duration_sec,vf,mf,vfile,mfile,vp_model,mp_model,vp_panns,mp_panns,baseline_vf,baseline_mf,baseline_vfile,baseline_mfile,baseline_vp_model,baseline_mp_model,v9_vf,v9_vfile,v9_vp_model,v9_mf,v9_mfile,v9_mp_model
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ028-0411.wav|data/raw/gtzan_unique_v2/metal.00042.wav,fusion_calibration,cal_b,split_internal_mix,mix::WF3::GTZAN_genre_6,True,1.0,1.0,0.0,1.0,1.0,0.9951571535793696,0.9921251748531764,0.9981891323055628,True,True,38.0955,0.8009655475616455,0.2843357026576996,0.7476851940155029,0.2912643849849701,0.8962084650993347,0.7028234601020813,0.2852474451065063,0.590653121471405,0.3457522392272949,0.1624902188777923,0.3493963778018951,0.2014069855213165,0.8772373795509338,0.1521553248167038,0.5307084321975708,0.4562875032424927,0.9417734146118164,0.42618992924690247,0.42282673716545105,0.7377278208732605
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_2428-83699-0013.flac|data/raw/gtzan_unique_v2/rock.00084.wav,fusion_calibration,cal_c,split_internal_mix,mix::LibriSpeech::GTZAN_genre_9,True,0.0,0.0,0.0,1.0,1.0,0.1632305720502244,0.0200217875528054,0.3064393565476435,True,True,33.803375,0.7608650326728821,0.1511598825454712,0.7401769161224365,0.14718309044837952,0.9162976145744324,0.7053308486938477,0.2810803353786468,0.5725606083869934,0.0575957521796226,0.1310979723930359,0.0599666200578212,0.1623248755931854,0.7586949467658997,0.2061760872602462,0.5413811206817627,0.4608830213546753,0.9591023325920105,0.418031245470047,0.41891732811927795,0.7237939834594727
data\raw\openslr_librispeech_asr\librispeech_dev_3752-4943-0023.flac,fusion_calibration,cal_b,librispeech_dev,LibriSpeech,False,0.0,0.0,0.0,1.0,0.0,0.0196278140754508,0.0196278140754508,,False,True,3.055,0.7162764668464661,0.35874584317207336,0.7305094599723816,0.3487655222415924,0.9820564985275269,0.10530955344438553,0.8388499617576599,0.0156527422368526,0.0847710222005844,0.0871314853429794,0.0881222188472747,0.147446870803833,0.9987385869026184,0.0010397186269983,0.549065351486206,0.5371052026748657,0.9827864170074463,0.7767594456672668,0.7813567519187927,0.19134192168712616
data/raw/gtzan_unique_v2/reggae.00053.wav,fusion_calibration,cal_c,gtzan_real_v2,GTZAN_genre_8,False,0.0,0.0,0.0,0.0,1.0,0.4982221845245593,0.4596325877077888,0.5368117813413298,True,True,30.0001875,0.702823281288147,0.0011970013147220016,0.7018879652023315,0.001170305535197258,0.8303408622741699,0.9968979954719543,0.0239326041191816,0.8796795010566711,0.1482129395008087,0.0718144178390502,0.1480302512645721,0.0821347087621688,0.4389708042144775,0.343107134103775,0.43447306752204895,0.4247390031814575,0.7830514907836914,0.3250371813774109,0.3322004973888397,0.9128560423851013
data/raw/gtzan_unique_v2/rock.00057.wav,fusion_calibration,cal_c,gtzan_real_v2,GTZAN_genre_9,False,0.0,0.0,0.0,0.0,1.0,0.3295537026072375,0.3683273219740499,0.2907800832404251,True,True,30.013375,0.7005505561828613,4.61517720395932e-06,0.676789402961731,4.330659976403695e-06,0.41718384623527527,0.9999930262565613,0.0349414534866809,0.8421035408973694,0.4727441072463989,0.0039327451959252,0.4853377342224121,0.0041895015165209,0.0125954886898398,0.969740867614746,0.5406869649887085,0.5261631011962891,0.5072243809700012,0.20436689257621765,0.20311500132083893,0.9976105690002441
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_3752-4943-0018.flac|data\raw\fake_music_generated\fake_music_MusicGen_0196.wav,fusion_calibration,cal_b,split_internal_mix,mix::LibriSpeech::MusicGen,True,1.0,0.0,1.0,1.0,1.0,0.0689966573947311,0.0111972794703448,0.1267960353191174,True,True,9.714375,0.753240168094635,0.3546753525733948,0.763036847114563,0.34723663330078125,0.9851363897323608,0.09394776076078415,0.7829558849334717,0.0428670346736907,0.0248852428048849,0.0883210152387619,0.0263607669621706,0.1391135156154632,0.9991048574447632,0.0037642398383468,0.5173755288124084,0.4938933849334717,0.9692112803459167,0.7809845209121704,0.7853761911392212,0.23399260640144348
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ019-0389.wav,fusion_calibration,cal_a,wavefake_ajay,WF5,False,1.0,1.0,0.0,1.0,0.0,0.9975692871784116,0.9975692871784116,,False,True,2.728375,0.7214249968528748,0.4611600339412689,0.7354356050491333,0.4598444700241089,0.9850014448165894,0.08187758922576904,0.8546460866928101,0.0265369787812232,0.703598141670227,0.1100280955433845,0.7068619728088379,0.1810621321201324,0.996868908405304,0.0013227226445451,0.5280174016952515,0.5134907364845276,0.9776669144630432,0.7464199662208557,0.7480759620666504,0.15884453058242798
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ002-0032.wav,fusion_calibration,cal_b,wavefake_ajay,WF3,False,1.0,1.0,0.0,1.0,0.0,0.9987620988177042,0.9987620988177042,,False,True,3.993875,0.7376094460487366,0.3522967994213104,0.749039888381958,0.34823039174079895,0.9744611382484436,0.13363072276115417,0.8049678206443787,0.0257765166461467,0.7225686311721802,0.1148875206708908,0.7262447476387024,0.1669069230556488,0.9921850562095642,0.0103198941797018,0.5803411602973938,0.5692809820175171,0.980747401714325,0.7220389246940613,0.7261464595794678,0.33908918499946594
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_2428-83699-0012.flac|data\raw\fake_music_generated\fake_music_AudioLDM2_0157.wav,fusion_calibration,cal_c,split_internal_mix,mix::LibriSpeech::AudioLDM2,True,1.0,0.0,1.0,1.0,1.0,0.5110610264355695,0.952389187061752,0.0697328658093868,True,True,13.0561875,0.7463467121124268,0.9994772672653198,0.7462762594223022,0.9994556903839111,0.7482094764709473,0.9994641542434692,0.1932588070631027,0.0171125493943691,0.5632995963096619,0.9971326589584352,0.5617027878761292,0.997331202030182,0.1153402030467987,0.885906994342804,0.75030916929245,0.6721162796020508,0.6502807140350342,0.9986802339553833,0.9985110759735107,0.9371258020401001
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ015-0100.wav|data\raw\fake_music_generated\fake_music_AudioLDM2_0095.wav,fusion_calibration,cal_a,split_internal_mix,mix::R::AudioLDM2,True,1.0,0.0,1.0,1.0,1.0,0.2194117731614437,0.2838936944621945,0.154929851860693,True,True,12.2894375,0.7457475066184998,0.6634272933006287,0.7442049980163574,0.6641958355903625,0.9803600311279297,0.3686090111732483,0.6853231191635132,0.054692018777132,0.4532409012317657,0.1949530392885208,0.4510948061943054,0.2774583995342254,0.948225736618042,0.0074468962848186,0.5507568120956421,0.5394681692123413,0.9675033688545227,0.7085690498352051,0.7042157649993896,0.4945685863494873
