path,split,calibration_fold,source,generator,data_role,y_file_fake,y_voice_fake,y_music_fake,y_voice_present,y_music_present,df,df_primary,df_second,df_has_second,df_used,duration_sec,vf,mf,vfile,mfile,vp_model,mp_model,vp_panns,mp_panns
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ028-0411.wav|data/raw/gtzan_unique_v2/metal.00042.wav,cal_old,cal_b,split_internal_mix,mix::WF3::GTZAN_genre_6,cal_old,1,1,0,1,1,0.9929288515613481,0.9929288515613481,,False,True,38.0955,0.7982573509216309,0.2842457592487335,0.7460645437240601,0.2911200225353241,0.8956046104431152,0.7014190554618835,0.28524744510650635,0.590653121471405
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_2428-83699-0013.flac|data/raw/gtzan_unique_v2/rock.00084.wav,cal_old,cal_c,split_internal_mix,mix::LibriSpeech::GTZAN_genre_9,cal_old,0,0,0,1,1,0.02086295112927416,0.02086295112927416,,False,True,33.803375,0.7567635774612427,0.15153032541275024,0.7374646663665771,0.1470871865749359,0.9152525067329407,0.7030120491981506,0.28108033537864685,0.5725606083869934
data\raw\openslr_librispeech_asr\librispeech_dev_3752-4943-0023.flac,cal_old,cal_b,librispeech_dev,LibriSpeech,cal_old,0,0,0,1,0,0.01965288134611629,0.01965288134611629,,False,True,3.055,0.7090144753456116,0.36422914266586304,0.721005916595459,0.35326945781707764,0.9761826395988464,0.0948493629693985,0.8388497829437256,0.015652786940336227
data/raw/gtzan_unique_v2/reggae.00053.wav,cal_old,cal_c,gtzan_real_v2,GTZAN_genre_8,cal_old,0,0,0,0,1,0.4729798919298833,0.4729798919298833,,False,True,30.0001875,0.7029006481170654,0.0013219763059169054,0.7019215822219849,0.001293692272156477,0.8298817276954651,0.9965688586235046,0.023932605981826782,0.8796795010566711
data/raw/gtzan_unique_v2/rock.00057.wav,cal_old,cal_c,gtzan_real_v2,GTZAN_genre_9,cal_old,0,0,0,0,1,0.371641467363474,0.371641467363474,,False,True,30.013375,0.7005505561828613,4.61517720395932e-06,0.676789402961731,4.330659976403695e-06,0.41718384623527527,0.9999930262565613,0.034941453486680984,0.8421035408973694
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_3752-4943-0018.flac|data\raw\fake_music_generated\fake_music_MusicGen_0196.wav,cal_old,cal_b,split_internal_mix,mix::LibriSpeech::MusicGen,cal_old,1,0,1,1,1,0.011692761554750975,0.011692761554750975,,False,True,9.714375,0.7482688426971436,0.3588215708732605,0.7563144564628601,0.35062384605407715,0.9810259938240051,0.0871632769703865,0.7829559445381165,0.04286699742078781
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ019-0389.wav,cal_old,cal_a,wavefake_ajay,WF5,cal_old,1,1,0,1,0,0.9976034692110605,0.9976034692110605,,False,True,2.728375,0.7152999043464661,0.4643676280975342,0.7271273732185364,0.46280571818351746,0.9804362654685974,0.07648614794015884,0.8546460270881653,0.02653702162206173
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ002-0032.wav,cal_old,cal_b,wavefake_ajay,WF3,cal_old,1,1,0,1,0,0.9988076560246179,0.9988076560246179,,False,True,3.993875,0.7358084321022034,0.3500383794307709,0.7458637952804565,0.3447844982147217,0.9702851176261902,0.12370622158050537,0.8049678802490234,0.025776490569114685
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_2428-83699-0012.flac|data\raw\fake_music_generated\fake_music_AudioLDM2_0157.wav,cal_old,cal_c,split_internal_mix,mix::LibriSpeech::AudioLDM2,cal_old,1,0,1,1,1,0.9493989833213713,0.9493989833213713,,False,True,13.0561875,0.7456710338592529,0.9994781017303467,0.745762825012207,0.9994568228721619,0.7458536624908447,0.9994624257087708,0.19325895607471466,0.01711255870759487
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ015-0100.wav|data\raw\fake_music_generated\fake_music_AudioLDM2_0095.wav,cal_old,cal_a,split_internal_mix,mix::R::AudioLDM2,cal_old,1,0,1,1,1,0.2757204921806966,0.2757204921806966,,False,True,12.2894375,0.7414625883102417,0.6694287657737732,0.7391595244407654,0.6698592305183411,0.9759858846664429,0.3543647527694702,0.6853228807449341,0.05469205230474472
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_3752-4943-0021.flac|data/raw/gtzan_unique_v2/jazz.00078.wav,cal_old,cal_b,split_internal_mix,mix::LibriSpeech::GTZAN_genre_5,cal_old,0,0,0,1,1,0.015363002416279846,0.015363002416279846,,False,True,35.528375,0.7389087080955505,0.09845203906297684,0.712543249130249,0.09771892428398132,0.720258891582489,0.7822417616844177,0.28937771916389465,0.4585954248905182
data\raw\fake_music_generated\fake_music_AudioLDM2_0053.wav,cal_old,cal_b,fake_music_generated,AudioLDM2,cal_old,1,0,1,0,1,0.9007884773205572,0.9007884773205572,,False,True,4.0666875,0.7314002513885498,0.999818742275238,0.7185087203979492,0.9998053908348083,0.5477911233901978,0.9998787641525269,0.014867921359837055,0.02872016467154026
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ019-0347.wav|data/raw/gtzan_unique_v2/jazz.00099.wav,cal_old,cal_c,split_internal_mix,mix::WF2::GTZAN_genre_5,cal_old,1,1,0,1,1,0.8402768086490106,0.8402768086490106,,False,True,32.0276875,0.6830679774284363,1.398833774146624e-06,0.6737329959869385,1.3218500498624053e-06,0.5688874125480652,0.9999980926513672,0.021714694797992706,0.6910886764526367
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_8842-302196-0006.flac|data/raw/gtzan_unique_v2/rock.00006.wav,cal_old,cal_c,split_internal_mix,mix::LibriSpeech::GTZAN_genre_9,cal_old,0,0,0,1,1,0.42184619487268243,0.42184619487268243,,False,True,34.841875,0.7132321000099182,4.664550033339765e-06,0.692622184753418,4.419742253958248e-06,0.4246527850627899,0.9999901652336121,0.02741304598748684,0.8749920725822449
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ043-0044.wav,cal_old,cal_c,wavefake_ajay,WF6,cal_old,1,1,0,1,0,0.9987220747478005,0.9987220747478005,,False,True,8.31275,0.7923370003700256,0.5279752016067505,0.7885255217552185,0.5418732166290283,0.9795107841491699,0.10502022504806519,0.8380039930343628,0.031415220350027084
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ050-0248.wav,cal_old,cal_a,wavefake_ajay,WF4,cal_old,1,1,0,1,0,0.9993717814449983,0.9993717814449983,,False,True,5.1665,0.8155208230018616,0.5416377186775208,0.8189783096313477,0.5547414422035217,0.9898968935012817,0.08647508919239044,0.7857949733734131,0.03649670258164406
data\raw\openslr_librispeech_asr\librispeech_dev_2428-83705-0015.flac,cal_old,cal_c,librispeech_dev,LibriSpeech,cal_old,0,0,0,1,0,0.020132216368183423,0.020132216368183423,,False,True,10.985,0.7950259447097778,0.48152637481689453,0.7755688428878784,0.4881196916103363,0.981525719165802,0.07942603528499603,0.7915083169937134,0.026833679527044296
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_2428-83705-0007.flac|data/raw/gtzan_unique_v2/pop.00089.wav,cal_old,cal_c,split_internal_mix,mix::LibriSpeech::GTZAN_genre_7,cal_old,0,0,0,1,1,0.11689764273749031,0.11689764273749031,,False,True,31.6651875,0.6776003241539001,0.005343944299966097,0.671675443649292,0.00513259693980217,0.7289126515388489,0.9714655876159668,0.23341703414916992,0.8304656147956848
MIX::data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_9457505.flac|data/raw/gtzan_unique_v2/blues.00062.wav,cal_old,cal_b,split_internal_mix,mix::bonafide::GTZAN_genre_0,cal_old,0,0,0,1,1,0.14379579298586334,0.14379579298586334,,False,True,30.013375,0.6728045344352722,4.0084298234432936e-05,0.6631166338920593,3.923467011190951e-05,0.5621302127838135,0.9999442100524902,0.16115698218345642,0.8585349917411804
data\raw\openslr_librispeech_asr\librispeech_dev_3752-4943-0028.flac,cal_old,cal_b,librispeech_dev,LibriSpeech,cal_old,0,0,0,1,0,0.027699480847416795,0.027699480847416795,,False,True,3.76,0.7405938506126404,0.27789926528930664,0.7495066523551941,0.26988455653190613,0.9473059177398682,0.12677255272865295,0.9097028374671936,0.016451021656394005
data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ017-0031.wav,cal_old,cal_a,wavefake_ajay,WF4,cal_old,1,1,0,1,0,0.9994408457468709,0.9994408457468709,,False,True,8.904875,0.7839040160179138,0.4618009030818939,0.7853437662124634,0.4682884216308594,0.9731528162956238,0.11775989830493927,0.7997974753379822,0.040247105062007904
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ028-0343.wav|data/raw/gtzan_unique_v2/metal.00086.wav,cal_old,cal_b,split_internal_mix,mix::WF7::GTZAN_genre_6,cal_old,1,1,0,1,1,0.9901105730172385,0.9901105730172385,,False,True,34.8154375,0.7643045783042908,0.2354263812303543,0.7080783247947693,0.2382131814956665,0.6766185760498047,0.7098175883293152,0.28008732199668884,0.5535455346107483
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ017-0043_WF7_2.wav|data\raw\fake_music_generated\fake_music_AudioLDM2_0223.wav,cal_old,cal_a,split_internal_mix,mix::WF7::AudioLDM2,cal_old,1,1,1,1,1,0.9848339352053445,0.9848339352053445,,False,True,10.83275,0.7927930951118469,0.5106382369995117,0.7936102151870728,0.520943820476532,0.9838919639587402,0.13241897523403168,0.8293588757514954,0.0237838514149189
data/raw/gtzan_unique_v2/reggae.00013.wav,cal_old,cal_a,gtzan_real_v2,GTZAN_genre_8,cal_old,0,0,0,0,1,0.07930596587204743,0.07930596587204743,,False,True,30.013375,0.6955624222755432,0.0006339134997688234,0.6932777166366577,0.0006169530097395182,0.6651191115379333,0.9981089234352112,0.02683342434465885,0.7944815158843994
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ015-0113.wav|data\raw\fake_music_generated\fake_music_AudioLDM2_0043.wav,cal_old,cal_a,split_internal_mix,mix::WF2::AudioLDM2,cal_old,1,1,1,1,1,0.8991569665637329,0.8991569665637329,,False,True,9.482625,0.732684850692749,0.9992927312850952,0.7396007776260376,0.9992810487747192,0.8538709878921509,0.9991707801818848,0.16784247756004333,0.04050317406654358
data/raw/gtzan_unique_v2/pop.00011.wav,cal_old,cal_b,gtzan_real_v2,GTZAN_genre_7,cal_old,0,0,0,0,1,0.10264996438258904,0.10264996438258904,,False,True,30.0001875,0.6881341338157654,4.86044291392318e-06,0.6827303767204285,4.579711458063684e-06,0.6409187912940979,0.9999997019767761,0.01688413880765438,0.7986354827880859
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ043-0043.wav|data\raw\fake_music_generated\fake_music_AudioLDM2_0147.wav,cal_old,cal_a,split_internal_mix,mix::WF2::AudioLDM2,cal_old,1,1,1,1,1,0.7719806153437545,0.7719806153437545,,False,True,8.0691875,0.7380032539367676,0.9996058940887451,0.7226067781448364,0.9995817542076111,0.5377094745635986,0.9996310472488403,0.3213425874710083,0.06438499689102173
data\raw\openslr_librispeech_asr\librispeech_dev_3752-4943-0014.flac,cal_old,cal_b,librispeech_dev,LibriSpeech,cal_old,0,0,0,1,0,0.021200565979652072,0.021200565979652072,,False,True,2.99,0.7115593552589417,0.35811012983322144,0.7226093411445618,0.3472128212451935,0.9732320308685303,0.07626810669898987,0.8458963632583618,0.02378985844552517
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ015-0100.wav|data/raw/gtzan_unique_v2/jazz.00091.wav,cal_old,cal_a,split_internal_mix,mix::R::GTZAN_genre_5,cal_old,0,0,0,1,1,0.8698432337018923,0.8698432337018923,,False,True,30.013375,0.6951130628585815,1.9051431081607006e-06,0.6724416017532349,1.8022201402345672e-06,0.4590766131877899,0.9999999403953552,0.3613092005252838,0.7015312314033508
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ045-0176.wav|data/raw/gtzan_unique_v2/pop.00020.wav,cal_old,cal_c,split_internal_mix,mix::WF3::GTZAN_genre_7,cal_old,1,1,0,1,1,0.9923475149475595,0.9923475149475595,,False,True,33.860125,0.7629377245903015,0.25255286693573,0.7104288339614868,0.257139652967453,0.7695809006690979,0.7032988667488098,0.29368695616722107,0.5522370338439941
data\raw\fake_music_generated\fake_music_MusicGen_0082.wav,cal_old,cal_c,fake_music_generated,MusicGen,cal_old,1,0,1,0,1,0.9292655295090912,0.9292655295090912,,False,True,5.577,0.7345401644706726,0.9998410940170288,0.7231277823448181,0.9998286962509155,0.5619136095046997,0.9998953342437744,0.015020588412880898,0.0411619134247303
data/raw/gtzan_unique_v2/disco.00093.wav,cal_old,cal_c,gtzan_real_v2,GTZAN_genre_3,cal_old,0,0,0,0,1,0.45230651765635965,0.45230651765635965,,False,True,30.0001875,0.7104882001876831,2.5730937522894237e-06,0.682489275932312,2.428892457828624e-06,0.4100930690765381,0.9999942779541016,0.024465173482894897,0.8692348003387451
data\raw\fake_music_generated\fake_music_MusicGen_0104.wav,cal_old,cal_b,fake_music_generated,MusicGen,cal_old,1,0,1,0,1,0.8542841694115242,0.8542841694115242,,False,True,5.07025,0.7353407144546509,0.9999369382858276,0.7223386764526367,0.9999309778213501,0.5614054799079895,0.9999649524688721,0.012879446148872375,0.018514972180128098
data/raw/gtzan_unique_v2/country.00036.wav,cal_old,cal_b,gtzan_real_v2,GTZAN_genre_2,cal_old,0,0,0,0,1,0.20052628792840008,0.20052628792840008,,False,True,30.013375,0.6867508888244629,1.4705907233292237e-05,0.6871044635772705,1.436247748642927e-05,0.8426874279975891,0.9999850392341614,0.16012589633464813,0.7893136143684387
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ017-0043.wav|data/raw/gtzan_unique_v2/pop.00013.wav,cal_old,cal_a,split_internal_mix,mix::WF5::GTZAN_genre_7,cal_old,1,1,0,1,1,0.9823301758960707,0.9823301758960707,,False,True,37.75725,0.7742950916290283,0.2582652270793915,0.7252670526504517,0.26351532340049744,0.8782527446746826,0.7076969146728516,0.28634390234947205,0.5441058278083801
