path,split,calibration_fold,source,generator,data_role,y_file_fake,y_voice_fake,y_music_fake,y_voice_present,y_music_present,df,df_primary,df_second,df_has_second,df_used,duration_sec,vf,mf,vfile,mfile,vp_model,mp_model,vp_panns,mp_panns
MIX::data\raw\public_v9\mlaad_tiny\fake\en\RVC\dorothy_and_wizard_oz_07_f000014.wav|data\raw\public_v9\echoes_fma_paired\fake\Celia_Ergo_Phizmiz_producer_ATA_001.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::echoes_fma_paired,mix::MLAAD::RVC::Echoes::producer,cal_v12,1,1,1,1,1,0.9750009602281001,0.9750009602281001,,False,True,218.453375,0.7223681211471558,3.867112172883935e-05,0.706598699092865,3.725373244378716e-05,0.5235207080841064,0.9999094605445862,0.023569369688630104,0.8459683060646057
MIX::data\raw\public_v9\mlaad_tiny\fake\en\RVC\dorothy_and_wizard_oz_07_f000014.wav|data\raw\public_v9\echoes_fma_paired\fake\Cloudy_Subway_Sonicbeat_audioldm_ATA_001.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::echoes_fma_paired,mix::MLAAD::RVC::Echoes::audioldm,cal_v12,1,1,1,1,1,0.5361196440223446,0.5361196440223446,,False,True,30.722,0.6796988248825073,0.00020477676298469305,0.678712010383606,0.00019910576520487666,0.7057845592498779,0.9995738863945007,0.4647116959095001,0.7786507606506348
MIX::data\raw\public_v9\mlaad_tiny\fake\en\FishTTS\dorothy_and_wizard_oz_07_f000046.wav|data\raw\public_v9\echoes_fma_paired\fake\Burn_Room_For_A_Ghost_musicgen_ATA_001.wav,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::echoes_fma_paired,mix::MLAAD::FishTTS::Echoes::musicgen,cal_v12,1,1,1,1,1,0.827357059394877,0.827357059394877,,False,True,29.94,0.6943126916885376,0.0016835462301969528,0.6977236270904541,0.0016687836032360792,0.7760218977928162,0.999727725982666,0.25860846042633057,0.716223955154419
MIX::data\raw\public_v9\mlaad_tiny\fake\en\Higgs-Audio-V2\dorothy_and_wizard_oz_08_f000005.wav|data\raw\public_v9\sonics\fake_09743_suno_0.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::sonics_official,mix::MLAAD::Higgs-Audio-V2::SONICS::chirp-v2-xxl-alpha,cal_v12,1,1,1,1,1,0.2102107983333731,0.2102107983333731,,False,True,80.0,0.7080340385437012,0.002924977568909526,0.6789392232894897,0.0029727041255682707,0.6641599535942078,0.9963572025299072,0.10342257469892502,0.8358483910560608
MIX::data\raw\public_v9\mlaad_tiny\fake\en\RVC\dorothy_and_wizard_oz_08_f000016.wav|data\raw\public_v9\echoes_fma_paired\fake\Celia_Ergo_Phizmiz_stableaudio_TTA_001.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::echoes_fma_paired,mix::MLAAD::RVC::Echoes::stableaudio,cal_v12,1,1,1,1,1,0.9305382946013245,0.9305382946013245,,False,True,180.0,0.7057233452796936,7.285861556738382e-06,0.6873021125793457,6.887693871249212e-06,0.4876144826412201,0.9999885559082031,0.03647485002875328,0.8305552005767822
MIX::data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\dorothy_and_wizard_oz_08_f000065.wav|data\raw\public_v9\sonics\fake_09164_suno_0.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::sonics_official,mix::MLAAD::Chatterbox::SONICS::chirp-v2-xxl-alpha,cal_v12,1,1,1,1,1,0.7126336441408463,0.7126336441408463,,False,True,80.0,0.7369508743286133,9.75575894699432e-05,0.7335045337677002,9.40219615586102e-05,0.902604341506958,0.9998650550842285,0.1252557635307312,0.8554270267486572
MIX::data\raw\public_v9\mlaad_tiny\fake\en\f5-tts\dorothy_and_wizard_oz_14_f000043.wav|data\raw\public_v9\echoes_fma_paired\fake\Cold_Chains_Rolemusic_producer_ATA_001.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::echoes_fma_paired,mix::MLAAD::f5-tts::Echoes::producer,cal_v12,1,1,1,1,1,0.9932560965241722,0.9932560965241722,,False,True,220.6825,0.8305942416191101,0.056919123977422714,0.8021162748336792,0.05626610293984413,0.8290620446205139,0.7760441899299622,0.1697806864976883,0.8486685156822205
MIX::data\raw\public_v9\mlaad_tiny\fake\en\Microsoft VibeVoice 1.5B\dorothy_and_wizard_oz_14_f000082.wav|data\raw\public_v9\sonics\fake_09380_suno_0.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::sonics_official,mix::MLAAD::Microsoft VibeVoice 1.5B::SONICS::chirp-v2-xxl-alpha,cal_v12,1,1,1,1,1,0.9503980083077355,0.9503980083077355,,False,True,80.0,0.6847350001335144,3.0042650905670598e-05,0.6783713102340698,2.906224108301103e-05,0.6163435578346252,0.9999719262123108,0.24626636505126953,0.8519372344017029
MIX::data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\dorothy_and_wizard_oz_14_f000118.wav|data\raw\public_v9\sonics\fake_10003_suno_0.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::sonics_official,mix::MLAAD::Chatterbox::SONICS::chirp-v2-xxl-alpha,cal_v12,1,1,1,1,1,0.7669126604397378,0.7669126604397378,,False,True,80.0,0.6611631512641907,3.85501834898605e-06,0.6518649458885193,3.651830184026039e-06,0.573010265827179,0.9999940991401672,0.03200014680624008,0.8439651131629944
MIX::data\raw\public_v9\mlaad_tiny\fake\en\FireRedTTS-2.0\dorothy_and_wizard_oz_14_f000119.wav|data\raw\public_v9\echoes_fma_paired\fake\Celia_Ergo_Phizmiz_mubert_TTA_001.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::echoes_fma_paired,mix::MLAAD::FireRedTTS-2.0::Echoes::mubert,cal_v12,1,1,1,1,1,0.3388181144260027,0.3388181144260027,,False,True,240.0,0.7014662623405457,0.04174266755580902,0.697562575340271,0.04174966365098953,0.9033775329589844,0.9220495223999023,0.2244374006986618,0.8019896149635315
MIX::data\raw\public_v9\mlaad_tiny\fake\en\FishTTS\emerald_city_of_oz_05_f000014.wav|data\raw\public_v9\echoes_fma_paired\fake\Celia_Ergo_Phizmiz_producer_ATA_001.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::echoes_fma_paired,mix::MLAAD::FishTTS::Echoes::producer,cal_v12,1,1,1,1,1,0.9650603217995277,0.9650603217995277,,False,True,218.453375,0.7106289267539978,6.316149665508419e-05,0.7111802101135254,6.127121741883457e-05,0.7068201899528503,0.9998582005500793,0.02475345879793167,0.843212902545929
MIX::data\raw\public_v9\mlaad_tiny\fake\en\Higgs-Audio-V2\emerald_city_of_oz_05_f000024.wav|data\raw\public_v9\echoes_fma_paired\fake\Fuckaboing_RoccoW_suno_TTA_001.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::echoes_fma_paired,mix::MLAAD::Higgs-Audio-V2::Echoes::suno,cal_v12,1,1,1,1,1,0.3226348129761964,0.3226348129761964,,False,True,172.0,0.653866708278656,6.727142363160965e-07,0.652925968170166,6.423081799766805e-07,0.612140417098999,0.9999990463256836,0.24509449303150177,0.8460056185722351
MIX::data\raw\public_v9\mlaad_tiny\fake\en\RVC\emerald_city_of_oz_05_f000077.wav|data\raw\public_v9\sonics\fake_09214_suno_0.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::sonics_official,mix::MLAAD::RVC::SONICS::chirp-v2-xxl-alpha,cal_v12,1,1,1,1,1,0.9690727397329059,0.9690727397329059,,False,True,80.0,0.7124720215797424,5.550080913963029e-06,0.6873756647109985,5.2644004426838364e-06,0.40759778022766113,0.999995231628418,0.05406566336750984,0.8331496715545654
MIX::data\raw\public_v9\mlaad_tiny\fake\en\RVC\emerald_city_of_oz_05_f000077.wav|data\raw\public_v9\sonics\fake_10003_suno_0.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::sonics_official,mix::MLAAD::RVC::SONICS::chirp-v2-xxl-alpha,cal_v12,1,1,1,1,1,0.8315764550775615,0.8315764550775615,,False,True,80.0,0.741116464138031,4.470815042623144e-07,0.7034498453140259,4.1616982571213157e-07,0.3636048138141632,0.9999993443489075,0.022229403257369995,0.8565012812614441
MIX::data\raw\public_v9\mlaad_tiny\fake\en\Higgs-Audio-V2\emerald_city_of_oz_05_f000091.wav|data\raw\public_v9\sonics\fake_09912_suno_0.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::sonics_official,mix::MLAAD::Higgs-Audio-V2::SONICS::chirp-v2-xxl-alpha,cal_v12,1,1,1,1,1,0.202201579767536,0.202201579767536,,False,True,77.04,0.6943382620811462,0.015149255283176899,0.6717714071273804,0.015558690764009953,0.6973217129707336,0.9870829582214355,0.23509790003299713,0.7660655975341797
MIX::data\raw\public_v9\mlaad_tiny\fake\en\FireRedTTS-2.0\emerald_city_of_oz_08_f000059.wav|data\raw\public_v9\echoes_fma_paired\fake\Celia_Ergo_Phizmiz_brev_TTA_001.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::echoes_fma_paired,mix::MLAAD::FireRedTTS-2.0::Echoes::brev,cal_v12,1,1,1,1,1,0.2551985851422614,0.2551985851422614,,False,True,174.72,0.675049364566803,6.320937973214313e-05,0.666210412979126,6.163227226352319e-05,0.6399256587028503,0.9999310374259949,0.020418522879481316,0.8169305324554443
MIX::data\raw\public_v9\mlaad_tiny\fake\en\FireRedTTS-2.0\emerald_city_of_oz_08_f000073.wav|data\raw\public_v9\echoes_fma_paired\fake\Digital_Lightning_Cloudkicker_brev_TTA_001.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::echoes_fma_paired,mix::MLAAD::FireRedTTS-2.0::Echoes::brev,cal_v12,1,1,1,1,1,0.542101012589044,0.542101012589044,,False,True,479.96,0.692211389541626,0.00025422131875529885,0.675481379032135,0.0002495608350727707,0.6138240694999695,0.9994842410087585,0.2626585066318512,0.8315570950508118
MIX::data\raw\public_v9\mlaad_tiny\fake\en\Chatterbox\emerald_city_of_oz_13_f000060.wav|data\raw\public_v9\echoes_fma_paired\fake\Digital_Lightning_Cloudkicker_elevenlabs_TTA_001.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::echoes_fma_paired,mix::MLAAD::Chatterbox::Echoes::elevenlabs,cal_v12,1,1,1,1,1,0.9943093814998055,0.9943093814998055,,False,True,240.0391875,0.7312354445457458,0.09676188975572586,0.6923645734786987,0.09553204476833344,0.6949455142021179,0.7586557269096375,0.23898208141326904,0.6150534152984619
MIX::data\raw\public_v9\mlaad_tiny\fake\en\FishTTS\emerald_city_of_oz_24_f000069.wav|data\raw\public_v9\echoes_fma_paired\fake\Celia_Ergo_Phizmiz_elevenlabs_TTA_001.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::echoes_fma_paired,mix::MLAAD::FishTTS::Echoes::elevenlabs,cal_v12,1,1,1,1,1,0.44623988036199025,0.44623988036199025,,False,True,180.0359375,0.6927593946456909,0.0017250766977667809,0.6872743368148804,0.0017013674369081855,0.8660083413124084,0.9977753758430481,0.2609022259712219,0.7485617995262146
MIX::data\raw\public_v9\mlaad_tiny\fake\en\f5-tts\hunters_space_05_f000015.wav|data\raw\public_v9\echoes_fma_paired\fake\Busby_Berkeley_Ergo_Phizmiz_producer_ATA_001.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::echoes_fma_paired,mix::MLAAD::f5-tts::Echoes::producer,cal_v12,1,1,1,1,1,0.7169245055538324,0.7169245055538324,,False,True,183.5305625,0.6780611276626587,8.874076229403727e-06,0.6700992584228516,8.54263998917304e-06,0.5874453186988831,0.9999814033508301,0.25823137164115906,0.8011649250984192
MIX::data\raw\public_v9\mlaad_tiny\fake\en\FishTTS\hunters_space_05_f000074.wav|data\raw\public_v9\echoes_fma_paired\fake\Cold_Chains_Rolemusic_audioldm_ATA_001.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::echoes_fma_paired,mix::MLAAD::FishTTS::Echoes::audioldm,cal_v12,1,1,1,1,1,0.9140082201362509,0.9140082201362509,,False,True,30.722,0.6714712977409363,4.659793830796843e-06,0.6636385917663574,4.466146037884755e-06,0.8100287318229675,0.9999932646751404,0.4450216591358185,0.7049071192741394
MIX::data\raw\public_v9\mlaad_tiny\fake\en\Qwen2.5-Omni\hunters_space_05_f000109.wav|data\raw\public_v9\echoes_fma_paired\fake\Digital_Lightning_Cloudkicker_udio_TTA_001.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::echoes_fma_paired,mix::MLAAD::Qwen2.5-Omni::Echoes::udio,cal_v12,1,1,1,1,1,0.976063473361775,0.976063473361775,,False,True,130.8586875,0.6873177289962769,1.3666158338310197e-05,0.6728339195251465,1.2947262803209014e-05,0.49033477902412415,0.9999657273292542,0.038657236844301224,0.8826158046722412
MIX::data\raw\public_v9\mlaad_tiny\fake\en\Higgs-Audio-V2\hunters_space_06_f000014.wav|data\raw\public_v9\echoes_fma_paired\fake\Celia_Ergo_Phizmiz_suno_TTA_001.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::echoes_fma_paired,mix::MLAAD::Higgs-Audio-V2::Echoes::suno,cal_v12,1,1,1,1,1,0.1314381379102654,0.1314381379102654,,False,True,173.32,0.683822751045227,0.0160488560795784,0.6839472055435181,0.01635037735104561,0.8174924850463867,0.981045663356781,0.22560016810894012,0.6222846508026123
MIX::data\raw\public_v9\mlaad_tiny\fake\en\f5-tts\hunters_space_06_f000023.wav|data\raw\public_v9\echoes_fma_paired\fake\Fuckaboing_RoccoW_mubert_TTA_001.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::echoes_fma_paired,mix::MLAAD::f5-tts::Echoes::mubert,cal_v12,1,1,1,1,1,0.865500614803007,0.865500614803007,,False,True,180.0,0.7415621280670166,0.00017430615844205022,0.735814094543457,0.0001682188012637198,0.8197519183158875,0.9995071291923523,0.1567600518465042,0.7976242899894714
MIX::data\raw\public_v9\mlaad_tiny\fake\en\MiniCPM-o-2.6\hunters_space_06_f000036.wav|data\raw\public_v9\sonics\fake_09164_suno_0.mp3,cal_v12,cal_v12_a,cal_v12::mlaad_tiny_matched::sonics_official,mix::MLAAD::MiniCPM-o-2.6::SONICS::chirp-v2-xxl-alpha,cal_v12,1,1,1,1,1,0.7173839424677869,0.7173839424677869,,False,True,80.0,0.7415561676025391,0.00013501667126547545,0.739499568939209,0.00013041720376349986,0.9307034611701965,0.9997918009757996,0.15373952686786652,0.86663818359375
