path,file_fake,voice_fake,music_fake,voice_present,music_present,speaker_id,generator,source,dataset,hf_id,original_id,split_group_id,base_voice_id,base_music_id,mix_mode,mix_snr_db,mix_overlap_fraction,mix_gap_sec,mix_crossfade_sec,mix_voice_gain_db,mix_music_gain_db,augment,data_role,split,calibration_fold,y_file_fake,y_voice_fake,y_music_fake,y_voice_present,y_music_present,df,df_primary,df_second,df_has_second,df_used,duration_sec,vf,mf,vfile,mfile,vp_model,mp_model,vp_panns,mp_panns,upstream_label,p_file,p_voice,p_music,p_voice_present,p_music_present,source_url,version,license,allowed_for_competition,redistribution_allowed,commercial_restriction,dataset_name,content_hash,near_duplicate_group,upstream_split,voice_domain,voice_language,voice_channel,voice_mixed_music,music_domain,music_generator_family,file_composition,file_state,file_mix_mode,file_partial,duration_bucket,generator_family,file_error,voice_error,music_error
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_777-126732-0028.flac|data/raw/gtzan_unique_v2/disco.00059.wav,0,0,0,1,1,mix::777::gtzan_3_disco.00059,mix::LibriSpeech::GTZAN_genre_3,split_internal_mix,mix,generated_after_split,mix::librispeech_dev_777-126732-0028::gtzan_v2_disco.00059::00::8,mix::libri::777::gtzan::gtzan_v2_disco.00059,libri::777,gtzan::gtzan_v2_disco.00059,partial_overlap,-10.0,0.1,0.0,0.05,-6.0,-3.0,none,val_a,val_a,val_a,0,0,0,1,1,0.688791701991454,0.688791701991454,,False,True,41.4931875,0.7011544108390808,0.0008365813409909,0.6976321935653687,0.0008158783311955,0.8591257929801941,0.9980252385139464,0.0298057869076728,0.7946326732635498,unknown,0.4341408959540565,0.6974455981847928,0.0008365813409909,0.23713578842580313,0.845480814576149,,,,,,,,,,,real_speech,unknown,clean_or_unknown,with_music,real_music,GTZAN_genre_3,voice+music,RR,partial_overlap,partial_or_crossfade,>20,GTZAN_genre_3,correct,FP,correct
data\raw\openslr_librispeech_asr\librispeech_dev_3170-137482-0035.flac,0,0,0,1,0,3170,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3170-137482-0035,libri::3170,libri::3170,,none,,,,,,,none,val_a,val_a,val_a,0,0,0,1,0,0.0066914831906609,0.0066914831906609,,False,True,9.9,0.7616993188858032,0.3525046110153198,0.764572024345398,0.3528783917427063,0.9603742957115172,0.1481574177742004,0.8427293300628662,0.0364000797271728,unknown,0.39614308524193376,0.5351969681772605,0.3525046110153198,0.872140571475029,0.0643394142389297,,,,,,,,,,,real_speech,unknown,clean_or_unknown,voice_only,absent,LibriSpeech,voice_only,single_real,none,not_partial_or_unknown,5-10,LibriSpeech,correct,correct,not_scored
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_777-126732-0035.flac|data\raw\fake_music_generated\fake_music_MusicGen_0114.wav,1,0,1,1,1,mix::777::fake_music_MusicGen_11,mix::LibriSpeech::MusicGen,split_internal_mix,mix,generated_after_split,mix::librispeech_dev_777-126732-0035::fake_music_MusicGen_0114::01::9,mix::libri::777::generated_music::fake_music_generator_0114,libri::777,generated_music::fake_music_generator_0114,simultaneous,5.0,0.5,0.5,0.5,-3.0,3.0,none,val_a,val_a,val_a,1,0,1,1,1,0.7150420423048308,0.7150420423048308,,False,True,5.6315625,0.744660496711731,0.6135517954826355,0.7457498908042908,0.6236143112182617,0.959673285484314,0.9641229510307312,0.703467607498169,0.4837314784526825,unknown,0.7493248927283265,0.735774960389661,0.6135517954826355,0.7675190269947052,0.6038293465971947,,,,,,,,,,,real_speech,unknown,clean_or_unknown,with_music,MusicGen,MusicGen,voice+music,RF,simultaneous,not_partial_or_unknown,5-10,MusicGen,correct,FP,correct
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_6295-64301-0027.flac|data\raw\fake_music_generated\fake_music_MusicGen_0152.wav,1,0,1,1,1,mix::6295::fake_music_MusicGen_15,mix::LibriSpeech::MusicGen,split_internal_mix,mix,generated_after_split,mix::librispeech_dev_6295-64301-0027::fake_music_MusicGen_0152::01::14,mix::libri::6295::generated_music::fake_music_generator_0152,libri::6295,generated_music::fake_music_generator_0152,simultaneous,-5.0,0.75,1.0,0.05,0.0,-6.0,none,val_a,val_a,val_a,1,0,1,1,1,0.2192750198721392,0.2192750198721392,,False,True,6.4,0.7136135101318359,0.992282211780548,0.7030847072601318,0.9922314882278442,0.5470249652862549,0.993851900100708,0.4669423401355743,0.4362770617008209,unknown,0.8006475017244716,0.565311963053927,0.992282211780548,0.4869629964232444,0.5756707713007927,,,,,,,,,,,real_speech,unknown,clean_or_unknown,with_music,MusicGen,MusicGen,voice+music,RF,simultaneous,not_partial_or_unknown,5-10,MusicGen,correct,correct,correct
data\raw\openslr_librispeech_asr\librispeech_dev_3170-137482-0044.flac,0,0,0,1,0,3170,LibriSpeech,librispeech_dev,librispeech_dev,openslr/librispeech_asr,librispeech_dev_3170-137482-0044,libri::3170,libri::3170,,none,,,,,,,none,val_a,val_a,val_a,0,0,0,1,0,0.004758265455853,0.004758265455853,,False,True,16.705,0.7557409405708313,0.4330419301986694,0.7570221424102783,0.4386758208274841,0.951679825782776,0.1095184534788131,0.8300207257270813,0.0350087136030197,unknown,0.44086149245676537,0.5304461380363378,0.4330419301986694,0.8604355007410049,0.05363614857196805,,,,,,,,,,,real_speech,unknown,clean_or_unknown,voice_only,absent,LibriSpeech,voice_only,single_real,none,not_partial_or_unknown,10-20,LibriSpeech,correct,correct,not_scored
MIX::data\raw\openslr_librispeech_asr\librispeech_dev_777-126732-0074.flac|data/raw/gtzan_unique_v2/blues.00019.wav,0,0,0,1,1,mix::777::gtzan_0_blues.00019,mix::LibriSpeech::GTZAN_genre_0,split_internal_mix,mix,generated_after_split,mix::librispeech_dev_777-126732-0074::gtzan_v2_blues.00019::00::2,mix::libri::777::gtzan::gtzan_v2_blues.00019,libri::777,gtzan::gtzan_v2_blues.00019,music_then_voice,-5.0,0.5,0.5,0.25,0.0,3.0,none,val_a,val_a,val_a,0,0,0,1,1,0.1053986058657344,0.1053986058657344,,False,True,33.993375,0.680250346660614,0.0021426638122648,0.6697251796722412,0.0021470272913575,0.806649386882782,0.9984651207923888,0.03178346529603,0.8258487582206726,unknown,0.21797333219071896,0.5077948244221501,0.0021426638122648,0.225499945692718,0.8690028488636017,,,,,,,,,,,real_speech,unknown,clean_or_unknown,with_music,real_music,GTZAN_genre_0,voice+music,RR,music_then_voice,not_partial_or_unknown,>20,GTZAN_genre_0,correct,correct,correct
data\raw\fake_music_generated\fake_music_MusicGen_0066.wav,1,0,1,0,1,fake_music_MusicGen_6,MusicGen,fake_music_generated,fake_music_generated,synth/MusicGen,fake_music_MusicGen_0066,generated_music::fake_music_generator_0066,,generated_music::fake_music_generator_0066,none,,,,,,,none,val_a,val_a,val_a,1,0,1,0,1,0.9194659600995454,0.9194659600995454,,False,True,4.3148125,0.7371695041656494,0.9995229244232178,0.7232905626296997,0.9995014667510986,0.5451074242591858,0.9994968175888062,0.0132565116509795,0.0096874851733446,unknown,0.9796423028361715,0.7918584409458183,0.9995229244232178,0.1462192398030311,0.25713981827721,,,,,,,,,,,absent,unknown,clean_or_unknown,with_music,MusicGen,MusicGen,music_only,single_fake,none,not_partial_or_unknown,2-5,MusicGen,correct,not_scored,correct
data\raw\fake_music_generated\fake_music_MusicGen_0170.wav,1,0,1,0,1,fake_music_MusicGen_17,MusicGen,fake_music_generated,fake_music_generated,synth/MusicGen,fake_music_MusicGen_0170,generated_music::fake_music_generator_0170,,generated_music::fake_music_generator_0170,none,,,,,,,none,val_a,val_a,val_a,1,0,1,0,1,0.9561892784385042,0.9561892784385042,,False,True,4.6623125,0.7171510457992554,0.9995813965797424,0.7056889533996582,0.9995580315589904,0.5300290584564209,0.9996840953826904,0.0089069930836558,0.0176428779959678,unknown,0.9888484378668281,0.78886251559103,0.9995813965797424,0.13918750942684707,0.26315318234264845,,,,,,,,,,,absent,unknown,clean_or_unknown,with_music,MusicGen,MusicGen,music_only,single_fake,none,not_partial_or_unknown,2-5,MusicGen,correct,not_scored,correct
MIX::data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ019-0394.wav|data\raw\fake_music_generated\fake_music_MusicGen_0174.wav,1,1,1,1,1,mix::wavefake_76ddde::fake_music_MusicGen_17,mix::WF4::MusicGen,split_internal_mix,mix,generated_after_split,mix::wavefake_ajay_LJ019-0394::fake_music_MusicGen_0174::11::17,mix::wavefake::LJ019-0394::generated_music::fake_music_generator_0174,wavefake::LJ019-0394,generated_music::fake_music_generator_0174,simultaneous,15.0,0.75,0.0,0.05,0.0,3.0,none,val_a,val_a,val_a,1,1,1,1,1,0.9989961402051554,0.9989961402051554,,False,True,5.5031875,0.7634752988815308,0.7968848347663879,0.7656468749046326,0.7993872761726379,0.9569100141525269,0.6841311454772949,0.5856983065605164,0.4632342457771301,unknown,0.9118853646026207,0.8341315512786182,0.7968848347663879,0.678501233458519,0.5184584707021713,,,,,,,,,,,TTS_or_unknown,unknown,clean_or_unknown,with_music,MusicGen,MusicGen,voice+music,FF,simultaneous,not_partial_or_unknown,5-10,MusicGen,correct,correct,correct
data/raw/gtzan_unique_v2/rock.00033.wav,0,0,0,0,1,gtzan_9_rock.00033,GTZAN_genre_9,gtzan_real_v2,gtzan_real,sanchit-gandhi/gtzan,gtzan_v2_rock.00033,gtzan::gtzan_v2_rock.00033,,gtzan::gtzan_v2_rock.00033,none,,,,,,,none,val_a,val_a,val_a,0,0,0,0,1,0.4667111471806601,0.4667111471806601,,False,True,30.013375,0.7060738801956177,1.3084970760246506e-06,0.6855688095092773,1.2283919659239473e-06,0.4576510190963745,0.9999973177909852,0.0130969295278191,0.8669586181640625,unknown,0.3545278245124883,0.6342650602911304,1.3084970760246506e-06,0.12423545191995795,0.9002182930707932,,,,,,,,,,,absent,unknown,clean_or_unknown,with_music,real_music,GTZAN_genre_9,music_only,single_real,none,not_partial_or_unknown,>20,GTZAN_genre_9,correct,not_scored,correct
