path,label,source,dataset,extension,augment,is_mix,sample_rate,duration,bytes_per_second,rms,silence_ratio,clipping_ratio,zcr,spectral_centroid,spectral_rolloff,spectral_flatness,high_frequency_ratio
C:\Users\lLrich\ai_voice_data_v12\files\4ce35e0f33d7991653d22f78eb74675db5c1434562b627b90483b1bfed3831ef.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,3.453125,15774.407239819004,0.12551458179950714,0.51696875,1.5625e-05,0.06411037672463632,1653.9317011771352,470.75,0.3218733750896928,0.003057156804917611
C:\Users\lLrich\ai_voice_data_v12\files\a658d3d3302a49343ecca12d72b344f4b9b65babc487c86cd4a5f4792689395f.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,3.284625,19639.075998021082,0.09468015283346176,0.342875,1.5625e-05,0.14772105814153347,2073.4463100485304,1795.5,0.4438457684056029,0.02759578490599016
C:\Users\lLrich\ai_voice_data_v12\files\7ac68de030d1e957174f39eff7fa4bbedd223564a3ab6138e7e0b475696faaf2.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,2.9839375,18209.49668014159,0.10327276587486267,0.38184375,1.5625e-05,0.10711104861013453,2460.299712918366,720.5,0.49847819277964805,0.037033470083600646
C:\Users\lLrich\ai_voice_data_v12\files\b47468eb09b63a0e5b0a249c500763b7745d3191dec1496daf3052825adb6fd5.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,2.8145,16118.671167170014,0.08748430013656616,0.4805,1.5625e-05,0.06454788356068064,1709.10887599248,532.5,0.42013772778904673,0.007464892294935819
C:\Users\lLrich\ai_voice_data_v12\files\3bb87e9882852669287ab67ea8430cf3d2d9f03149729947d7fa7c05774a9399.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,1.8275,16421.887824897403,0.0684775859117508,0.6781875,1.5625e-05,0.05686026344161627,1856.2579905523148,556.0,0.44003384022656133,0.017674361479092855
C:\Users\lLrich\ai_voice_data_v12\files\dc0407b0b08133279e8989f2f7b2af547c32cfda1565d8e7863f22286916dfdc.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,2.76825,16480.086697371986,0.10084091871976852,0.470625,1.5625e-05,0.08273566774480852,1493.271491920474,576.0,0.355760301155752,0.005975116623144195
C:\Users\lLrich\ai_voice_data_v12\files\047377a0009b54afacce08d1584e71d3b34394a69c765ba78a604a18752d3a4c.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,2.390875,15370.105087049722,0.08539384603500366,0.67565625,1.5625e-05,0.07240738136533384,2386.6492390606804,1212.25,0.5533663330887326,0.04121868010737514
C:\Users\lLrich\ai_voice_data_v12\files\915597cd0b94ae862d69911755457d9a74286e16de8f20410a1eeb788a906b23.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,3.6684375,18879.154953573558,0.10280005633831024,0.240390625,1.5625e-05,0.11603306301660964,2045.9385820220002,1024.75,0.47667338506386786,0.015025974822213043
C:\Users\lLrich\ai_voice_data_v12\files\2cfd0f3a9ce78b694cba0610f96df93697b1353c25fc8bf2c228ce6eedcc9494.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,2.599,17519.815313582145,0.09159323573112488,0.51921875,1.5625e-05,0.09118892482695042,2313.377159536695,495.5,0.48148711269787964,0.02308777309180107
C:\Users\lLrich\ai_voice_data_v12\files\8d6eaf2e7efde11cc2c90bffa71b82bb527fa40059559ebc690a70547691ea0b.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,2.5119375,17832.450051006443,0.08376963436603546,0.5665625,1.5625e-05,0.13128330130158283,1853.7099218271032,1052.0,0.4162878454994093,0.013539984467508674
C:\Users\lLrich\ai_voice_data_v12\files\f671c5db718d10d49aab016ea1b49c4943ac8bd064500af5f9394fa26461bed3.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,2.253875,14566.025178858634,0.08720965683460236,0.69575,1.5625e-05,0.05551649244519446,1973.6336859933813,653.5,0.4680428195878868,0.01938284688004124
C:\Users\lLrich\ai_voice_data_v12\files\a92cb22ef50d86ab4a5955c6641a8638009cf1e8ee39b41f701bae6961e57a7d.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,3.2351875,16672.913084635744,0.08995651453733444,0.5279375,1.5625e-05,0.14245535086485725,2169.202331469452,2054.75,0.43183727329418914,0.011149783402124585
C:\Users\lLrich\ai_voice_data_v12\files\8d9f34078e6da6759c29f91c75d33ceba7189239fe2fb2aa89a4a58818ff1d3b.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,2.349,16333.759046402723,0.06387815624475479,0.54546875,1.5625e-05,0.03237550586727918,1268.7393369011213,756.25,0.19039276956008663,0.0003169789549051437
C:\Users\lLrich\ai_voice_data_v12\files\5a1b6b7d9796711fb1e14858ab8fdb98b3fd3a9b4c3643594d44a80082208f66.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,5.0745625,19438.325964060943,0.12163437902927399,0.100390625,1.5625e-05,0.17622150346099158,2037.7301129526154,1221.75,0.450195622467836,0.020881922386501984
C:\Users\lLrich\ai_voice_data_v12\files\6389962c93b4171230f4305a24627a715e6cc7e6bc793b7803f3ebdfefd017d0.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,3.02425,16629.577581218484,0.11056210845708847,0.421,1.5625e-05,0.059922811293926466,1684.3707606346027,536.75,0.41478810131202937,0.008907490760896301
C:\Users\lLrich\ai_voice_data_v12\files\6e9e0278852aee3fa8191ebd685fb9bb61697b9a98e5f1900eac8a80976adc1c.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,3.1559375,16731.3199326666,0.0758591964840889,0.5525625,1.5625e-05,0.149267957311833,1841.8816578942722,1874.5,0.35036007221184207,0.012042793983313217
C:\Users\lLrich\ai_voice_data_v12\files\6ff30b968fbb1252fd08cec643aeef6a176cebe6d06d270fb45a28b4f49923ac.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,4.5184375,14993.678677640224,0.09906113147735596,0.394359375,1.5625e-05,0.09247019484679449,2447.3537793594564,1046.75,0.5461327392460177,0.042438207105090275
C:\Users\lLrich\ai_voice_data_v12\files\72cb84cb0123363983335a1e036aae278fb064c4f3cc0cdf2fe42dedf7b0a764.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,2.727125,15239.125452628685,0.08388634026050568,0.615359375,1.5625e-05,0.08800137502148471,1705.434531143209,1010.0,0.3927525976533612,0.007823265020338676
C:\Users\lLrich\ai_voice_data_v12\files\2e9aa302ad66d107a646797feb45ecd972730f8cc7f8f28cbb5987a24abaaba5.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,3.8355625,18065.407616223176,0.10386690497398376,0.24025,1.5625e-05,0.1471897998406225,1966.5794932407741,535.5,0.4665992024139375,0.01424001973078886
C:\Users\lLrich\ai_voice_data_v12\files\3784e05c372e8e47eda5b4cf40ebf1faf350eebc663a9dee5018a003f42a7572.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,4.9060625,19428.411276864084,0.13043084740638733,0.129015625,1.5625e-05,0.17842466288535758,1847.1639983708874,885.75,0.41244062150324934,0.011121229997440255
C:\Users\lLrich\ai_voice_data_v12\files\1fef616767deabd2cc0ebda671be57bce3e0fe0c41549ea69225e680375561fc.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,1.7011875,19482.273411954884,0.042246077209711075,0.674796875,1.5625e-05,0.074829294207722,2052.8739494127767,679.0,0.4822546328236251,0.018360656589074795
C:\Users\lLrich\ai_voice_data_v12\files\ded2e52d75899c4393764687c6e805c384846f7e6cebab1256f0fd8c7d4ec318.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,5.7568125,15904.982140724578,0.1513454169034958,0.23675,1.5625e-05,0.10217347146049156,1086.5609100432823,549.25,0.191053352369451,0.0005407933033347654
C:\Users\lLrich\ai_voice_data_v12\files\8fede6fc6c53a072f7131154d62ed77559ffc9b23f25e94fc94ded10931f0c85.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,3.0238125,16685.558380355924,0.10283783078193665,0.38296875,1.5625e-05,0.04495382740355318,1108.4512375750203,958.0,0.17458234952576107,0.00025017160392911244
C:\Users\lLrich\ai_voice_data_v12\files\ea30effd4b28ee5e34784eb34bcd985adbfa7be0ae02577b700100b23ccd7b7a.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,2.557,18583.887368009386,0.13349343836307526,0.484984375,1.5625e-05,0.05715714308036063,1432.8908253574066,549.0,0.3246547492502736,0.002625214597995027
C:\Users\lLrich\ai_voice_data_v12\files\370647b31fbe733241f2ad638b56c7254a67f8ae8997cbeedf198b3b94b2edad.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,3.9615,15995.456266565694,0.06387512385845184,0.44884375,1.5625e-05,0.13320520633134894,1687.7904109009003,1673.75,0.2639535494277655,0.009910343928293305
C:\Users\lLrich\ai_voice_data_v12\files\4a88ea393bf3a372c935921d83d547a455c410a82e03b52240b411b520535994.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,3.19875,17933.567799921846,0.07676548510789871,0.47459375,1.5625e-05,0.14214284598196847,1790.185891008732,1486.75,0.37919974541062273,0.011141026270203453
C:\Users\lLrich\ai_voice_data_v12\files\768302ad6bde396747c96fcad2312413827093ee90e275f71e4c5607bf473486.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,2.424,15514.438943894389,0.04542665183544159,0.6256875,1.5625e-05,0.0668916701823466,1722.0528931853437,1559.0,0.3541528526760273,0.009519681676126294
C:\Users\lLrich\ai_voice_data_v12\files\3dc9c1fd3420a66b05d872ea7cd855f513b705a93ac90c06dcf4941722bdba70.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,2.63925,18034.29004452022,0.10073636472225189,0.539921875,1.5625e-05,0.09484523195674932,2222.4973132596015,1133.75,0.5355948702233757,0.037516150637979986
C:\Users\lLrich\ai_voice_data_v12\files\9ed0eb4f91f586f6f9b8e321991e5b8ee94572f452cffe0ced077444e1dcd22f.flac,0,asvspoof2019,asvspoof2019,.flac,none,False,16000.0,3.15225,15842.652073915457,0.07942033559083939,0.37665625,1.5625e-05,0.04257879029359834,1226.3932636233353,695.0,0.24460600927775403,0.0011637413560133883
