path,label,source,dataset,extension,augment,is_mix,sample_rate,duration,bytes_per_second,rms,silence_ratio,clipping_ratio,zcr,spectral_centroid,spectral_rolloff,spectral_flatness,high_frequency_ratio
C:\Users\lLrich\ai_voice_data_v13\raw\librispeech_dev\6a4dbe56d8dd784b8f96ba570a7d19ca98651e7cd9a476d5901aa4173e125730.flac,0,librispeech_dev,librispeech_dev,.flac,none,False,16000.0,4.9,19769.387755102038,0.07441764324903488,0.152296875,0.0,0.14320536258379038,1552.7066993553465,659.25,0.3863064808131688,0.006298523103318674
C:\Users\lLrich\ai_voice_data_v13\raw\guitarset_mic\deb59f119b5b762656ad20fa1a15dbbf87e5d02bf7fbd88e324bc34422ea99d4.wav,0,guitarset_mic,guitarset_mic,.wav,none,False,44100.0,32.26319727891156,88201.3637830008,0.04506316035985947,0.041078125,0.0,0.05040703760996266,1384.6212905432913,314.0,0.26373755731551213,0.0029860423290270542
C:\Users\lLrich\ai_voice_data_v13\raw\sonics_official\03ad88d5735c6dc4cbb454931fc6d9149f094cf1a26c49c1addcc6291575e095.mp3,1,sonics_official,sonics_official,.mp3,none,False,16000.0,108.0,4832.666666666667,0.12409084290266037,0.0174375,0.0,0.157049328895764,1847.2224894938443,1344.25,0.24389950208404576,0.015517047022242433
C:\Users\lLrich\ai_voice_data_v13\raw\sonics_official\db84ac722f241547915892d770f15bf23faae9ea85f8258a8c7935585571c7d6.mp3,1,sonics_official,sonics_official,.mp3,none,False,16000.0,174.52,4975.269310107724,0.09839460998773575,0.011015625,0.0,0.11153299270301098,1736.8915596297484,497.25,0.2476292232703725,0.009211132140737916
C:\Users\lLrich\ai_voice_data_v13\raw\librispeech_dev\12051ce67b00e822588c349ed324e9ab59e42d8c2af2225fb29207a4db3947e7.flac,0,librispeech_dev,librispeech_dev,.flac,none,False,16000.0,3.33,15021.921921921921,0.06747421622276306,0.513578125,0.0,0.06239159986874795,993.3865945101239,625.5,0.1910887055006784,0.0005915579418341196
C:\Users\lLrich\ai_voice_data_v13\raw\sonics_official\cde291bd1df79ea4e2dfcc3b3fe4d39f5f13ce096adce1e76cb1f6dececcdc42.mp3,1,sonics_official,sonics_official,.mp3,none,False,16000.0,80.0,5236.2,0.12290786951780319,0.02628125,6.25e-05,0.22467538555289926,2543.0609770256633,2056.5,0.2985515783687533,0.05582669389229209
C:\Users\lLrich\ai_voice_data_v13\raw\guitarset_mic\18fb8ba717efeaaa5b1c9180cd97801107d2ad6c5677499d1522970a7117b63e.wav,0,guitarset_mic,guitarset_mic,.wav,none,False,44100.0,35.54839002267574,88201.2377494444,0.09066683053970337,0.049046875,0.0,0.046297598399975,976.0001875763791,210.0,0.20031018321141467,0.000374169413600088
C:\Users\lLrich\ai_voice_data_v13\raw\librispeech_dev\98b2712501babb296b40fb5b4e91c1cc3276903a55568d5d2b3bcce6fb47f116.flac,0,librispeech_dev,librispeech_dev,.flac,none,False,16000.0,27.88,13616.929698708753,0.007085311692208052,0.3631875,0.0,0.16131502054719604,3158.0063925388804,2246.25,0.6296687095773947,0.09299580766772832
C:\Users\lLrich\ai_voice_data_v13\raw\librispeech_dev\f5cfdbf01e5be7cce7d63b5d1647d2c147cfd4d17d365a74bea7a22a25829eb1.flac,0,librispeech_dev,librispeech_dev,.flac,none,False,16000.0,10.855,14840.718562874252,0.013207432813942432,0.32171875,0.0,0.15937749027328552,1882.7733931562595,991.0,0.43836285375945055,0.027217602388225234
C:\Users\lLrich\ai_voice_data_v13\raw\guitarset_mic\746aefd895490a408a36e4f1932ba3badfd4e98e30da2a4fe560b0a867f9607d.wav,0,guitarset_mic,guitarset_mic,.wav,none,False,44100.0,20.531995464852606,88202.14299677181,0.01622132398188114,0.073484375,0.0,0.09856404006312598,1943.5297121022827,1654.0,0.3219128972509961,0.014157162537708491
C:\Users\lLrich\ai_voice_data_v13\raw\sonics_official\a5e2a1a073b446570685cd0f67225d581aaa58124b46f8ed5a85566899e47832.mp3,1,sonics_official,sonics_official,.mp3,none,False,16000.0,209.64,4923.125357756154,0.17672885954380035,0.00321875,0.0,0.06592290504539133,2158.109103694059,165.0,0.26698431181607474,0.01343950503276022
C:\Users\lLrich\ai_voice_data_v13\raw\guitarset_mic\eb0175a92ae22478d64060e5c72043ad8fa58d7c75ee519d1558746db3c1d5b1.wav,0,guitarset_mic,guitarset_mic,.wav,none,False,44100.0,22.14721088435374,88201.98670614688,0.0625334307551384,0.0435625,0.0,0.08892326442600666,2014.290433331257,1319.75,0.3347456992028784,0.022867796442353698
C:\Users\lLrich\ai_voice_data_v13\raw\librispeech_dev\3bdaa9b1445fa6ae4a10778367553572d4e3e8946f6617a56c07fba92a40a0a9.flac,0,librispeech_dev,librispeech_dev,.flac,none,False,16000.0,7.855,18816.931890515592,0.04628593102097511,0.071609375,0.0,0.14992421756589946,1863.154714122023,805.75,0.4530608043944268,0.009556073939908533
C:\Users\lLrich\ai_voice_data_v13\raw\sonics_official\66b09ca6ce4b892915a5041123a89de2d70844edcd0fe5362e20e73377eba9c0.mp3,1,sonics_official,sonics_official,.mp3,none,False,16000.0,177.0,4553.6949152542375,0.06510517746210098,0.016109375,0.0,0.07731370802668791,1666.7322254915769,418.0,0.23134926919855225,0.008376670911587851
C:\Users\lLrich\ai_voice_data_v13\raw\librispeech_dev\64d39850673d8a63792ae41856bdb107d6da957d2bd9a76e3befad70653b2356.flac,0,librispeech_dev,librispeech_dev,.flac,none,False,16000.0,15.875,17639.811023622045,0.08153104037046432,0.170328125,0.0,0.08612634572415194,1204.885731279791,602.0,0.26054694351385455,0.0026315154044096473
C:\Users\lLrich\ai_voice_data_v13\raw\librispeech_dev\93f79b215d2362d4402b548c50e917634c17c1cecbf5a1470e464c504ce904e7.flac,0,librispeech_dev,librispeech_dev,.flac,none,False,16000.0,3.335,19547.52623688156,0.03130659833550453,0.399359375,0.0,0.1521742527226988,2266.015907121467,2580.25,0.5108986350367867,0.017775070339965785
C:\Users\lLrich\ai_voice_data_v13\raw\guitarset_mic\2dc712e3457bcde208ae59bf8fab8d7f0d7335368271dd211856a13323b50bee.wav,0,guitarset_mic,guitarset_mic,.wav,none,False,44100.0,32.0,88201.375,0.06191276013851166,0.02734375,0.0,0.06045406959483742,1766.1804681589597,371.25,0.33453017271300406,0.006188048801740499
C:\Users\lLrich\ai_voice_data_v13\raw\librispeech_dev\f054adcc5757cc5233836ef7194622efd48a2de6f44f74025390c89d2893deff.flac,0,librispeech_dev,librispeech_dev,.flac,none,False,16000.0,3.9,19962.82051282051,0.01632804423570633,0.098921875,0.0,0.18325286332598947,4160.852513123017,7213.0,0.7059213726449102,0.4518287202019981
C:\Users\lLrich\ai_voice_data_v13\raw\sonics_official\f99144ba5e91d6e6be569358697e9904cd673e2049538f4cc7cd9674f37670a3.mp3,1,sonics_official,sonics_official,.mp3,none,False,16000.0,240.0,4869.0,0.1850215196609497,0.0068125,0.0,0.11514242410037658,1499.2331410636318,184.75,0.21434160855858148,0.0037191174930226527
C:\Users\lLrich\ai_voice_data_v13\raw\guitarset_mic\9ee4888317faba89ba1a9929d6e3b044a3363eb925e6c432b2b30e4f3c83ab22.wav,0,guitarset_mic,guitarset_mic,.wav,none,False,44100.0,25.258390022675737,88201.74199543045,0.03544703498482704,0.043859375,0.0,0.06584477882466913,1965.0566637237891,1094.75,0.3775484821715872,0.01670009430999691
C:\Users\lLrich\ai_voice_data_v13\raw\librispeech_dev\abeda7baf16462e93fbf3a3ea4fe8f2bf130eedb287df9b9f531ba2cf0b7e694.flac,0,librispeech_dev,librispeech_dev,.flac,none,False,16000.0,2.71,18487.08487084871,0.027184830978512764,0.513,0.0,0.09995468679198112,1766.7214432489495,816.5,0.27673667721657796,0.018603552998668102
C:\Users\lLrich\ai_voice_data_v13\raw\mlaad_tiny_matched\50ea3eab3ff1381a8cf1ee04a99a27c5724e77554192843fdb05b1e9fd2f960a.wav,0,mlaad_tiny_matched,mlaad_tiny_matched,.wav,none,False,16000.0,3.309875,32023.565844631597,0.039233025163412094,0.445078125,0.0,0.07221987843560056,2078.255323900988,895.0,0.4747356737677385,0.042220656489739807
C:\Users\lLrich\ai_voice_data_v13\raw\librispeech_dev\aff1fc5d43bc2d4ecf83af66419ec7466eeb137a0f9cc0d77e80eac75b019aff.flac,0,librispeech_dev,librispeech_dev,.flac,none,False,16000.0,3.02,19479.80132450331,0.02158438228070736,0.401015625,0.0,0.1354396162440038,2225.2765010069634,1083.0,0.3438049461647936,0.057386694570330465
