path,label,content_group,source,dataset,extension,codec,augment,channel_policy,sample_rate,duration,bytes_per_second,rms,silence_ratio,clipping_ratio,zcr,spectral_centroid,spectral_rolloff,spectral_flatness,high_frequency_ratio
C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\68f72f3dfdf9a8afcc570f19e3702392bcc0d533b64eaaf356abe5d52c741920.wav,0,dorothy_and_wizard_oz_08_f000065,mlaad_tiny_matched,mlaad_tiny_matched,.wav,PCM_S16LE,none,canonical16k_pcm16_label_independent_v1,16000.0,3.059875,32014.379672372237,0.05453668534755707,0.52715625,0.0,0.1092204565696339,1501.7834525009569,582.5,0.2803659828773053,0.002113927218366612
C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\149606610d6212721ab02037ddc91f70e721ac7e7ec7a803e7fac9b75bf198b3.wav,1,dorothy_and_wizard_oz_08_f000065,mlaad_tiny_matched,mlaad_tiny_matched,.wav,PCM_S16LE,none,canonical16k_pcm16_label_independent_v1,16000.0,2.4,32018.333333333336,0.026361333206295967,0.5894375,0.0,0.1599243738183409,2471.0972886593054,495.75,0.4634149577131084,0.04675895063567218
C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\6eb50e803e90c37f63aa04c21f9f3416e9d8e4ed05885bdead32e363e33c3a3f.wav,0,dorothy_and_wizard_oz_14_f000118,mlaad_tiny_matched,mlaad_tiny_matched,.wav,PCM_S16LE,none,canonical16k_pcm16_label_independent_v1,16000.0,2.109875,32020.854316013978,0.018421722576022148,0.756484375,0.0,0.069251082048157,2464.754364997165,1050.75,0.4232816203168601,0.06342904341349052
C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\17e8fdc42a108e2a355f143b7c38b24a10297879af7a4d48d6bc586e46d643b1.wav,1,dorothy_and_wizard_oz_14_f000118,mlaad_tiny_matched,mlaad_tiny_matched,.wav,PCM_S16LE,none,canonical16k_pcm16_label_independent_v1,16000.0,1.38,32031.884057971016,0.017635244876146317,0.748796875,0.0,0.08226691042047532,2189.822770812136,1532.5,0.48836492685475885,0.043705362786861185
C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\e4afb2298a5156646486b31bbd9f0f032d9348de9287102a27ee7a3fc71f69e3.wav,0,emerald_city_of_oz_07_f000056,mlaad_tiny_matched,mlaad_tiny_matched,.wav,PCM_S16LE,none,canonical16k_pcm16_label_independent_v1,16000.0,9.419875,32004.67097493332,0.05574203282594681,0.231046875,0.0,0.15695557743089736,1519.0588915925186,1365.5,0.25830224836998295,0.0022461053053099565
C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\6ae530c3670ecbdcac17dd392f3a95b029316e0e9f30ca8b52971022e5e3f24e.wav,1,emerald_city_of_oz_07_f000056,mlaad_tiny_matched,mlaad_tiny_matched,.wav,PCM_S16LE,none,canonical16k_pcm16_label_independent_v1,16000.0,7.44,32005.913978494624,0.05271875485777855,0.126015625,0.0,0.11576743386615417,1386.8218282588978,473.0,0.306596775674305,0.002795813921882165
C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\4f690d832997c1d555dec24d1e0896bcbd9f10d35e4c273d7155b5d1f7d70a73.wav,0,emerald_city_of_oz_13_f000060,mlaad_tiny_matched,mlaad_tiny_matched,.wav,PCM_S16LE,none,canonical16k_pcm16_label_independent_v1,16000.0,10.409875,32004.22675584481,0.07316914945840836,0.25896875,0.0,0.12697073391771746,1387.2018278910705,1235.0,0.1989288137229381,0.0013782258146960674
C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\8f4cab49bffcf12ee885b8099507912b66348efb95d43e7d806c8c34111e0380.wav,1,emerald_city_of_oz_13_f000060,mlaad_tiny_matched,mlaad_tiny_matched,.wav,PCM_S16LE,none,canonical16k_pcm16_label_independent_v1,16000.0,7.8,32005.641025641027,0.08904867619276047,0.08334375,0.0,0.10565790090470163,1384.8648805078096,681.25,0.2798487615542473,0.002853932754461629
C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\3810804a5e4a5325c424f25728bb269bca3106804cc16542a7315bf5f1d0bc98.wav,0,hunters_space_07_f000061,mlaad_tiny_matched,mlaad_tiny_matched,.wav,PCM_S16LE,none,canonical16k_pcm16_label_independent_v1,16000.0,5.519875,32007.97119499989,0.05599992722272873,0.099953125,0.0,0.1315489304520383,2181.927398751574,678.25,0.4660662098172964,0.026657206120223587
C:\Users\lLrich\ai_voice_data_v13b\processed\canonical16k_pcm16\mlaad_tiny_matched\8616cc905671ef9917dc79a2816ceea68af49ce2317ae88c01b06e6617045074.wav,1,hunters_space_07_f000061,mlaad_tiny_matched,mlaad_tiny_matched,.wav,PCM_S16LE,none,canonical16k_pcm16_label_independent_v1,16000.0,4.38,32010.045662100456,0.06880100071430206,0.063859375,0.0,0.16551821122205035,1581.6511147706979,1535.5,0.3180844133887107,0.005938431086209678
