component,domain,path,group,duration,rms,peak,crest,zcr,abs_q10,abs_q50,abs_q90,silence_fraction,clipping_fraction,spectral_centroid,spectral_bandwidth,spectral_rolloff85,spectral_flatness,frame_rms_std,frame_rms_p90_p10,log_band_0,log_band_1,log_band_2,log_band_3,log_band_4,log_band_5,log_band_6,log_band_7,procedural_probability
voice,existing_fake,data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ015-0107.wav,wavefake::LJ015-0107,5.7934375,0.0684017420427301,0.602990984916687,8.815433158705266,0.16778863788378967,0.0009023245773278176,0.0197291299700737,0.1100656121969223,0.10769728680079832,0.0,862.1045109325511,1349.2091010670508,937.5,0.09222261635012725,0.002391994996379904,38.5171223971093,-0.0668510565772835,-1.1538270906808157,-1.6786182125167908,-2.1573492446641014,-2.1419587594639005,-2.5366766283052837,-2.08956325299506,-1.579712797487846,0.003487234201436646
voice,existing_fake,data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_3022880.flac,asvspoof::LA_0089,4.8885625,0.16724944316993878,1.0,5.9790931500078015,0.15857369336197197,0.002105712890625,0.044097900390625,0.295654296875,0.053645626909751075,2.5569888898832733e-05,431.30917117288277,664.865701862948,593.75,0.035431021384548164,0.005933014034538678,47.39418988197964,-0.029950053696311606,-1.4022651196523377,-1.8943422124052343,-2.524771796038993,-2.275430814926686,-2.4341465633788597,-2.880408754247957,-3.0031324404331965,0.05750178566118134
voice,existing_fake,data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_9632347.flac,asvspoof::LA_0084,3.958,0.13089506480877852,1.0,7.639707436341287,0.10024160310767918,0.000946044921875,0.0379638671875,0.2198486328125,0.10469302678120262,4.7372410308236483e-05,656.0738643613687,544.5166341825676,906.25,0.008397337714632446,0.004709340286285209,77.8956666426111,-0.052694691703022045,-1.1135923255117803,-1.5777915042857555,-2.1077470440861155,-2.525876325623117,-4.701802726048573,-4.712538648092363,-4.7347185458601455,0.013446478557207528
voice,existing_fake,data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_2297825.flac,asvspoof::LA_0082,3.8945,0.11128235607945063,1.0,8.986150502475386,0.1188393702556531,0.000885009765625,0.0264892578125,0.18804931640625,0.10839003723199384,1.6048273205803056e-05,595.6296800107679,823.641476261362,562.5,0.03752964998833046,0.004135556528803685,62.73422816927704,-0.04651477967109763,-1.376126165638316,-2.087519249204832,-1.4170094657870582,-1.9873091692526137,-2.8603352748067645,-2.9676310698883293,-3.5260679741926513,0.004680887793075216
voice,existing_fake,data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ019-0385_WF2_1.wav,wavefake::LJ019-0385,9.090625,0.05570433682618014,0.4455941319465637,7.999271822174206,0.21887670997429667,0.0009395904489792887,0.01530262315645814,0.09167456328868867,0.1049140625,0.0,1638.962952070347,2261.597270784528,5312.5,0.1905318653241681,0.0019374683845347013,28.904139825595582,-0.13983946610116563,-1.1484775327137124,-1.8416967636875357,-2.172035566693103,-1.6120208030244554,-1.422250346586634,-1.0607718064943652,-1.46943576463066,0.0002996748606782465
voice,existing_fake,data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ008-0262.wav,wavefake::LJ008-0262,4.760125,0.04603671668609466,0.347095251083374,7.539530967207611,0.23246806108113077,0.0004746061400510371,0.012166962027549744,0.07177919074893013,0.1779102439536777,0.0,1709.7739077506108,2386.6416029186935,6093.75,0.17144027521993135,0.0016928830214764045,72.81220143441178,-0.14300700706086797,-1.1451427939278502,-1.5896894172303417,-1.935099377814317,-2.096156760768086,-1.9574216724322648,-1.1941731914759182,-1.0523422261187314,0.00010864548907368222
voice,existing_fake,data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ028-0394.wav,wavefake::LJ028-0394,8.336,0.0680075024591476,0.532093346118927,7.824038920390551,0.18399362495019492,0.000543467205716297,0.01625919993966818,0.10481630191206932,0.1510625,0.0,809.3222653619777,966.5899877064332,906.25,0.07955087369046242,0.0026307569169516276,76.84262243185759,-0.055870556378298346,-1.1225970421529186,-1.971723650527385,-1.963775294735695,-2.471060913616271,-2.1574235764195246,-2.234444607910493,-2.119232127522386,0.010670076437420692
voice,existing_fake,data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ028-0392.wav,wavefake::LJ028-0392,6.768625,0.05358512046724086,0.3975971043109894,7.419916216369421,0.2216774241207051,0.0009197226725518704,0.014073013328015804,0.08770628646016122,0.10626235018190548,0.0,1166.4840921969262,1786.443307386287,1187.5,0.11146539312428907,0.0019285329824506715,26.615777182749383,-0.08374079096175549,-1.17118276527346,-1.9167102866148598,-2.0152693198807254,-2.431545314791068,-2.2630555069097533,-1.4543833949464344,-1.377860718639569,0.001789018775022623
voice,existing_fake,data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ048-0145.wav,wavefake::LJ048-0145,4.5395625,0.06308464176268284,0.5902329683303833,9.356207023426903,0.1737113118184822,0.0010656411992385985,0.017622463405132294,0.10150821208953859,0.09552131951041537,0.0,789.2583132229206,1229.3936827587236,718.75,0.08495952847602768,0.0022477994512831853,27.448360579529595,-0.04411368059481157,-1.4066596010193981,-2.012623442728729,-2.2351449259528957,-2.3121001514122175,-2.018839045053067,-1.8347114969042972,-1.893864081346266,0.005755427187559767
voice,existing_fake,data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ008-0247.wav,wavefake::LJ008-0247,6.9311875,0.04728733364621151,0.5471816062927246,11.571420169015235,0.19379970783963643,0.00041780396131798627,0.010162830352783203,0.06893060952425002,0.1902451780448877,0.0,1433.7490559269754,2109.9018084144054,2437.5,0.1526079464625045,0.001840090980318781,94.14762371793914,-0.0942243046528641,-1.4299109721945487,-1.8101586222116222,-2.0250820049973366,-2.0091184806028437,-1.7050898234238974,-1.3937635957733374,-1.2002732833054386,0.0002511114603984071
voice,existing_fake,data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_6252888.flac,asvspoof::LA_0089,2.183,0.11923483808285497,1.0,8.386810567102135,0.1298995046811922,0.00091552734375,0.02288818359375,0.185791015625,0.10567453046266606,2.8630325240494732e-05,555.3021399555897,557.3489525346661,718.75,0.02287956432932162,0.004686039369382778,92.28956146691668,-0.05452059117567632,-1.007896954027798,-1.920803724442589,-2.6722422071671845,-2.5352200284143556,-2.76004883649567,-3.2263942013743527,-3.392275486112347,0.006748520599893612
voice,existing_fake,data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ015-0109.wav,wavefake::LJ015-0109,7.3259375,0.06670174356764105,0.6019428968429565,9.024395235373975,0.17160919344105652,0.0005511569557711483,0.014245250262320042,0.10993615239858628,0.1576163460307981,0.0,934.2233833123129,1321.1301129657986,968.75,0.1008432845311921,0.0025633393370554426,103.7986631765572,-0.06720118834568833,-1.3280389464796063,-1.350080229168277,-1.9935375970856075,-2.2106703252379414,-2.4286069966216037,-2.154622210616466,-1.6077317701755922,0.0037662940996924755
voice,existing_fake,data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_5873461.flac,asvspoof::LA_0087,3.3859375,0.16269059043024162,0.999969482421875,6.146449402988929,0.17019234319046037,0.0008544921875,0.038818359375,0.28242797851562496,0.1134656206737425,1.8458698661744346e-05,567.7638293275362,663.8855150288143,1093.75,0.03042962394529499,0.005964022122246901,163.38227674704143,-0.10979013161439395,-0.6933846736606297,-2.035199535091083,-2.2284454688098996,-3.007112209082081,-3.122244883179094,-2.6486631772581126,-2.776282426680455,0.0036700976142055755
voice,existing_fake,data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ048-0121.wav,wavefake::LJ048-0121,6.9079375,0.060720556314721646,0.5925407409667969,9.758486695931932,0.18149575665454282,0.0004304394533392042,0.013935104943811893,0.09690248817205432,0.16940657034027884,0.0,1216.5281049401285,1793.1964863225444,1656.25,0.16883236940882076,0.0022350559892833663,106.193312438536,-0.10484574513191759,-1.0712920122672824,-1.7089491378287525,-1.8158635503353542,-1.8210597382618372,-1.8008844950329734,-1.6183483541024946,-1.400082494707907,0.00034649433855367574
voice,existing_fake,data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_3910111.flac,asvspoof::LA_0084,3.745875,0.0840114074895596,1.0,11.903145416582547,0.1136268833530776,0.000152587890625,0.001220703125,0.11678161621093763,0.4574698835385591,1.6685020188874427e-05,677.1909919697445,756.5101618727607,1093.75,0.041272880278266304,0.0037988305012687756,281.3910439036259,-0.07952735409763485,-0.980825645346176,-1.4043249173942327,-1.7860934527425998,-2.3031360885093046,-3.293356434031383,-2.931337750585276,-3.4205968978298613,0.00021558711490760093
voice,existing_fake,data\raw\ajaykarthick_wavefake-audio\wavefake_ajay_LJ029-0159.wav,wavefake::LJ029-0159,8.2083125,0.07238053053336736,0.6580039262771606,9.090896701479984,0.14877459980156094,0.0005871404660865666,0.01835483219474554,0.11286979392170911,0.147359375,0.0,763.4765977985481,824.2649330668326,1031.25,0.06674223972900228,0.002674119072011817,99.0466790119092,-0.08092433763453356,-0.8962032943168714,-1.6773306301524924,-2.141217030017578,-2.3788720119712,-2.645099851051449,-2.6139708719997974,-2.2302676928569904,0.006179851600907113
voice,existing_fake,data\raw\Bisher_ASVspoof_2019_LA\asvspoof2019_LA_T_3144126.flac,asvspoof::LA_0089,3.95275,0.10838746134475598,0.999969482421875,9.225877883062493,0.11507992979460177,0.000244140625,0.017852783203125,0.1666259765625,0.2880431345265954,1.5811776611220036e-05,490.47384155551117,856.8304109299856,562.5,0.06355687569319744,0.0042722677753865785,315.6382251732975,-0.03370702117451975,-1.4787933053768183,-1.8196135013600738,-2.522745587149019,-1.9869268483633618,-2.0294990720285195,-2.576622371941453,-2.9901932224765675,0.00284279324032882
